"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
0.000000000E0,-5.238389373E-1,6.070259213E-1,3.727121055E-1
1.974000000E-3,-6.008079648E-1,5.514371991E-1,4.215813279E-1
3.971000000E-3,-6.417359114E-1,5.202831030E-1,4.454050660E-1
5.971000000E-3,-7.290896773E-1,4.408706129E-1,4.942742884E-1
7.971000000E-3,-8.225520849E-1,3.504625559E-1,5.394783616E-1
9.971000000E-3,-8.738647699E-1,2.967064083E-1,5.639129281E-1
1.197100000E-2,-9.746574759E-1,1.873615235E-1,6.072843671E-1
1.397071400E-2,-1.077893734E0,6.946454197E-2,6.488232017E-1
1.597046400E-2,-1.125541210E0,1.021061186E-2,6.708143353E-1
1.797024100E-2,-1.225112200E0,-1.052429229E-1,7.160183787E-1
1.997004100E-2,-1.273370624E0,-1.626642495E-1,7.367877960E-1
2.196749500E-2,-1.416313052E0,-2.970545888E-1,8.168111444E-1
2.396732800E-2,-1.456019282E0,-3.263761401E-1,8.455218077E-1
2.596717400E-2,-1.500001550E0,-3.532541990E-1,8.742324710E-1
2.796703100E-2,-1.584300995E0,-3.984582126E-1,9.389842153E-1
2.996676400E-2,-1.662491679E0,-4.357210100E-1,1.004346728E0
3.196651400E-2,-1.702198029E0,-4.540469646E-1,1.039776921E0
3.396627800E-2,-1.767560601E0,-4.913097620E-1,1.111858964E0
3.596605500E-2,-1.798103929E0,-5.084139705E-1,1.147900105E0
3.796584400E-2,-1.856135964E0,-5.505636334E-1,1.226701617E0
3.996564400E-2,-1.895842314E0,-5.988219976E-1,1.311611891E0
4.196421500E-2,-1.922109485E0,-6.428043246E-1,1.398965716E0
4.396548700E-2,-1.929439783E0,-6.556324959E-1,1.448445797E0
4.596522600E-2,-1.934326768E0,-6.721258759E-1,1.536410451E0
4.796497600E-2,-1.929439783E0,-6.727367640E-1,1.581003547E0
4.996473600E-2,-1.911724687E0,-6.825105548E-1,1.673855066E0
5.196450500E-2,-1.877516389E0,-7.497057319E-1,1.752656698E0
5.396324500E-2,-1.854914308E0,-8.034619093E-1,1.791141272E0
5.596303000E-2,-1.804212570E0,-9.030329585E-1,1.857725501E0
5.796282300E-2,-1.778556108E0,-9.470152259E-1,1.890101314E0
5.996262300E-2,-1.728465199E0,-1.006269217E0,1.951187849E0
6.196235600E-2,-1.678374290E0,-1.030703783E0,2.004333019E0
6.396228900E-2,-1.650274396E0,-1.033758044E0,2.026935101E0
6.596202200E-2,-1.600794315E0,-1.022151709E0,2.067252159E0
6.796175500E-2,-1.560477257E0,-9.879431725E-1,2.102071524E0
6.996148800E-2,-1.535431743E0,-9.628977180E-1,2.113067150E0
7.196122100E-2,-1.491449475E0,-9.042546153E-1,2.135058403E0
7.396102100E-2,-1.469458342E0,-8.700461984E-1,2.142999411E0
7.596075400E-2,-1.424254298E0,-8.052945137E-1,2.153384209E0
7.796048700E-2,-1.369887352E0,-7.442079186E-1,2.163158178E0
7.996022000E-2,-1.343009233E0,-7.118321061E-1,2.166212320E0
8.195995300E-2,-1.247103453E0,-6.024872661E-1,2.183316708E0
8.395968600E-2,-1.215949178E0,-5.695005059E-1,2.185760260E0
8.595941900E-2,-1.184795141E0,-5.401789546E-1,2.195533991E0
8.795915200E-2,-1.129206419E0,-4.961966872E-1,2.211416483E0
8.995895200E-2,-1.105382681E0,-4.833684862E-1,2.218136072E0
9.195825200E-2,-1.057124257E0,-4.735946655E-1,2.237072706E0
9.395798500E-2,-1.018639803E0,-4.998618662E-1,2.247457504E0
9.595771800E-2,-1.003978968E0,-5.255181789E-1,2.255398750E0
9.795745100E-2,-9.728248715E-1,-5.866047144E-1,2.267616272E0
9.995718400E-2,-9.544989467E-1,-6.586868167E-1,2.276168108E0
1.019569170E-1,-9.386164546E-1,-7.252711058E-1,2.269448757E0
1.039555830E-1,-9.355621338E-1,-7.600904703E-1,2.265783548E0
1.059553830E-1,-9.288426042E-1,-8.230096102E-1,2.246846676E0
1.079551160E-1,-9.251774549E-1,-8.559962511E-1,2.228520870E0
1.099548490E-1,-9.007427692E-1,-9.152502418E-1,2.187592745E0
1.119541820E-1,-8.799734116E-1,-9.372413754E-1,2.166212320E0
1.139548480E-1,-8.506518602E-1,-9.311327338E-1,2.111234665E0
1.159545810E-1,-8.347693682E-1,-8.663810492E-1,2.038541555E0
1.179543140E-1,-8.317150474E-1,-8.187335134E-1,1.992115855E0
1.199540470E-1,-8.225520849E-1,-7.045016885E-1,1.891933918E0
1.219538470E-1,-8.109456301E-1,-5.682787299E-1,1.779534817E0
1.239538130E-1,-8.023934960E-1,-4.925315082E-1,1.713561296E0
1.259531790E-1,-7.907870412E-1,-3.385934532E-1,1.581003547E0
1.279529120E-1,-7.822349072E-1,-2.640678585E-1,1.510143161E0
1.299526450E-1,-7.736827731E-1,-1.125733033E-1,1.373309374E0
1.319523780E-1,-7.632980943E-1,2.853656933E-2,1.235864758E0
1.339521110E-1,-7.553568482E-1,8.717963099E-2,1.167447805E0
1.359512110E-1,-7.468047738E-1,1.885832697E-1,1.032446504E0
1.379510110E-1,-7.321439981E-1,2.606653869E-1,9.084409475E-1
1.399507440E-1,-7.242027521E-1,2.863217294E-1,8.485761285E-1
1.419504770E-1,-7.101528049E-1,3.321366012E-1,6.879186034E-1
1.439508100E-1,-7.058767676E-1,3.358017802E-1,6.879186034E-1
1.459505430E-1,-7.058767676E-1,3.327474594E-1,5.944561958E-1
1.479502760E-1,-7.101528049E-1,3.174758255E-1,5.132111311E-1
1.499500090E-1,-7.150397301E-1,3.052585125E-1,4.735048413E-1
1.519502420E-1,-7.364200354E-1,2.710500658E-1,4.050879478E-1
1.539500420E-1,-7.694067359E-1,2.380633503E-1,3.464448750E-1
1.559497750E-1,-7.920088172E-1,2.160722017E-1,3.213994205E-1
1.579495080E-1,-8.402671218E-1,1.653703898E-1,2.755845189E-1
1.599492410E-1,-8.836385608E-1,8.901222795E-2,2.438195348E-1
1.619489740E-1,-9.343404174E-1,-3.228422953E-3,2.248827070E-1
1.639492740E-1,-9.544989467E-1,-5.026504397E-2,2.169414610E-1
1.659490070E-1,-9.856531024E-1,-9.424734861E-2,2.077784836E-1
1.679488070E-1,-1.042463541E0,-1.834336668E-1,1.998372376E-1
1.699485400E-1,-1.105382681E0,-2.487962544E-1,1.943394542E-1
1.719486730E-1,-1.141423702E0,-2.720091343E-1,1.961720437E-1
1.739484060E-1,-1.208008051E0,-3.043849766E-1,2.077784836E-1
1.759481390E-1,-1.274592280E0,-3.184348643E-1,2.303804904E-1
1.779478720E-1,-1.308800817E0,-3.202674985E-1,2.413760722E-1
1.799476050E-1,-1.369887352E0,-3.263761401E-1,2.664215267E-1
1.819473380E-1,-1.419367433E0,-3.257652521E-1,2.755845189E-1
1.839464710E-1,-1.442580342E0,-3.233218193E-1,2.841366231E-1
1.859465710E-1,-1.484730005E0,-3.049958348E-1,2.939105034E-1
1.879463040E-1,-1.506110191E0,-2.921676934E-1,3.000191450E-1
1.899464370E-1,-1.534210086E0,-2.878916264E-1,3.030734658E-1
1.919461700E-1,-1.545205712E0,-3.037741184E-1,2.981865406E-1
1.939459030E-1,-1.541540384E0,-3.141588569E-1,2.951321900E-1
1.959467690E-1,-1.525658011E0,-3.447020948E-1,3.000191450E-1
1.979465020E-1,-1.511608005E0,-3.636389077E-1,3.042951822E-1
1.999463020E-1,-1.476788640E0,-4.161733389E-1,3.244537413E-1
2.019460680E-1,-1.386991620E0,-5.194095373E-1,3.666034639E-1
2.039452340E-1,-1.386991620E0,-5.194095373E-1,3.666034639E-1
2.059450000E-1,-1.314909458E0,-5.951568484E-1,3.947032392E-1
2.079438330E-1,-1.234886050E0,-6.684606671E-1,4.185269773E-1
2.099435990E-1,-1.192736387E0,-7.008365393E-1,4.319660366E-1
2.119433650E-1,-1.108437061E0,-7.490949035E-1,4.667853415E-1
2.139431310E-1,-1.032078862E0,-7.753621340E-1,5.046589971E-1
2.159425310E-1,-9.923725724E-1,-7.784164548E-1,5.211523175E-1
2.179422970E-1,-9.294534922E-1,-7.716969252E-1,5.437543988E-1
2.199420630E-1,-9.044079781E-1,-7.631447911E-1,5.584151745E-1
2.219418290E-1,-8.445432186E-1,-7.283254266E-1,5.981214046E-1
2.239405620E-1,-8.243846297E-1,-7.148864269E-1,6.158365011E-1
2.259403280E-1,-8.060586452E-1,-7.014473677E-1,6.335515976E-1
2.279400940E-1,-7.694067359E-1,-6.825105548E-1,6.744795442E-1
2.299399270E-1,-7.315331697E-1,-6.647954583E-1,7.172400951E-1
2.319397600E-1,-7.119854093E-1,-6.568542719E-1,7.355660200E-1
2.339395260E-1,-6.802204847E-1,-6.391391754E-1,7.630549669E-1
2.359392920E-1,-6.643379331E-1,-6.275327206E-1,7.758831978E-1
2.379390580E-1,-6.368489861E-1,-5.939351320E-1,7.929873466E-1
2.399388240E-1,-6.215773821E-1,-5.664461851E-1,8.082590103E-1
2.419385900E-1,-6.081383824E-1,-5.432332754E-1,8.198654652E-1
2.439387900E-1,-6.050840616E-1,-5.352920294E-1,8.265849352E-1
2.459386230E-1,-5.928667188E-1,-5.212421417E-1,8.363588452E-1
2.479383890E-1,-5.818711519E-1,-5.139117241E-1,8.400239944E-1
2.499377550E-1,-5.714864731E-1,-5.065813661E-1,8.461326957E-1
2.519375210E-1,-5.659886599E-1,-5.041379333E-1,8.449109793E-1
2.539372870E-1,-5.592691302E-1,-5.016944408E-1,8.369696736E-1
2.559366200E-1,-5.501061678E-1,-5.023053288E-1,8.271958828E-1
2.579363860E-1,-5.507169962E-1,-5.071922541E-1,8.198654652E-1
2.599362520E-1,-5.446083546E-1,-5.108574629E-1,8.027612567E-1
2.619360520E-1,-5.391106009E-1,-5.187987089E-1,7.819918394E-1
2.639357850E-1,-5.348345041E-1,-5.255181789E-1,7.716071010E-1
2.659355180E-1,-5.342236161E-1,-5.444549918E-1,7.453399301E-1
2.679361840E-1,-5.348345041E-1,-5.621700883E-1,7.166292071E-1
2.699359170E-1,-5.336127877E-1,-5.737765431E-1,7.007467747E-1
2.719356500E-1,-5.281149745E-1,-5.927133560E-1,6.708143353E-1
2.739353830E-1,-5.244498253E-1,-6.012654901E-1,6.555427313E-1
2.759355490E-1,-5.201737881E-1,-6.305870414E-1,6.311081052E-1
2.779353490E-1,-5.103998780E-1,-6.562433243E-1,5.993430614E-1
2.799350820E-1,-5.055129528E-1,-6.733475924E-1,5.865149498E-1
2.819348150E-1,-4.841326773E-1,-7.185516357E-1,5.468087196E-1
2.839350150E-1,-4.755806029E-1,-7.313798070E-1,5.303152800E-1
2.859347480E-1,-4.676393569E-1,-7.472622395E-1,5.126002431E-1
2.879344810E-1,-4.450373352E-1,-7.808598876E-1,4.802244008E-1
2.899342140E-1,-4.340417385E-1,-7.991858721E-1,4.673961997E-1
2.919339470E-1,-4.138832092E-1,-8.358377814E-1,4.319660366E-1
2.939337470E-1,-3.827290535E-1,-8.706570268E-1,3.947032392E-1
2.959334800E-1,-3.711226285E-1,-8.871504664E-1,3.739338517E-1
2.979332130E-1,-3.344706893E-1,-9.152502418E-1,3.330058455E-1
2.999329460E-1,-3.057600260E-1,-9.378522635E-1,2.945213616E-1
3.019326790E-1,-2.727733254E-1,-9.543455839E-1,2.517607808E-1
3.039328790E-1,-2.562799752E-1,-9.610651135E-1,2.291587740E-1
3.059321790E-1,-2.391757369E-1,-9.592325687E-1,2.077784836E-1
3.079319790E-1,-2.055781335E-1,-9.586216211E-1,1.674613804E-1
3.099313790E-1,-1.701479703E-1,-9.482369423E-1,1.234790832E-1
3.119311120E-1,-1.536546052E-1,-9.378522635E-1,1.020987928E-1
3.139308450E-1,-1.206678748E-1,-9.152502418E-1,5.811649561E-2
3.159305780E-1,-9.012462199E-2,-8.914265037E-1,1.841025800E-2
3.179303110E-1,-7.851817459E-2,-8.773766160E-1,-6.024353206E-3
3.199297770E-1,-5.469443277E-2,-8.450007439E-1,-4.878491908E-2
3.219295100E-1,-3.331414610E-2,-8.101813793E-1,-9.154548496E-2
3.239293760E-1,-2.170770615E-2,-7.942988873E-1,-1.117040440E-1
3.259291760E-1,-9.382890421E-4,-7.576469779E-1,-1.544646174E-1
3.279289090E-1,1.127901580E-2,-7.423753738E-1,-1.764557511E-1
3.299286420E-1,3.204843402E-2,-7.112212777E-1,-2.137185335E-1
3.319283750E-1,5.037439242E-2,-6.818997264E-1,-2.528139055E-1
3.339281080E-1,6.136996299E-2,-6.678497791E-1,-2.686963975E-1
3.359274740E-1,8.519370854E-2,-6.403608918E-1,-3.004613817E-1
3.379272070E-1,1.120717824E-1,-6.110393405E-1,-3.340590000E-1
3.399270070E-1,1.230673492E-1,-5.976002812E-1,-3.529958129E-1
3.419267400E-1,1.560540795E-1,-5.597266555E-1,-3.933129311E-1
3.439268060E-1,1.560540795E-1,-5.597266555E-1,-3.933129311E-1
3.459265390E-1,1.786561012E-1,-5.328485966E-1,-4.244670272E-1
3.479262720E-1,1.982037872E-1,-5.157443881E-1,-4.501233697E-1
3.499260050E-1,2.091993541E-1,-5.059705377E-1,-4.617298245E-1
3.519257380E-1,2.275253087E-1,-4.919206202E-1,-4.879970253E-1
3.539254710E-1,2.525707781E-1,-4.803141654E-1,-5.148751140E-1
3.559252710E-1,2.605120242E-1,-4.742055237E-1,-5.277032256E-1
3.579250040E-1,2.818923295E-1,-4.632099569E-1,-5.521378517E-1
3.599243040E-1,2.910552919E-1,-4.583230317E-1,-5.625225902E-1
3.619240370E-1,3.215985596E-1,-4.406079352E-1,-5.985636711E-1
3.639233030E-1,3.295398057E-1,-4.351101518E-1,-6.095591784E-1
3.659234690E-1,3.387027979E-1,-4.296123683E-1,-6.175004840E-1
3.679232020E-1,3.558070064E-1,-4.180059135E-1,-6.407133341E-1
3.699233350E-1,3.723003864E-1,-4.002908468E-1,-6.627044678E-1
3.719231350E-1,3.747438490E-1,-3.954038918E-1,-6.755326390E-1
3.739228680E-1,3.906263411E-1,-3.795214295E-1,-6.932477355E-1
3.759226010E-1,3.997893035E-1,-3.642497957E-1,-7.109628320E-1
3.779223340E-1,4.010110497E-1,-3.587519825E-1,-7.195149660E-1
3.799222340E-1,4.113957584E-1,-3.508107662E-1,-7.353974581E-1
3.819219670E-1,4.211695790E-1,-3.434803784E-1,-7.567777038E-1
3.839216330E-1,4.217804670E-1,-3.434803784E-1,-7.641081214E-1
3.859213660E-1,4.284999669E-1,-3.440912068E-1,-7.781580091E-1
3.879211660E-1,4.297217131E-1,-3.477564156E-1,-7.885427475E-1
3.899208990E-1,4.327760339E-1,-3.575302660E-1,-8.044252396E-1
3.919206320E-1,4.315542877E-1,-3.782996833E-1,-8.172534108E-1
3.939199980E-1,4.303325713E-1,-3.880735040E-1,-8.239728808E-1
3.959200980E-1,4.291108251E-1,-4.198385179E-1,-8.386336565E-1
3.979198310E-1,4.272782505E-1,-4.363318682E-1,-8.447422981E-1
3.999195640E-1,4.187261462E-1,-4.766489863E-1,-8.575704694E-1
4.019193640E-1,4.120066166E-1,-5.236856341E-1,-8.703987002E-1
4.039191300E-1,4.071196914E-1,-5.505636334E-1,-8.783398867E-1
4.059188630E-1,3.961241245E-1,-6.037089825E-1,-8.887246251E-1
4.079185960E-1,3.851285279E-1,-6.629629135E-1,-9.003310800E-1
4.099183620E-1,3.814633489E-1,-6.977822185E-1,-9.015527964E-1
4.119180950E-1,3.716895282E-1,-7.692534328E-1,-9.107157588E-1
4.139178280E-1,3.698568940E-1,-8.065162301E-1,-9.137700796E-1
4.159175610E-1,3.631373942E-1,-8.865395784E-1,-9.088831544E-1
4.179173610E-1,3.576396108E-1,-9.671737552E-1,-9.058288336E-1
4.199175270E-1,3.539744318E-1,-1.005658269E0,-8.984984756E-1
4.219172600E-1,3.484766185E-1,-1.116835833E0,-8.771181703E-1
4.239164600E-1,3.411462307E-1,-1.147989869E0,-8.697877526E-1
4.259161930E-1,3.417571187E-1,-1.174257040E0,-8.539053202E-1
4.279158930E-1,3.356484771E-1,-1.212130785E0,-8.325250149E-1
