"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
7.644250000E-2,5.937671661E-1,-1.729640484E0,2.813645452E-2
8.661950000E-2,7.397639751E-1,-1.557987332E0,1.533638388E-1
9.646650000E-2,8.063482642E-1,-1.235450506E0,2.034547776E-1
1.064945000E-1,7.868005633E-1,-7.638625503E-1,1.545855552E-1
1.164085000E-1,7.049446106E-1,-2.140838355E-1,1.338161379E-1
1.263925000E-1,6.029301286E-1,1.481592506E-1,1.551964283E-1
1.364005000E-1,4.972504079E-1,2.245174199E-1,1.521421075E-1
1.464525000E-1,4.080640972E-1,-1.502733678E-3,1.154901832E-1
1.564455000E-1,3.219320774E-1,-3.515285254E-1,5.379279703E-2
1.664475000E-1,2.180850208E-1,-5.628879070E-1,-1.218064968E-2
1.763975000E-1,9.163590521E-2,-5.237925053E-1,-1.828930154E-2
1.864475000E-1,-4.580877721E-2,-1.988122016E-1,4.646241292E-2
1.964225000E-1,-1.783665419E-1,4.230486155E-1,1.411465257E-1
2.064495000E-1,-2.779375911E-1,1.200680137E0,3.262386918E-1
2.165005000E-1,-4.104953408E-1,2.587954998E0,4.649050832E-1
2.264395000E-1,-4.844100177E-1,2.962415457E0,6.231191754E-1
2.364435000E-1,-5.393878818E-1,2.966691494E0,7.532334924E-1
2.474525000E-1,-5.729854703E-1,2.697299957E0,8.375328779E-1
2.564905000E-1,-5.772615075E-1,2.262363911E0,8.931216002E-1
2.664385000E-1,-5.198401809E-1,1.636837959E0,8.784608841E-1
2.764215000E-1,-3.671239018E-1,9.221255183E-1,6.701558232E-1
2.864995000E-1,-1.508775949E-1,2.410107702E-1,2.779803276E-1
2.964295000E-1,6.169807166E-4,-2.043099999E-1,-8.731707186E-2
3.064495000E-1,7.880773395E-2,-3.576371670E-1,-2.467529029E-1
3.164545000E-1,9.591195732E-2,-4.077281356E-1,-2.736309767E-1
3.267265000E-1,-7.324269041E-3,-2.641747892E-1,-2.589702308E-1
3.363925000E-1,-2.583898902E-1,1.762590557E-1,-2.491963655E-1
3.464795000E-1,-5.986418128E-1,7.480289340E-1,-2.724092603E-1
3.564655000E-1,-8.851376176E-1,1.126765370E0,-2.944003940E-1
3.664035000E-1,-1.034188747E0,1.153643489E0,-3.249436617E-1
3.764255000E-1,-9.553871155E-1,7.022140026E-1,-3.811432719E-1
3.864845000E-1,-6.334611177E-1,1.670960784E-1,-4.251255691E-1
3.964315000E-1,-1.233886629E-1,-3.448945656E-2,-4.746056497E-1
4.064245000E-1,4.019554257E-1,-3.448945656E-2,-5.644028187E-1
4.164685000E-1,7.360987663E-1,-1.047389582E-1,-6.590869427E-1
4.264155000E-1,8.973671794E-1,-1.646037549E-1,-5.314161181E-1
4.364295000E-1,9.346299767E-1,-1.762101948E-1,-1.251907200E-1
4.464315000E-1,9.040867090E-1,-1.914818287E-1,3.127996325E-1
4.567675000E-1,6.463015676E-1,1.774807870E-1,6.292278171E-1
4.664015000E-1,4.037880301E-1,6.423492432E-1,6.554950476E-1
4.767695000E-1,1.270660758E-1,1.088891745E0,5.956302285E-1
