"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
5.026692700E-2,6.912030578E-1,-7.809489369E-1,-6.311506033E-2
5.277437500E-2,6.848116517E-1,-7.830794454E-1,-5.352795869E-2
5.528182200E-2,6.880073547E-1,-8.065145612E-1,-4.713656008E-2
5.778927000E-2,6.890726089E-1,-8.299496770E-1,-4.607132822E-2
6.029671800E-2,6.848116517E-1,-8.555153012E-1,-3.861469775E-2
6.280416600E-2,6.816160083E-1,-8.821461201E-1,-3.541899845E-2
6.531161400E-2,6.805507541E-1,-9.077116847E-1,-3.754946589E-2
6.757593700E-2,6.762897968E-1,-9.354077578E-1,-3.754946589E-2
7.008338500E-2,6.794854999E-1,-9.567124248E-1,-4.394086078E-2
7.259083300E-2,6.848116517E-1,-9.652342796E-1,-4.820179567E-2
7.509828100E-2,6.922683120E-1,-9.481905699E-1,-5.565842614E-2
7.760572900E-2,7.071815729E-1,-9.204944968E-1,-6.524552405E-2
8.011317700E-2,7.188991308E-1,-9.034507871E-1,-7.163692266E-2
8.262062500E-2,7.327471375E-1,-8.917331696E-1,-7.270215452E-2
8.512807200E-2,7.465952039E-1,-8.800156116E-1,-7.909355313E-2
8.763546800E-2,7.625737190E-1,-8.640371561E-1,-8.655018359E-2
9.014296800E-2,7.774869800E-1,-8.437976837E-1,-9.400681406E-2
9.265041600E-2,7.934654355E-1,-8.235582709E-1,-1.046591476E-1
9.515786400E-2,8.105092049E-1,-8.086450100E-1,-1.142462417E-1
9.741932200E-2,8.275529146E-1,-8.054493070E-1,-1.270290315E-1
9.992677000E-2,8.433982730E-1,-7.979927063E-1,-1.387466043E-1
1.024342180E-1,8.593767285E-1,-7.926664948E-1,-1.451379955E-1
1.049416660E-1,8.742899895E-1,-7.841446400E-1,-1.536598653E-1
1.074491140E-1,8.892032504E-1,-7.830794454E-1,-1.621817350E-1
1.099565620E-1,8.966599107E-1,-7.820141912E-1,-1.728340536E-1
1.124640100E-1,9.115731716E-1,-7.756227851E-1,-1.834863871E-1
1.149714580E-1,9.243559837E-1,-7.756227851E-1,-1.888125539E-1
1.174789060E-1,9.371387362E-1,-7.788184881E-1,-1.973344237E-1
1.199863540E-1,9.403344393E-1,-7.852098942E-1,-2.037258148E-1
1.224938020E-1,9.445953965E-1,-7.873403430E-1,-2.090519816E-1
1.250012500E-1,9.477910995E-1,-7.841446400E-1,-2.165086120E-1
1.272626040E-1,9.573782086E-1,-7.756227851E-1,-2.260957062E-1
1.297700520E-1,9.712262154E-1,-7.426005602E-1,-2.314218730E-1
1.322775000E-1,9.840090275E-1,-6.967955232E-1,-2.399437428E-1
1.347849470E-1,9.840090275E-1,-6.840127707E-1,-2.463351339E-1
1.372923950E-1,9.776176214E-1,-6.957303286E-1,-2.505960763E-1
1.397998430E-1,9.712262154E-1,-7.074478865E-1,-2.569874525E-1
1.423072910E-1,9.648348093E-1,-7.223611474E-1,-2.580527067E-1
1.448147390E-1,9.584434032E-1,-7.298177481E-1,-2.612484097E-1
1.473221870E-1,9.541825056E-1,-7.319482565E-1,-2.665745616E-1
1.498296350E-1,9.477910995E-1,-7.287525535E-1,-2.687050402E-1
1.523370830E-1,9.488562942E-1,-6.904041767E-1,-2.740311921E-1
1.548445310E-1,9.456605911E-1,-6.659038067E-1,-2.750964165E-1
1.571059370E-1,9.339430332E-1,-6.818822622E-1,-2.772268951E-1
1.596133850E-1,9.211602807E-1,-7.074478865E-1,-2.782921195E-1
1.621208330E-1,9.126383662E-1,-7.319482565E-1,-2.772268951E-1
1.646282810E-1,8.998556137E-1,-7.521876693E-1,-2.750964165E-1
1.671357290E-1,8.881380558E-1,-7.745575905E-1,-2.740311921E-1
1.696431770E-1,8.764204979E-1,-8.001231551E-1,-2.708354890E-1
1.721506250E-1,8.625724316E-1,-8.384715319E-1,-2.697702646E-1
1.746580720E-1,8.465939164E-1,-8.789504170E-1,-2.708354890E-1
1.771655200E-1,8.328790665E-1,-9.247553945E-1,-2.644441128E-1
1.796729680E-1,8.147701025E-1,-9.684299827E-1,-2.687050402E-1
1.821804160E-1,7.924002409E-1,-1.018495917E0,-2.708354890E-1
1.846878640E-1,7.753564715E-1,-1.072822809E0,-2.729659677E-1
1.869492700E-1,7.593780160E-1,-1.116497397E0,-2.761616707E-1
1.894567180E-1,7.476604581E-1,-1.156976223E0,-2.772268951E-1
1.919641660E-1,7.391385436E-1,-1.195324659E0,-2.782921195E-1
1.944716140E-1,7.338123918E-1,-1.227281570E0,-2.761616707E-1
1.969790620E-1,7.327471375E-1,-1.246455789E0,-2.750964165E-1
1.994865100E-1,7.338123918E-1,-1.259238601E0,-2.729659677E-1
2.019939580E-1,7.412690520E-1,-1.263499498E0,-2.719007432E-1
2.045014060E-1,7.433995008E-1,-1.275083899E0,-2.708354890E-1
2.070088540E-1,7.412690520E-1,-1.303845167E0,-2.697702646E-1
2.095163020E-1,7.402037978E-1,-1.337932706E0,-2.687050402E-1
2.120237500E-1,7.391385436E-1,-1.378411531E0,-2.687050402E-1
2.145311970E-1,7.423342466E-1,-1.402911901E0,-2.697702646E-1
2.167926040E-1,7.370080948E-1,-1.398651004E0,-2.655093372E-1
2.193000520E-1,7.348776460E-1,-1.406107545E0,-2.612484097E-1
2.218075000E-1,7.348776460E-1,-1.411433816E0,-2.612484097E-1
2.243149470E-1,7.295514941E-1,-1.413564205E0,-2.655093372E-1
2.268223950E-1,7.210295796E-1,-1.410368562E0,-2.676397860E-1
2.293298430E-1,7.050511241E-1,-1.411433816E0,-2.697702646E-1
2.318372910E-1,6.901378632E-1,-1.428477526E0,-2.708354890E-1
2.343447390E-1,6.730940938E-1,-1.452977896E0,-2.719007432E-1
2.368521870E-1,6.549851298E-1,-1.466825843E0,-2.750964165E-1
2.393596350E-1,6.390066743E-1,-1.468956351E0,-2.719007432E-1
2.418670830E-1,6.240934134E-1,-1.467891097E0,-2.729659677E-1
