"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
5.504276000E-2,1.459369212E-1,2.117150575E-1,4.343487620E-1
5.754984400E-2,1.320888996E-1,2.149107605E-1,4.364792407E-1
6.005692700E-2,7.989247888E-2,2.042584270E-1,4.439358711E-1
6.256401000E-2,3.195698932E-2,1.882799417E-1,4.503272474E-1
6.507109400E-2,-5.326164886E-3,1.701709777E-1,4.567186534E-1
6.757817700E-2,-3.621792421E-2,1.596518010E-1,4.545882046E-1
7.008526000E-2,-6.071828306E-2,1.468690038E-1,4.450010955E-1
7.235333300E-2,-7.882724702E-2,1.308905035E-1,4.343487620E-1
7.486041700E-2,-9.267527610E-2,1.202381775E-1,4.215659797E-1
7.736750000E-2,-1.085206121E-1,1.170424819E-1,4.045222402E-1
7.987458300E-2,-1.266295761E-1,1.191729456E-1,3.885437548E-1
8.238166700E-2,-1.415428370E-1,1.266295761E-1,3.672390878E-1
8.488875000E-2,-1.628475040E-1,1.447385401E-1,3.469996452E-1
8.739583300E-2,-1.852173954E-1,1.701709777E-1,3.246297538E-1
8.990291700E-2,-2.139786780E-1,2.042584270E-1,3.022598624E-1
9.241000000E-2,-2.512618303E-1,2.468677461E-1,2.841508985E-1
9.491708300E-2,-2.991973162E-1,3.097164929E-1,2.703028917E-1
9.742416700E-2,-3.577851355E-1,3.864132762E-1,2.532591522E-1
9.993125000E-2,-4.227643609E-1,4.833494723E-1,2.468677461E-1
1.021965100E-1,-4.973306656E-1,5.728290677E-1,2.383458912E-1
1.047035940E-1,-5.676360726E-1,6.367430687E-1,2.244978547E-1
1.072106770E-1,-6.368761659E-1,7.038527131E-1,2.234326303E-1
1.097177600E-1,-7.050511241E-1,7.900034189E-1,2.404763550E-1
1.122248440E-1,-7.645710111E-1,8.560478687E-1,2.553896308E-1
1.147319270E-1,-8.210283518E-1,8.741568327E-1,2.766942680E-1
1.172390100E-1,-8.636376858E-1,8.943963051E-1,3.086512685E-1
1.197460940E-1,-8.774856925E-1,9.359403849E-1,3.342168629E-1
1.222531770E-1,-8.785509467E-1,9.625712037E-1,3.651086092E-1
1.247602600E-1,-8.721595407E-1,9.700278044E-1,4.226312041E-1
1.272673440E-1,-8.540505767E-1,9.583102465E-1,4.886756539E-1
1.297744270E-1,-8.242240548E-1,9.157009125E-1,5.451329947E-1
1.320396880E-1,-7.762885690E-1,8.528521657E-1,6.037208438E-1
1.345467710E-1,-7.125077248E-1,7.910686731E-1,6.580476761E-1
1.370538540E-1,-6.336805224E-1,7.272878289E-1,7.079805136E-1
1.395609380E-1,-5.431357026E-1,6.473953724E-1,7.559159994E-1
1.420680210E-1,-4.493951797E-1,5.685681105E-1,7.995905280E-1
1.445751040E-1,-3.535242081E-1,5.067846179E-1,8.326127529E-1
1.470821880E-1,-2.576532364E-1,4.588491321E-1,8.592435718E-1
1.495892710E-1,-1.543256342E-1,4.247616827E-1,8.837439418E-1
1.520963540E-1,-5.219641700E-2,4.002613127E-1,9.061138630E-1
1.546034380E-1,4.580501840E-2,3.778914213E-1,9.359403849E-1
1.571105210E-1,1.406107545E-1,3.544562757E-1,9.593755007E-1
1.596176040E-1,2.396774292E-1,3.406082690E-1,9.796149135E-1
1.618828650E-1,3.302222490E-1,3.203688264E-1,1.007310987E0
1.643899480E-1,4.175713360E-1,2.937380075E-1,1.029680848E0
1.668970310E-1,5.122439265E-1,2.788247466E-1,1.053115964E0
1.694041150E-1,6.070496440E-1,2.681724131E-1,1.054181218E0
1.719111980E-1,7.114425302E-1,2.649767101E-1,1.041398406E0
1.744182810E-1,8.190310597E-1,2.713681161E-1,1.024354696E0
1.769253650E-1,9.276847839E-1,2.820204496E-1,1.010506630E0
