"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
0.000000000E0,4.106055737E0,-1.125753593E1,1.711854219E0
1.983643000E-3,4.046200752E0,-1.102529907E1,5.363011956E-1
4.028320000E-3,3.981557369E0,-1.085291672E1,-6.799532771E-1
5.950928000E-3,3.852270603E0,-1.068771648E1,-1.778891921E0
7.965088000E-3,3.600879431E0,-1.051533413E1,-2.662352324E0
9.948730000E-3,3.289633036E0,-1.031900978E1,-3.368641853E0
1.193237300E-2,2.995146275E0,-1.011789608E1,-3.924096584E0
1.391601600E-2,2.712630510E0,-9.943120003E0,-4.319139957E0
1.589965800E-2,2.403778553E0,-9.780313492E0,-4.493916512E0
1.791381800E-2,2.051830769E0,-9.603142738E0,-4.479551315E0
1.989746100E-2,1.757344007E0,-9.421183586E0,-4.355052948E0
2.191162100E-2,1.472434044E0,-9.227252960E0,-4.209006786E0
2.392578100E-2,1.230619669E0,-9.038111687E0,-4.015076160E0
2.590942400E-2,1.096544385E0,-8.877699852E0,-3.768473387E0
2.789306600E-2,1.084573388E0,-8.805873871E0,-3.655946016E0
2.987670900E-2,1.137245774E0,-8.674192429E0,-3.493140221E0
3.186035100E-2,1.242590666E0,-8.564059258E0,-3.366247654E0
3.387451200E-2,1.403002143E0,-8.432378769E0,-3.232172251E0
3.585815400E-2,1.496376038E0,-8.288725853E0,-3.069366693E0
3.787231400E-2,1.491587639E0,-8.116343498E0,-2.875436306E0
3.985595700E-2,1.443703651E0,-7.905653954E0,-2.681505919E0
4.187011700E-2,1.383848548E0,-7.661445618E0,-2.477998734E0
4.388427700E-2,1.340752959E0,-7.405265808E0,-2.279279947E0
4.583740200E-2,1.364694953E0,-7.146692276E0,-2.070984364E0
4.785156200E-2,1.424550056E0,-6.895300865E0,-1.798045516E0
4.983520500E-2,1.537077546E0,-6.660669327E0,-1.455674648E0
5.181884800E-2,1.740584612E0,-6.445190907E0,-1.074996591E0
5.380249000E-2,1.982398987E0,-6.287173748E0,-6.847416759E-1
5.578613300E-2,2.207453966E0,-6.169857979E0,-2.442085743E-1
5.780029300E-2,2.458845139E0,-6.052541733E0,2.394201756E-1
5.978393500E-2,2.746149302E0,-5.947196960E0,5.889736414E-1
