"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
0.000000000E0,-2.128856897E0,5.420262814E0,7.759921074E0
2.402968000E-3,-2.128856897E0,5.420262814E0,7.759921074E0
4.832968000E-3,-2.119280815E0,5.446598053E0,7.712038994E0
7.290156000E-3,-2.159980297E0,5.417869091E0,7.702462673E0
9.747396000E-3,-2.159980297E0,5.417869091E0,7.702462673E0
1.220463500E-2,-2.159980297E0,5.417869091E0,7.702462673E0
1.465979100E-2,-2.159980297E0,5.417869091E0,7.702462673E0
1.711338500E-2,-2.159980297E0,5.417869091E0,7.702462673E0
1.956765600E-2,-2.253350258E0,5.468144894E0,7.458264351E0
2.203369800E-2,-2.258138180E0,5.482509613E0,7.403200626E0
2.451062500E-2,-2.262926579E0,5.496874332E0,7.374471188E0
2.698630200E-2,-2.262926579E0,5.504056454E0,7.333771229E0
2.946088500E-2,-2.317990780E0,5.518420696E0,7.297860146E0
3.193468700E-2,-2.332355499E0,5.511239052E0,7.271524906E0
3.440791600E-2,-2.356296539E0,5.535180092E0,7.197308064E0
3.688067700E-2,-2.382631540E0,5.549544334E0,7.132667065E0
3.935296800E-2,-2.437695742E0,5.551938534E0,7.111119747E0
4.180286400E-2,-2.490365982E0,5.575879574E0,7.087179184E0
4.422666600E-2,-2.473607302E0,5.573485374E0,7.041691303E0
4.664609300E-2,-2.389813662E0,5.597426414E0,7.046479225E0
4.906473900E-2,-2.315596819E0,5.607002735E0,7.082390785E0
5.148338500E-2,-2.310808420E0,5.573485374E0,7.079997063E0
5.390286400E-2,-2.301232338E0,5.535180092E0,7.051268101E0
5.632229100E-2,-2.298837900E0,5.523209572E0,7.048873425E0
5.874098900E-2,-2.320384979E0,5.527997494E0,7.068026543E0
6.115963500E-2,-2.370661020E0,5.559121132E0,7.115908623E0
6.357911400E-2,-2.370661020E0,5.602214336E0,7.182942867E0
6.599854100E-2,-2.327567339E0,5.676431656E0,7.175760746E0
6.841718700E-2,-2.310808420E0,5.729102135E0,7.132667065E0
7.083583300E-2,-2.308414459E0,5.736283779E0,7.125484943E0
7.325531200E-2,-2.301232338E0,5.705161095E0,7.168578625E0
7.567473900E-2,-2.315596819E0,5.669249535E0,7.163790226E0
7.809343700E-2,-2.365872622E0,5.640520096E0,7.166184425E0
8.051208300E-2,-2.413754702E0,5.623761654E0,7.147031307E0
8.293156200E-2,-2.420937061E0,5.590243816E0,7.091967583E0
8.535098900E-2,-2.440089703E0,5.559121132E0,7.077602863E0
8.776968700E-2,-2.468818903E0,5.559121132E0,7.079997063E0
9.018833300E-2,-2.495154142E0,5.571091652E0,7.041691303E0
9.260776000E-2,-2.497548342E0,5.566302776E0,7.065632343E0
9.502718700E-2,-2.538248062E0,5.566302776E0,7.108726025E0
9.744588500E-2,-2.497548342E0,5.578273296E0,7.175760746E0
9.986453100E-2,-2.478395462E0,5.580667496E0,7.202095985E0
1.022840100E-1,-2.423331261E0,5.590243816E0,7.238007545E0
1.047034370E-1,-2.389813662E0,5.626155376E0,7.259554386E0
1.071221350E-1,-2.361084461E0,5.638125896E0,7.295465946E0
1.095407810E-1,-2.306020260E0,5.630943775E0,7.302648067E0
1.119602600E-1,-2.260532379E0,5.604608536E0,7.317012310E0
1.143796870E-1,-2.258138180E0,5.614184856E0,7.338559628E0
1.167983330E-1,-2.229409218E0,5.573485374E0,7.367289066E0
1.192169790E-1,-2.224621058E0,5.547150612E0,7.355318546E0
1.216364580E-1,-2.205468178E0,5.542361736E0,7.386441231E0
1.240558850E-1,-2.195891619E0,5.508844376E0,7.398411751E0
1.264745830E-1,-2.186315536E0,5.484903812E0,7.400805950E0
1.288932290E-1,-2.195891619E0,5.480115414E0,7.384047508E0
1.313127080E-1,-2.212650537E0,5.492085934E0,7.381653309E0
1.337321350E-1,-2.227015018E0,5.504056454E0,7.400805950E0
1.361508330E-1,-2.265320778E0,5.480115414E0,7.424746990E0
1.385694790E-1,-2.265320778E0,5.496874332E0,7.393623829E0
1.409889580E-1,-2.315596819E0,5.496874332E0,7.367289066E0
1.434083850E-1,-2.353902340E0,5.460962772E0,7.357712269E0
1.458270310E-1,-2.329961300E0,5.441810131E0,7.364894390E0
1.482456770E-1,-2.344326019E0,5.437021732E0,7.376864910E0
1.506651560E-1,-2.332355499E0,5.460962772E0,7.400805950E0
1.530845830E-1,-2.320384979E0,5.451386452E0,7.441505909E0
1.555032810E-1,-2.306020260E0,5.446598053E0,7.453476429E0
1.579219270E-1,-2.282079220E0,5.451386452E0,7.427141666E0
1.603414060E-1,-2.286867380E0,5.484903812E0,7.396018028E0
1.627608330E-1,-2.274896860E0,5.496874332E0,7.350530148E0
1.651794790E-1,-2.291655779E0,5.480115414E0,7.338559628E0
1.675981250E-1,-2.334749460E0,5.456174374E0,7.314618587E0
1.700176040E-1,-2.353902340E0,5.441810131E0,7.338559628E0
1.724370310E-1,-2.385025501E0,5.446598053E0,7.338559628E0
