"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
0.000000000E0,1.307931304E0,-9.696897507E0,3.401579618E0
2.000000000E-3,1.379795671E0,-9.675337791E0,3.514167070E0
4.000000000E-3,1.451660037E0,-9.648987770E0,3.633940935E0
6.000000000E-3,1.511546969E0,-9.627428055E0,3.748924017E0
8.000000000E-3,1.533106327E0,-9.610659599E0,3.854325056E0
1.000000000E-2,1.525919795E0,-9.572332382E0,3.950144053E0
1.200000000E-2,1.533106327E0,-9.512445450E0,4.033986092E0
1.400000000E-2,1.569038391E0,-9.481304169E0,4.077104568E0
1.600000000E-2,1.585806847E0,-9.454954147E0,4.084290981E0
1.800000000E-2,1.547479153E0,-9.368716240E0,4.127409458E0
2.000000000E-2,1.480405688E0,-9.246546745E0,4.225624084E0
2.200000000E-2,1.446869016E0,-9.145936966E0,4.338211536E0
2.400000000E-2,1.492383122E0,-8.755474091E0,4.881985188E0
2.600000000E-2,1.482801199E0,-8.712355614E0,4.881985188E0
2.800000000E-2,1.475614786E0,-8.671632767E0,4.891567230E0
3.000000000E-2,1.466032863E0,-8.630908966E0,4.908335686E0
3.200000000E-2,1.437287092E0,-8.585394859E0,4.932290554E0
3.400000000E-2,1.401354909E0,-8.573417664E0,4.939476967E0
3.600000000E-2,1.365422726E0,-8.599767685E0,4.891567230E0
3.800000000E-2,1.336677074E0,-8.594977379E0,4.846053123E0
4.000000000E-2,1.331886053E0,-8.532694817E0,4.893962860E0
4.200000000E-2,1.334281564E0,-8.441666603E0,5.016131878E0
4.400000000E-2,1.319908619E0,-8.353034019E0,5.145487785E0
4.600000000E-2,1.310326815E0,-8.283564568E0,5.236515999E0
4.800000000E-2,1.312722206E0,-8.226073265E0,5.305984974E0
5.000000000E-2,1.339072466E0,-8.158999443E0,5.377849102E0
5.200000000E-2,1.367818236E0,-8.084739685E0,5.447318077E0
5.400000000E-2,1.391772985E0,-8.015271187E0,5.497623444E0
5.600000000E-2,1.679230452E0,-7.802073479E0,5.440131664E0
