"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
0.000000000E0,1.949347258E0,5.298115730E0,8.308984756E0
1.439567700E-2,2.030746698E0,5.353180408E0,8.182096481E0
1.679541600E-2,2.037928820E0,5.353180408E0,8.177309036E0
1.919515600E-2,2.090599060E0,5.389091969E0,8.155761719E0
2.159406200E-2,2.131298780E0,5.396274090E0,8.150974274E0
2.399302000E-2,2.162421942E0,5.413033009E0,8.112668037E0
2.639276000E-2,2.171998501E0,5.427397251E0,8.129426956E0
2.879250000E-2,2.222274303E0,5.413033009E0,8.139003754E0
3.119145800E-2,2.236639023E0,5.434579849E0,8.093515396E0
3.359041600E-2,2.270156384E0,5.460914612E0,8.088726997E0
3.599010400E-2,2.277338743E0,5.436973572E0,8.064785957E0
3.838984300E-2,2.282126904E0,5.477673531E0,8.050421715E0
4.078880200E-2,2.286915064E0,5.501614094E0,8.019298553E0
4.318776000E-2,2.313250065E0,5.496826172E0,7.978598595E0
4.558750000E-2,2.306067944E0,5.496826172E0,7.957051754E0
4.798723900E-2,2.272550344E0,5.482461929E0,7.954657555E0
5.038614500E-2,2.222274303E0,5.463308811E0,7.940292835E0
5.278510400E-2,2.243821383E0,5.446550369E0,7.930716515E0
5.518484300E-2,2.265368223E0,5.444156170E0,7.882834435E0
5.758458300E-2,2.270156384E0,5.420215130E0,7.880440235E0
5.998354100E-2,2.291703463E0,5.396274090E0,7.868469715E0
6.238250000E-2,2.279732943E0,5.329239368E0,7.856499672E0
6.478223900E-2,2.277338743E0,5.298115730E0,7.854105473E0
6.718197900E-2,2.286915064E0,5.290933609E0,7.854105473E0
6.958088500E-2,2.289309263E0,5.266992569E0,7.887622833E0
7.197984300E-2,2.337191105E0,5.259810448E0,7.868469715E0
7.437958300E-2,2.380285025E0,5.278963089E0,7.906775475E0
7.677932300E-2,2.380285025E0,5.278963089E0,7.952263355E0
7.917828100E-2,2.437743425E0,5.271780968E0,7.933110714E0
8.157723900E-2,2.464078426E0,5.271780968E0,7.894804955E0
8.397692700E-2,2.504778147E0,5.233475208E0,7.873258591E0
8.637666600E-2,2.531113148E0,5.264598846E0,7.899593353E0
8.877562500E-2,2.538295507E0,5.300510406E0,7.980992794E0
9.117458300E-2,2.538295507E0,5.322056770E0,8.024086952E0
9.357432300E-2,2.516748667E0,5.322056770E0,8.028874397E0
9.597406200E-2,2.533507109E0,5.357968330E0,7.949869633E0
9.837302000E-2,2.552660227E0,5.338815689E0,7.906775475E0
1.007719790E-1,2.504778147E0,5.295722008E0,7.897199631E0
1.031716660E-1,2.514354467E0,5.276569366E0,7.935504913E0
1.055714060E-1,2.511960506E0,5.264598846E0,7.930716515E0
1.079703640E-1,2.488019466E0,5.262204647E0,7.885229111E0
1.103693230E-1,2.406620026E0,5.238263607E0,7.911563873E0
1.127690620E-1,2.265368223E0,5.173622608E0,7.973810673E0
1.151688020E-1,2.083416700E0,5.085041523E0,8.105485916E0
1.175677080E-1,1.997229338E0,5.001247883E0,8.074362755E0
1.199666660E-1,2.018776178E0,4.984489441E0,8.036057472E0
1.223664060E-1,2.140875101E0,5.025188923E0,8.002539635E0
1.247661450E-1,2.274944544E0,5.063494205E0,7.971416473E0
1.271651040E-1,2.353950024E0,5.161652088E0,7.935504913E0
1.295640620E-1,2.373102665E0,5.259810448E0,7.959445953E0
1.319637500E-1,2.126510620E0,5.255022526E0,7.988174915E0
1.343634890E-1,2.066658020E0,5.276569366E0,8.026480675E0
1.367624480E-1,2.140875101E0,5.276569366E0,8.062392235E0
1.391614060E-1,2.222274303E0,5.262204647E0,8.103092194E0
1.415611450E-1,2.313250065E0,5.240657806E0,8.059998512E0
1.439608850E-1,2.356343985E0,5.195169926E0,8.069574356E0
1.463597910E-1,2.365920305E0,5.178411484E0,8.091121674E0
1.487587500E-1,2.413802385E0,5.130529404E0,8.134215355E0
1.511584890E-1,2.392255306E0,5.092223167E0,8.139003754E0
1.535582290E-1,2.394649506E0,5.082647324E0,8.136609077E0
1.559571870E-1,2.440137386E0,5.061100483E0,8.112668037E0
1.583561450E-1,2.444925547E0,5.085041523E0,8.124638557E0
1.607558850E-1,2.444925547E0,5.125741005E0,8.201250076E0
1.631556250E-1,2.492807627E0,5.178411484E0,8.304196358E0
1.655545310E-1,2.476048946E0,5.238263607E0,8.428689003E0
1.679534890E-1,2.480837107E0,5.276569366E0,8.457418442E0
1.703532290E-1,2.447319746E0,5.302904129E0,8.514877319E0
1.727529680E-1,2.456896067E0,5.317268848E0,8.584305763E0
1.751519270E-1,2.404225826E0,5.341209888E0,8.598670006E0
1.775508850E-1,2.375496626E0,5.338815689E0,8.598670006E0
1.799505730E-1,2.344373465E0,5.341209888E0,8.605853081E0
1.823503120E-1,2.303673744E0,5.302904129E0,8.644158363E0
1.847492700E-1,2.298885584E0,5.271780968E0,8.610640526E0
1.871482290E-1,2.231850863E0,5.226293087E0,8.603458405E0
1.895479680E-1,2.224668503E0,5.183199406E0,8.608246803E0
1.919477080E-1,2.143269300E0,5.125741005E0,8.596276283E0
1.943466660E-1,2.109751940E0,5.075464725E0,8.627398491E0
1.967456250E-1,2.054687500E0,5.037159443E0,8.586699486E0
1.991453120E-1,2.040323019E0,4.965336323E0,8.591487885E0
2.015450520E-1,1.994835138E0,4.936607361E0,8.572335243E0
2.039440100E-1,1.973288298E0,4.915060520E0,8.545999527E0
2.063429680E-1,1.975682378E0,4.891119480E0,8.553181648E0
2.087427080E-1,1.896677136E0,4.879148960E0,8.500512123E0
2.111424480E-1,1.839218736E0,4.891119480E0,8.464600563E0
2.135413540E-1,1.678814173E0,4.864784241E0,8.478964806E0
2.159403120E-1,1.523197651E0,4.871966362E0,8.502905846E0
2.183400520E-1,1.733878374E0,4.771414280E0,8.464600563E0
2.207397910E-1,2.174392462E0,4.484122276E0,8.261102676E0
2.231386980E-1,1.994835138E0,4.572704315E0,7.973810673E0
2.255376560E-1,1.669237733E0,4.656497955E0,7.873258591E0
2.279373950E-1,1.425039649E0,4.721138477E0,7.913958073E0
2.303371350E-1,1.235905886E0,4.795355320E0,7.899593353E0
2.327360930E-1,1.068318963E0,4.828872681E0,7.918745995E0
2.351350000E-1,1.003678203E0,4.833660603E0,7.866075993E0
2.375347910E-1,9.366434813E-1,4.907877922E0,7.978598595E0
2.399345310E-1,9.366434813E-1,4.903090000E0,7.954657555E0
2.423334370E-1,9.749490023E-1,4.939001083E0,7.964233875E0
2.447323950E-1,1.020436883E0,4.946183205E0,7.873258591E0
2.471321350E-1,1.058742523E0,4.967730522E0,7.851711273E0
2.495318750E-1,1.104230404E0,4.984489441E0,7.873258591E0
2.519308330E-1,1.144930005E0,4.974912643E0,7.760735512E0
2.543297390E-1,1.142536044E0,4.967730522E0,7.686518669E0
2.567295310E-1,1.161688805E0,5.003641605E0,7.700882912E0
