"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
0.000000000E0,5.930188671E-2,-1.269860715E-1,1.886847988E-2
2.503021000E-3,5.184504390E-2,-1.248555407E-1,1.567268930E-2
5.005989000E-3,4.545346648E-2,-1.269860715E-1,1.034637261E-2
7.508958000E-3,2.947450988E-2,-1.376387030E-1,6.085318048E-3
1.001197900E-2,1.349555701E-2,-1.504218727E-1,-1.371526509E-3
1.251494800E-2,-7.809713483E-3,-1.578787118E-1,-9.893634357E-3
1.501796800E-2,-3.018024750E-2,-1.642702818E-1,-1.521995198E-2
1.752098900E-2,-5.574657023E-2,-1.770534515E-1,-1.841574349E-2
2.002395800E-2,-8.131288737E-2,-1.898366213E-1,-2.480732463E-2
2.252692700E-2,-1.079444811E-1,-2.015545070E-1,-3.119890578E-2
2.500442700E-2,-1.356413364E-1,-2.143376768E-1,-3.652521968E-2
2.750739600E-2,-1.633381993E-1,-2.207292467E-1,-3.972101212E-2
3.001041600E-2,-1.857087314E-1,-2.313818932E-1,-4.611259326E-2
3.251338500E-2,-2.091445178E-1,-2.420345247E-1,-5.143890902E-2
3.501640600E-2,-2.336455882E-1,-2.430997789E-1,-5.356943607E-2
3.751937500E-2,-2.474939972E-1,-2.430997789E-1,-5.676522851E-2
4.002239600E-2,-2.645381987E-1,-2.409692556E-1,-6.209154427E-2
4.252536400E-2,-2.815824151E-1,-2.324471474E-1,-6.741786003E-2
4.502838500E-2,-2.911697924E-1,-2.228597701E-1,-7.061365247E-2
4.753130200E-2,-2.996919155E-1,-2.015545070E-1,-6.741786003E-2
5.003432300E-2,-3.156708777E-1,-1.653355658E-1,-5.356943607E-2
5.253734300E-2,-3.305845559E-1,-1.280513257E-1,-3.972101212E-2
5.502473900E-2,-3.454982638E-1,-9.076710790E-2,-2.480732463E-2
5.752781200E-2,-3.561508656E-1,-5.880920589E-2,-1.095889788E-2
6.003078100E-2,-3.604119122E-1,-3.324288130E-2,7.590005407E-4
6.253375000E-2,-3.636077344E-1,-1.726392657E-2,1.034637261E-2
6.503677100E-2,-3.614771962E-1,-7.676555309E-3,2.099900506E-2
6.753973900E-2,-3.508245647E-1,-5.546028726E-3,3.058637865E-2
7.004276000E-2,-3.348456025E-1,-1.087234542E-2,4.230427742E-2
7.254572900E-2,-3.167361319E-1,-1.193760894E-2,5.295691639E-2
7.504875000E-2,-2.964961231E-1,-1.193760894E-2,6.360954791E-2
7.755171800E-2,-2.794519067E-1,-6.611291785E-3,7.745797187E-2
8.005468700E-2,-2.645381987E-1,6.171870511E-3,8.811061084E-2
8.255770800E-2,-2.474939972E-1,1.788976789E-2,1.030242965E-1
