"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
0.000000000E0,6.631361246E-1,6.163753033E0,7.797358036E0
2.503072000E-3,6.511587501E-1,6.194894314E0,7.955459595E0
5.006197000E-3,6.272039413E-1,6.221244335E0,7.981809616E0
7.509270000E-3,5.840853453E-1,6.139798641E0,7.996182442E0
1.001234300E-2,6.032491922E-1,6.144589424E0,8.048883438E0
1.251260400E-2,5.960627198E-1,6.178125858E0,8.044092178E0
1.501286400E-2,5.792943835E-1,6.163753033E0,8.075233459E0
1.751593700E-2,5.409667492E-1,6.199685574E0,8.051278114E0
2.001901000E-2,5.098255277E-1,6.211662292E0,8.029719353E0
2.252213500E-2,5.505486727E-1,6.206871986E0,7.977018356E0
2.502520800E-2,5.481531620E-1,6.223639965E0,7.924318314E0
2.752828100E-2,5.577350855E-1,6.247594833E0,7.864431381E0
3.003140600E-2,5.529441237E-1,6.240408421E0,7.840476990E0
3.253447900E-2,5.002436042E-1,6.240408421E0,7.792567253E0
3.503755200E-2,5.481531620E-1,6.214057922E0,7.727889061E0
3.754062500E-2,5.888763070E-1,6.230826378E0,7.660815716E0
4.004375000E-2,6.272039413E-1,6.204476357E0,7.644047260E0
4.248411400E-2,6.176220179E-1,6.209267139E0,7.550623417E0
4.498718700E-2,7.062547803E-1,6.226035595E0,7.502714157E0
4.749026000E-2,7.254185677E-1,6.216453552E0,7.457200050E0
4.999333300E-2,7.254185677E-1,6.288318157E0,7.411685944E0
5.249640600E-2,7.589552999E-1,6.283526897E0,7.368566990E0
5.499953100E-2,7.948874235E-1,6.249990463E0,7.363776207E0
5.750260400E-2,7.948874235E-1,6.257176876E0,7.363776207E0
6.000567700E-2,7.637462616E-1,6.309877396E0,7.347008228E0
6.250875000E-2,7.613507509E-1,6.278736115E0,7.342216969E0
6.501187500E-2,6.799044609E-1,6.240408421E0,7.351799011E0
6.751494700E-2,7.062547803E-1,6.194894314E0,7.378149033E0
7.001802000E-2,6.799044609E-1,6.170939445E0,7.347008228E0
7.258515600E-2,6.918818951E-1,6.130216599E0,7.325448513E0
7.508828100E-2,7.158366442E-1,6.161357403E0,7.414081097E0
7.759135400E-2,6.870909333E-1,6.170939445E0,7.406895161E0
8.009442700E-2,6.152265668E-1,6.166148663E0,7.354194641E0
8.259750000E-2,6.176220179E-1,6.221244335E0,7.392521858E0
8.510057200E-2,6.080401540E-1,6.156566620E0,7.442827225E0
8.760369700E-2,6.032491922E-1,6.187707901E0,7.433245182E0
9.010677000E-2,5.768989325E-1,6.173335075E0,7.433245182E0
9.260984300E-2,5.625260472E-1,6.194894314E0,7.493132114E0
9.511291600E-2,5.457577109E-1,6.214057922E0,7.466782093E0
