"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
0.000000000E0,-4.879852295E-2,6.248905334E0,7.558831329E0
1.010200003E-2,-6.840774536E-2,6.241271210E0,7.306156769E0
2.017200005E-2,6.900650024E-2,6.278843079E0,7.435188446E0
3.027400002E-2,2.019300842E-1,6.267915802E0,7.791148224E0
4.025300004E-2,1.661544800E-1,6.271208954E0,7.888445892E0
5.020200001E-2,2.552192688E-1,6.236032104E0,7.917036438E0
6.018100004E-2,3.387455750E-1,6.302044830E0,7.753426666E0
7.016000000E-2,5.161267090E-1,6.262826385E0,7.589667206E0
8.010900003E-2,6.294410706E-1,6.251899109E0,7.441625061E0
9.008800000E-2,7.470964050E-1,6.184090118E0,7.229216766E0
1.000670000E-1,8.443940735E-1,6.088289337E0,7.113657074E0
1.100470000E-1,8.120613098E-1,6.060896301E0,7.130122833E0
1.199950000E-1,8.738827515E-1,5.972579956E0,7.037166138E0
1.299750000E-1,8.550219727E-1,5.987848206E0,6.856192474E0
1.399540000E-1,7.102729797E-1,5.911956024E0,6.712042236E0
1.499330000E-1,4.378395081E-1,5.849685516E0,6.687792664E0
1.598820000E-1,3.255729675E-1,5.822292480E0,6.758146362E0
1.698610000E-1,2.607577515E-1,5.849984894E0,6.813082123E0
1.798400000E-1,1.612147522E-1,5.857619019E0,6.859635315E0
1.898200000E-1,1.737886047E-1,5.904321899E0,6.821764069E0
1.997680000E-1,9.894424438E-2,6.029761047E0,7.000492401E0
2.097480000E-1,2.730322266E-1,6.134243774E0,7.108567657E0
2.197270000E-1,3.185375977E-1,6.172414398E0,7.332951050E0
2.297060000E-1,2.725831604E-1,6.151907043E0,7.503147125E0
2.396550000E-1,2.401007080E-1,6.193670197E0,7.505542145E0
2.496340000E-1,2.862048340E-1,6.165079651E0,7.504793701E0
2.596130000E-1,3.026705933E-1,6.178551636E0,7.627239075E0
2.695930000E-1,4.064048767E-1,6.190377045E0,7.964487762E0
2.795410000E-1,4.791535950E-1,6.169270935E0,8.319848785E0
2.895210000E-1,5.661227417E-1,6.192921753E0,8.498726807E0
2.995000000E-1,6.581813049E-1,6.195167084E0,8.558153229E0
3.094790000E-1,6.884184265E-1,6.192173309E0,8.360564117E0
3.194280000E-1,6.560856628E-1,6.150559845E0,8.086783447E0
3.294070000E-1,7.661068726E-1,6.119574280E0,7.837252350E0
3.393860000E-1,7.586224365E-1,6.152056732E0,7.738158417E0
3.493660000E-1,9.345066833E-1,6.163882141E0,7.810158691E0
3.593140000E-1,1.094074860E0,6.088738403E0,7.975864105E0
3.692930000E-1,1.150507507E0,6.067931671E0,7.895181885E0
3.792730000E-1,1.083896027E0,6.069578247E0,7.691904602E0
3.892210000E-1,1.251248016E0,6.049969025E0,7.338938599E0
3.992010001E-1,1.439706116E0,5.990841980E0,7.155869293E0
4.091800000E-1,1.532662811E0,5.937403107E0,7.301067352E0
4.191590000E-1,1.619631958E0,5.827531586E0,7.512577515E0
4.291080000E-1,1.877845001E0,5.688171387E0,7.480394440E0
4.390870000E-1,1.971849518E0,5.574108582E0,7.443271637E0
4.490660000E-1,2.019899597E0,5.505850525E0,7.819140015E0
4.590460000E-1,2.014810181E0,5.648204498E0,8.350085907E0
