"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.968000005E-3,-5.257909298E-1,-6.001079082E-1,1.061090976E-1
1.397700000E-2,-6.735332012E-1,-9.732495546E-1,1.451768577E-1
2.398699999E-2,-8.030906916E-1,-1.277425885E0,1.506846249E-1
3.396600002E-2,-9.114863873E-1,-1.456825495E0,1.149796247E-1
4.397600002E-2,-1.040074706E0,-1.618353605E0,9.060992301E-2
5.398600001E-2,-1.145932794E0,-1.824338794E0,7.984408736E-2
6.399600001E-2,-1.227117062E0,-1.998110890E0,1.284628659E-1
7.397500001E-2,-1.267560244E0,-2.077757835E0,2.059808224E-1
8.398500000E-2,-1.277459979E0,-2.085863590E0,2.237667143E-1
9.399500000E-2,-1.320897222E0,-2.057917356E0,1.573727727E-1
1.039740000E-1,-1.361848354E0,-1.940918088E0,-3.209278733E-2
1.139840000E-1,-1.384975553E0,-1.699702740E0,-1.721787900E-1
1.239930000E-1,-1.243618369E0,-1.262037873E0,-2.211322933E-1
1.339730000E-1,-1.119930267E0,-9.029158354E-1,-2.212625146E-1
1.439820000E-1,-9.924755096E-1,-7.476450801E-1,-1.870603859E-1
1.539920000E-1,-9.560980797E-1,-8.271985054E-1,-1.560393572E-1
1.639710000E-1,-1.190261126E0,-1.419464469E0,-2.234587222E-1
1.739810000E-1,-1.759490490E0,-2.145733356E0,-3.423302472E-1
1.839910000E-1,-2.442970514E0,-2.756392479E0,-5.399586558E-1
1.939700000E-1,-2.883133888E0,-3.260476828E0,-6.613937020E-1
2.039800000E-1,-2.816612244E0,-3.711447001E0,-6.600466967E-1
2.139900000E-1,-2.083392620E0,-4.049595356E0,-7.644284964E-1
2.239690000E-1,-1.724286556E0,-3.303382635E0,-1.012149334E0
2.339790000E-1,-1.425982594E0,-1.787616849E0,-1.137007117E0
2.439880000E-1,-8.270197511E-1,-3.287617266E-1,-1.267562866E0
2.539680000E-1,-2.788817585E-1,6.453325748E-1,-7.820225358E-1
2.639770000E-1,-6.025131792E-2,1.186673999E0,-2.194993347E-1
2.739870000E-1,-3.583788872E-1,1.701977491E0,-1.919942051E-1
2.839970000E-1,-8.315533400E-1,1.754152417E0,-5.140506625E-1
2.939760000E-1,-1.230639815E0,1.341032982E0,-2.598780096E-1
3.039807500E-1,-1.349740744E0,9.763687253E-1,-2.128478885E-1
3.139907500E-1,-1.270251274E0,6.230522394E-1,-4.031046629E-1
3.239697500E-1,-1.029610157E0,4.640161693E-1,-6.249141097E-1
3.339797500E-1,-7.516657710E-1,7.308217883E-1,-7.601800561E-1
3.439897500E-1,-6.986322403E-1,1.165763021E0,-5.328801274E-1
3.539687500E-1,-1.138020039E0,1.585133672E0,3.309298307E-2
3.639787500E-1,-1.864132643E0,1.628498554E0,4.793893695E-1
3.739877500E-1,-2.437914133E0,1.404741049E0,5.941343307E-1
3.839677500E-1,-2.748528242E0,1.120026112E0,2.091410905E-1
3.939767500E-1,-2.630179405E0,6.306540370E-1,-4.118412137E-1
4.039867500E-1,-2.093763113E0,-9.711107612E-2,-1.058622360E0
4.139657500E-1,-1.391237378E0,-9.283760190E-1,-1.469921827E0
4.239757500E-1,-6.950825453E-1,-1.726500034E0,-1.800445199E0
4.339857500E-1,-6.330417991E-1,-1.296680927E0,-1.621089220E0
4.439647500E-1,-6.777894497E-1,-1.033336878E0,-1.031839371E0
4.539747500E-1,-5.750185847E-1,-1.217719555E0,-6.924160719E-1
4.639847500E-1,-2.867843509E-1,-1.566598415E0,-6.976385713E-1
4.739937500E-1,1.707477719E-1,-2.224001169E0,-9.073609114E-1
4.839737500E-1,6.193462014E-1,-3.419691801E0,-1.027086377E0
4.939827500E-1,1.132396698E0,-5.262083054E0,-6.079359055E-1
5.039927500E-1,1.602013826E0,-6.490425110E0,-5.082546920E-2
5.139717500E-1,1.746961236E0,-7.462244034E0,3.808050156E-1
5.239817500E-1,1.550780058E0,-8.366554260E0,8.229014874E-1
5.339917500E-1,1.066397429E0,-9.381735802E0,1.438987136E0
5.439707500E-1,5.668578744E-1,-1.058427906E1,2.465709925E0
5.539807500E-1,-8.759826422E-2,-1.163937473E1,3.625756502E0
5.639907500E-1,-1.236294031E0,-1.204065418E1,4.542960167E0
5.739697500E-1,-2.590963602E0,-1.104633522E1,5.042005539E0
5.839797500E-1,-3.791972876E0,-9.295819283E0,5.219286442E0
5.939897500E-1,-4.258168697E0,-6.913817406E0,5.233591557E0
6.039687500E-1,-4.071634293E0,-4.463267803E0,5.343872070E0
6.139787500E-1,-3.328761101E0,-3.232069969E0,5.652065277E0
6.239877500E-1,-2.671606064E0,-2.613605022E0,5.859524250E0
6.339677500E-1,-2.907525063E0,-2.453848600E0,5.862156868E0
6.439767500E-1,-3.813577414E0,-2.275486708E0,5.722750187E0
6.539867500E-1,-4.440227985E0,-2.245729446E0,5.498976231E0
6.639967500E-1,-4.155411720E0,-2.109658718E0,5.454463959E0
6.739757500E-1,-3.188921452E0,-1.682276487E0,5.518733501E0
6.839857500E-1,-2.159443378E0,-1.007426739E0,5.741375446E0
6.939957500E-1,-1.479078174E0,2.299349308E-1,6.161301613E0
7.039747500E-1,-1.221240878E0,2.231516600E0,6.735531807E0
7.139847500E-1,-1.288949609E0,4.601943493E0,7.146794319E0
7.239937500E-1,-1.648184776E0,6.543908596E0,7.251639843E0
