"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
0.000000000E0,-2.823278961E0,8.622818756E0,5.091661835E0
9.917999996E-3,-2.519410858E0,8.131839752E0,5.303621063E0
1.983700000E-2,-2.318528595E0,8.118068390E0,5.383554840E0
2.972399999E-2,-2.446362762E0,8.376730499E0,5.706583099E0
3.964199999E-2,-2.705923004E0,8.637787628E0,6.033203888E0
4.956099999E-2,-3.114273834E0,9.011410675E0,6.583908691E0
5.947899999E-2,-3.360811157E0,9.312734070E0,6.810387726E0
6.939699998E-2,-3.294648743E0,9.106313324E0,6.903194733E0
7.931499998E-2,-3.013683014E0,8.317004700E0,7.044201508E0
8.923399998E-2,-2.124831390E0,7.687114563E0,7.154522095E0
9.915199998E-2,-1.500180359E0,7.467371521E0,7.284451904E0
1.090700000E-1,-1.318458252E0,7.358547821E0,7.529492340E0
1.189580000E-1,-1.322948914E0,7.354955292E0,8.369545441E0
1.288760000E-1,-5.695655823E-1,7.493716736E0,9.244625702E0
1.387940000E-1,8.081694031E-1,7.440577240E0,8.660690002E0
1.487120000E-1,3.641926575E-1,7.580835571E0,5.932762756E0
1.586310000E-1,8.714877319E-1,5.174888763E0,3.496728516E0
1.685490000E-1,1.957629089E0,3.655697937E0,5.089566193E0
1.784670000E-1,2.345622253E0,3.582949219E0,6.575975189E0
1.883850000E-1,1.736838226E0,3.468587036E0,6.818321228E0
1.983030000E-1,2.149979095E0,3.638184357E0,7.072941742E0
2.082220000E-1,1.838776245E0,4.095034332E0,8.431965637E0
2.181400000E-1,7.661068726E-1,4.689897308E0,8.320597229E0
2.280280000E-1,1.636097717E-1,4.359983368E0,8.789871368E0
2.379460000E-1,-5.218148804E-1,3.539539490E0,9.352251892E0
2.478640000E-1,3.544628906E-1,3.359613647E0,9.902657318E0
2.577820000E-1,9.653425598E-1,3.084785156E0,1.025562332E1
2.677000000E-1,2.402204590E0,3.027154999E0,9.351054382E0
2.776190000E-1,3.982318726E0,2.584525452E0,8.709189148E0
2.875370000E-1,4.966522064E0,2.211950226E0,6.929839325E0
2.974550000E-1,3.608246613E0,2.222877502E0,3.284769287E0
3.073730000E-1,-3.367696838E0,6.496490479E0,4.223616943E0
3.172910000E-1,-5.170847168E0,8.233029327E0,8.300688629E0
3.271790000E-1,-3.041824493E0,5.157375183E0,7.880063324E0
3.370970000E-1,-2.897973633E-1,2.825823669E0,6.736740875E0
3.470160000E-1,2.185904388E0,3.482358398E0,6.308481445E0
3.569340000E-1,3.094215546E0,3.965254211E0,5.913752289E0
3.668520000E-1,4.327800293E0,3.299887848E0,7.281158752E0
3.767700000E-1,4.159250793E0,2.680625610E0,6.852450256E0
3.866880000E-1,3.946543121E0,2.336491241E0,6.486760712E0
3.966070000E-1,4.799768829E0,2.143392792E0,6.476432190E0
4.065250000E-1,5.979016571E0,1.790726166E0,6.497987366E0
4.164130000E-1,6.570586395E0,1.146765289E0,6.347101135E0
4.263310000E-1,5.568719788E0,1.224453735E-1,6.647077332E0
4.362490000E-1,4.134103088E0,-1.272354126E0,6.821165314E0
4.461670000E-1,4.073179779E0,-1.891915741E0,6.756050720E0
4.560850000E-1,4.380790100E0,-2.656076660E0,6.832242279E0
4.660040000E-1,4.655768280E0,-2.990630951E0,5.302872620E0
4.759220000E-1,3.842060394E0,-3.039429474E0,4.115990753E0
4.858400000E-1,3.055146790E0,-3.009042664E0,3.137774963E0
4.957280000E-1,2.793790283E0,-3.556005249E0,2.365530853E0
5.056460000E-1,2.855611725E0,-4.662953339E0,1.765728149E0
5.155640000E-1,2.547552338E0,-5.297034760E0,1.125509491E0
5.254820000E-1,2.495310974E0,-5.447022858E0,1.999242554E0
5.354010000E-1,2.848426666E0,-5.652844849E0,2.520159302E0
5.453190000E-1,2.841391296E0,-6.471941528E0,3.277733917E0
5.552370000E-1,2.986589355E0,-7.114854584E0,3.597469025E0
5.651550000E-1,3.214265900E0,-7.681426392E0,3.639531555E0
5.750730000E-1,3.650309143E0,-7.769892426E0,5.150339813E0
5.849920000E-1,3.365750885E0,-8.035589905E0,7.028633881E0
5.949100000E-1,3.700754242E0,-8.735534363E0,8.067323914E0
6.048280000E-1,4.803960114E0,-9.036558380E0,8.265811157E0
6.146802500E-1,5.892646179E0,-9.796827393E0,8.075556793E0
6.245982500E-1,8.534801788E0,-9.506131897E0,9.308991852E0
6.345162500E-1,1.087249054E1,-9.420509949E0,1.046099625E1
6.444342500E-1,1.248373993E1,-1.017688705E1,1.169503006E1
6.543532500E-1,1.378094238E1,-1.101080292E1,1.270378235E1
6.642712500E-1,1.332663712E1,-1.293565018E1,1.523292297E1
6.741892500E-1,1.342992233E1,-1.367301682E1,1.638537643E1
6.841072500E-1,1.374127487E1,-1.497875153E1,1.649000885E1
6.940252500E-1,1.434586761E1,-1.643971344E1,1.787118668E1
7.039132500E-1,1.574979813E1,-1.542512329E1,2.076257401E1
7.138312500E-1,1.900073776E1,-1.660766418E1,2.426229630E1
7.237502500E-1,2.191772186E1,-1.517738846E1,2.752371414E1
7.336682500E-1,2.269056473E1,-1.390757904E1,2.799223984E1
7.435862500E-1,2.089744354E1,-1.182600769E1,2.730097733E1
7.535042500E-1,2.114353180E1,-8.688831482E0,2.157822784E1
7.634222500E-1,2.092723160E1,-7.226372681E0,1.581611023E1
7.733412500E-1,1.943543381E1,-5.642666016E0,1.456351501E1
7.832592500E-1,1.717782852E1,-8.147557068E0,1.597807343E1
7.931472500E-1,1.651410873E1,-8.066725159E0,1.763048721E1
8.030652500E-1,1.507619888E1,-8.997040558E0,1.801967789E1
8.129832500E-1,1.339788895E1,-7.214547272E0,1.724249405E1
8.229012500E-1,1.265618134E1,-5.251379700E0,1.644899414E1
8.328192500E-1,1.375459717E1,-5.257067871E0,1.233614685E1
8.427382500E-1,1.256157806E1,-4.596341858E0,9.424102478E0
8.526562500E-1,1.252220993E1,-5.098248138E0,8.012388153E0
8.625742500E-1,1.174846893E1,-4.778213654E0,6.215375061E0
8.724922500E-1,1.136391861E1,-4.643344116E0,-4.029620361E-1
8.823802500E-1,1.119132751E1,-4.648283844E0,-2.353106689E-1
8.922982500E-1,9.586814117E0,-5.369633789E0,1.970053253E0
9.022162500E-1,8.260871429E0,-4.140390015E0,1.386566620E0
9.121352500E-1,8.299042053E0,-7.119944000E0,-6.553372192E-1
9.220532500E-1,6.215674438E0,-1.019829254E1,-1.518442383E0
9.319712500E-1,3.950135651E0,-1.010758118E1,1.015637970E0
9.418892500E-1,1.423390045E0,-1.187211182E1,3.655248871E0
9.518072500E-1,7.101232910E-1,-1.169009033E1,4.795427856E0
9.617262500E-1,1.815724182E-1,-1.134281250E1,5.507497101E0
9.716132500E-1,-8.898994446E-1,-1.115630035E1,5.975274353E0
9.815322500E-1,-3.069816284E0,-3.639082489E0,2.159409485E0
9.914502500E-1,-2.853067017E-1,-1.827130463E1,2.772534485E0
1.001368250E0,-3.525019684E0,-6.626719666E0,3.956871643E0
1.011286250E0,-3.865112457E0,-1.263312927E1,8.636440430E0
1.021204250E0,-7.051236877E0,-1.102158051E1,1.171748337E1
1.031123250E0,-7.363188171E0,-1.026909531E1,1.123398880E1
1.041041250E0,-6.486012268E0,-7.330406342E0,7.214547272E0
1.050959250E0,-4.947511597E0,-6.872209167E0,6.545887756E-1
1.060877250E0,-3.938609619E0,-5.534590759E0,-2.331701202E0
1.070795250E0,-2.879861298E0,-6.654861145E0,8.157735901E0
1.080683250E0,-6.523434448E-1,-5.083428955E0,7.303612061E0
1.090601250E0,3.821253662E0,7.539820862E-1,-7.871381378E0
1.100520250E0,6.452182617E0,-1.068777466E-1,-7.289092255E0
1.110438250E0,8.148006134E0,1.862576752E0,-6.333928528E0
1.120356250E0,8.048463135E0,1.090033264E0,-2.186353455E0
1.130274250E0,4.226760406E0,-4.291575623E-1,1.533111877E0
1.140192250E0,1.147214355E0,-1.457668762E0,1.190324707E0
1.150111250E0,-5.237608337E-1,-7.207511902E-1,-8.273295593E-1
1.160029250E0,7.132667542E-1,-4.214186554E0,-1.104104004E0
1.169917250E0,6.595285034E-1,-5.667065277E0,-7.807763672E-1
1.179835250E0,-1.255439301E0,-6.479575653E0,1.452279968E0
1.189753250E0,-3.011437683E0,-6.672225037E0,6.426286469E0
1.199671250E0,-5.944737854E0,-8.428522797E0,8.612490234E0
1.209589250E0,-7.896229706E0,-9.254954224E0,7.267836456E0
1.219508250E0,-7.359296265E0,-1.113833771E1,6.706952820E0
1.229426250E0,-7.018455048E0,-1.359098740E1,6.055208130E0
1.239344250E0,-5.284610596E0,-1.346150665E1,3.285368042E0
1.249262250E0,-7.740403748E-1,-1.258433075E1,4.954696655E-1
1.259180250E0,2.192490692E0,-1.221205490E1,-5.977070618E-1
1.269068250E0,3.018173676E0,-1.138442596E1,-1.962269440E0
1.278986250E0,2.813549194E0,-6.258635101E0,-3.937861176E0
1.288905250E0,6.448590088E0,-3.222947845E0,-6.809190216E0
1.298823250E0,8.777447205E0,-6.637197876E-1,-1.853296051E0
1.308741250E0,1.330837509E1,-4.157604218E0,3.350782013E0
1.318659250E0,1.069585785E1,-1.550251236E1,6.571185150E0
1.328577250E0,1.303938446E0,-1.471754471E1,1.492680954E1
1.338496250E0,-4.199517059E0,-2.039478882E1,1.481678833E1
1.348414250E0,-5.755830688E0,-1.949830307E1,1.000923569E1
1.358302250E0,-1.808539124E0,-1.703622299E1,4.076323242E0
1.368220250E0,-8.062234497E-1,-1.371043900E1,1.281934204E0
1.378138250E0,-3.375480652E-1,-9.956545258E0,-2.091151428E-1
1.388056250E0,3.833528137E-1,-8.464897156E0,-1.434017944E0
1.397974250E0,1.554667053E0,-8.334817657E0,-2.125280457E0
1.407893250E0,3.803291016E0,-8.687933350E0,-2.241289215E0
1.417811250E0,6.276148682E0,-8.972341919E0,-1.587149506E0
1.427729250E0,4.732109528E0,-8.589288483E0,-1.385069733E0
1.437647250E0,3.192860413E0,-6.874753876E0,-1.803449707E0
1.447565250E0,5.617518311E0,-8.274193726E0,-1.414857788E0
1.457484250E0,5.652994537E0,-1.097906891E1,4.070186005E0
1.467371250E0,1.760788422E0,-1.214709000E1,3.971092072E0
1.477290250E0,1.101559296E0,-1.139520355E1,3.877835999E0
1.487208250E0,3.284469910E0,-9.041797485E0,3.199446716E0
1.497126250E0,2.692600708E0,-7.941435699E0,3.185226288E0
1.507044250E0,2.412982178E-1,-9.481582947E0,3.648662567E0
1.516962250E0,-4.601431274E-1,-1.048449738E1,6.485563202E0
1.526881250E0,2.978805542E-1,-9.965975647E0,6.462660828E0
1.536799250E0,1.228046265E0,-8.692573700E0,2.483934631E0
1.546717250E0,9.773176575E-1,-8.016878815E0,-1.772464142E0
1.556635250E0,2.550995178E0,-8.087382202E0,-1.166973267E0
1.566523250E0,4.716392212E0,-8.742420044E0,1.028361511E-1
1.576441250E0,3.242856445E0,-7.943830719E0,4.546046448E-1
1.586359250E0,4.770579529E-1,-7.415878601E0,8.544232178E-1
1.596278250E0,-6.518494720E0,-1.024379791E1,-8.274792480E-1
1.606196250E0,-9.554181976E0,-1.158366165E1,8.872050476E-1
1.616071000E0,-2.594105530E0,-1.087144272E1,4.701273651E0
1.625989000E0,4.235891418E0,-9.806557159E0,4.243226166E0
1.635907000E0,5.207820282E0,-9.488019562E0,9.436376953E-1
1.645826000E0,4.726121979E0,-8.076903992E0,-1.091979218E0
1.655744000E0,4.809947662E0,-6.444548492E0,-1.368454285E0
1.665662000E0,5.105582886E0,-7.188351746E0,2.046244812E0
1.675550000E0,-4.113446045E-1,-8.645421753E0,2.392624512E0
1.685468000E0,-5.469925232E0,-8.766070862E0,1.240919495E-1
1.695386000E0,-4.747078400E0,-5.389392700E0,4.164340210E-1
