"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
0.000000000E0,-7.182296365E-3,4.833685398E0,9.346562386E0
2.332135000E-3,-2.872918546E-2,4.824109077E0,9.301074028E0
4.664271000E-3,-8.379345387E-2,4.833685398E0,9.274739265E0
6.995677000E-3,-1.173108369E-1,4.804955959E0,9.234039307E0
9.327083000E-3,-1.101285368E-1,4.773832798E0,9.183762550E0
1.165921900E-2,-1.053403467E-1,4.752285957E0,9.128699303E0
1.399135400E-2,-1.005521491E-1,4.749892235E0,9.049693108E0
1.632276000E-2,-1.005521491E-1,4.718768597E0,8.956322670E0
1.865411400E-2,-8.379345387E-2,4.716374397E0,8.834223747E0
2.098630200E-2,-6.224656478E-2,4.709191799E0,8.714518547E0
2.331843700E-2,-5.267017335E-2,4.709191799E0,8.534961700E0
2.564984400E-2,-4.069967940E-2,4.678069115E0,8.367375374E0
2.798119800E-2,-7.421706617E-2,4.673281193E0,8.199788094E0
3.031338500E-2,-9.576395154E-2,4.692433357E0,8.075295448E0
3.264552100E-2,-1.747692078E-1,4.699615955E0,7.969954491E0
3.497692700E-2,-2.681390643E-1,4.692433357E0,7.890949726E0
3.730828100E-2,-3.351738155E-1,4.713980675E0,7.850249767E0
3.964046900E-2,-4.572728872E-1,4.699615955E0,7.754486084E0
4.197260400E-2,-5.506426692E-1,4.644551277E0,7.677874565E0
4.430395800E-2,-6.416184306E-1,4.625399113E0,7.589293003E0
4.663536400E-2,-7.349883318E-1,4.563151836E0,7.574928284E0
4.896755200E-2,-8.163877130E-1,4.505693913E0,7.536623001E0
5.129968700E-2,-8.834224343E-1,4.467388630E0,7.596475601E0
5.363104200E-2,-9.504572153E-1,4.407536030E0,7.663509846E0
5.596244800E-2,-1.051009417E0,4.385989189E0,7.749697685E0
5.829458300E-2,-1.086920857E0,4.309377670E0,7.831097126E0
6.062671900E-2,-1.127620459E0,4.278254509E0,7.869402409E0
6.295812500E-2,-1.151561499E0,4.239949226E0,7.886161327E0
6.528953100E-2,-1.165926099E0,4.180096626E0,7.900526047E0
6.762166700E-2,-1.194655299E0,4.132214546E0,7.876585007E0
6.995380200E-2,-1.204231620E0,4.065179825E0,7.886161327E0
7.228520800E-2,-1.211413980E0,4.055603027E0,7.840673447E0
7.461656200E-2,-1.211413980E0,4.038844585E0,7.807156086E0
7.694875000E-2,-1.187473059E0,4.019691944E0,7.828702927E0
7.928088500E-2,-1.141985178E0,4.012509346E0,7.855038166E0
8.161229200E-2,-1.115650058E0,4.026874065E0,7.864614487E0
8.394364600E-2,-1.096497297E0,4.048420906E0,7.898131847E0
8.627583300E-2,-1.043827057E0,4.072361946E0,7.936437607E0
8.860796900E-2,-9.815804958E-1,4.084332466E0,7.965166569E0
9.093937500E-2,-9.145457745E-1,4.141790867E0,8.046566010E0
9.327072900E-2,-7.852643728E-1,4.165731907E0,8.130359650E0
9.560291700E-2,-6.440125704E-1,4.192067146E0,8.262035370E0
9.793505200E-2,-4.668492377E-1,4.239949226E0,8.357798576E0
1.002664580E-1,-2.872918546E-1,4.297407627E0,8.503838539E0
1.025978120E-1,-9.576395154E-2,4.306983471E0,8.666637421E0
1.049299480E-1,3.591148183E-2,4.283042431E0,8.757613182E0
1.072620830E-1,1.580105126E-1,4.304589272E0,8.776765823E0
1.095934890E-1,2.657449543E-1,4.309377670E0,8.795919418E0
1.119248960E-1,3.232033551E-1,4.338107109E0,8.800706863E0
1.142570310E-1,3.447502255E-1,4.338107109E0,8.783947945E0
1.165891670E-1,3.567207158E-1,4.347683430E0,8.805495262E0
1.189205730E-1,3.734793961E-1,4.350077629E0,8.822254181E0
1.212519790E-1,3.806616962E-1,4.393170834E0,8.855771065E0
1.235841140E-1,3.615089059E-1,4.397959709E0,8.894077301E0
1.259162500E-1,3.255974352E-1,4.378806591E0,8.949140549E0
1.282476560E-1,2.657449543E-1,4.326136589E0,9.040117264E0
1.305790620E-1,1.915279031E-1,4.306983471E0,9.123909950E0
