"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
0.000000000E0,2.045458078E0,-8.466745377E0,1.039185047E0
1.002979200E-2,2.069412947E0,-8.064300537E0,8.571270108E-1
1.253729200E-2,2.112531900E0,-8.150539398E0,8.523359895E-1
1.504468800E-2,2.069412947E0,-8.117001534E0,8.379629850E-1
1.755213600E-2,2.050249100E0,-8.126584053E0,7.948439717E-1
2.004718800E-2,2.069412947E0,-8.212821960E0,7.613070011E-1
2.255463600E-2,2.136487007E0,-8.227194786E0,7.756800056E-1
2.506213600E-2,2.112531900E0,-8.255941391E0,8.044260144E-1
2.756953200E-2,1.973592997E0,-8.303851128E0,7.948439717E-1
3.007698000E-2,1.920892000E0,-8.351760864E0,7.804710269E-1
3.258442800E-2,1.892145991E0,-8.308642387E0,8.379629850E-1
3.509187500E-2,1.853818059E0,-8.275105476E0,8.235899806E-1
3.760635500E-2,1.863399982E0,-8.227194786E0,8.283810019E-1
4.012078200E-2,1.849027038E0,-8.327806473E0,8.187990189E-1
4.262823000E-2,1.810698986E0,-8.433208466E0,7.660980225E-1
4.513562500E-2,1.757997990E0,-8.471535683E0,7.613070011E-1
4.764307300E-2,1.671759963E0,-8.399670601E0,7.373520136E-1
5.015052100E-2,1.686133027E0,-8.409253120E0,7.181879878E-1
5.265796900E-2,1.671759963E0,-8.423625946E0,7.133970261E-1
5.516541700E-2,1.690924048E0,-8.414044380E0,7.229790092E-1
5.767286500E-2,1.719670057E0,-8.409253120E0,6.846510172E-1
6.018031300E-2,1.705296993E0,-8.361343384E0,6.606960297E-1
6.268776100E-2,1.671759963E0,-8.342179298E0,6.559050083E-1
6.519520900E-2,1.628641009E0,-8.279895782E0,6.319500208E-1
6.770265700E-2,1.614267945E0,-8.131375313E0,6.463230252E-1
7.044656300E-2,1.599895000E0,-7.925362110E0,7.565159798E-1
7.295401100E-2,1.413046002E0,-7.283368111E0,1.082304001E0
7.546145900E-2,1.350762963E0,-7.091728210E0,1.154168963E0
7.796895900E-2,1.489701986E0,-7.570827961E0,9.481559992E-1
8.047635500E-2,1.528030038E0,-7.968481064E0,8.044260144E-1
8.298385500E-2,1.470538020E0,-8.107419968E0,6.654869914E-1
8.549125000E-2,1.312435031E0,-8.150539398E0,5.505030155E-1
8.799875000E-2,1.250151992E0,-8.131375313E0,4.882200062E-1
9.050614600E-2,1.173496008E0,-8.002017975E0,4.115639925E-1
9.301359400E-2,1.259734035E0,-7.724140167E0,1.911779940E-1
9.552104200E-2,1.714879036E0,-6.813849926E0,-7.711800188E-2
9.802849000E-2,1.633432031E0,-6.622210026E0,1.336860061E-1
1.007715630E-1,1.465746999E0,-6.813849926E0,1.193130016E-1
1.032790110E-1,1.168704987E0,-6.847386837E0,-1.777289957E-1
1.057864590E-1,9.195730090E-1,-6.885715008E0,-2.591759861E-1
1.082939070E-1,7.614700198E-1,-7.024653912E0,-2.400120050E-1
1.108013550E-1,6.033669710E-1,-7.292950153E0,-4.837200046E-2
1.133088030E-1,4.356819987E-1,-7.360023975E0,2.828400023E-2
1.158162500E-1,4.165180027E-1,-7.316905022E0,-1.004400011E-2
1.183236980E-1,3.638170063E-1,-7.292950153E0,-1.483500004E-2
1.208311460E-1,1.721770018E-1,-7.163592815E0,4.744800180E-2
1.233385940E-1,1.673859954E-1,-7.115683079E0,2.007600069E-1
1.258460420E-1,1.434309930E-1,-7.278576851E0,2.438790053E-1
1.283534900E-1,2.584150136E-1,-7.441471100E0,3.061619997E-1
1.310582300E-1,1.673859954E-1,-7.460635185E0,4.498920143E-1
1.335656780E-1,1.290580034E-1,-7.681021214E0,5.888310075E-1
1.360731250E-1,2.009229958E-1,-7.901406765E0,6.511139870E-1
1.385805730E-1,3.302800059E-1,-8.145748138E0,6.415320039E-1
1.410880210E-1,6.081579924E-1,-8.735040665E0,7.421429753E-1
1.435954170E-1,9.147819877E-1,-9.017709732E0,7.086060047E-1
1.461029170E-1,1.063302994E0,-9.113530159E0,7.948439717E-1
1.486103650E-1,1.125586033E0,-9.257260323E0,1.005648017E0
1.511178130E-1,1.082466960E0,-9.070410728E0,1.067931056E0
1.536252610E-1,1.197450995E0,-9.113530159E0,1.125422955E0
1.561327090E-1,1.446583033E0,-9.329125404E0,1.317062974E0
1.586401570E-1,1.413046002E0,-9.492018700E0,1.446419954E0
1.613114590E-1,1.427418947E0,-9.372243881E0,1.427255988E0
1.638189070E-1,1.504075050E0,-9.539929390E0,1.398509979E0
1.663263550E-1,1.494493008E0,-9.726778030E0,1.427255988E0
1.688338030E-1,1.384299994E0,-9.693241119E0,1.489539027E0
1.713412500E-1,1.470538020E0,-9.765106201E0,1.417673945E0
1.738486460E-1,1.556776047E0,-9.918417931E0,1.470374942E0
1.763561460E-1,1.542402983E0,-9.908836365E0,1.422464967E0
1.788635940E-1,1.575940013E0,-9.932790756E0,1.384137034E0
1.813710420E-1,1.499284029E0,-9.956746101E0,1.403301001E0
1.838784380E-1,1.523239017E0,-9.951954842E0,1.436838031E0
1.863858860E-1,1.547194004E0,-9.995074272E0,1.484748006E0
1.888933340E-1,1.499284029E0,-9.904045105E0,1.326645017E0
