"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
7.391145900E-2,-2.524258494E-1,2.526257336E-1,1.411667764E-1
7.641895900E-2,-2.598828673E-1,2.291907221E-1,1.454277784E-1
7.892635500E-2,-2.502958477E-1,2.110807300E-1,1.507537663E-1
8.143385500E-2,-2.439038754E-1,2.078857273E-1,1.486237645E-1
8.394125000E-2,-2.417738736E-1,2.153417319E-1,1.496887654E-1
8.644875000E-2,-2.439038754E-1,2.206687331E-1,1.539497674E-1
8.895614600E-2,-2.428388745E-1,2.259947360E-1,1.656677723E-1
9.146359400E-2,-2.428388745E-1,2.302557230E-1,1.837767661E-1
9.397104200E-2,-2.524258494E-1,2.568867207E-1,1.954947710E-1
9.647849000E-2,-2.694708705E-1,3.101497293E-1,1.954947710E-1
9.922156300E-2,-2.843838632E-1,3.271947205E-1,1.922987700E-1
1.017290110E-1,-2.907758653E-1,3.325207233E-1,1.933647692E-1
1.042364590E-1,-3.088848591E-1,3.495647311E-1,2.072127759E-1
1.067439070E-1,-3.237988651E-1,3.623477221E-1,2.263877690E-1
1.092513550E-1,-3.376468420E-1,3.751307428E-1,2.476927787E-1
1.117588030E-1,-3.451038599E-1,3.655437231E-1,2.700627744E-1
1.142662500E-1,-3.504298627E-1,3.612827361E-1,3.009557724E-1
1.167736980E-1,-3.546908498E-1,3.698047400E-1,3.275867701E-1
1.192811460E-1,-3.664088547E-1,3.708697259E-1,3.510227799E-1
1.217885940E-1,-3.749308586E-1,3.698047400E-1,3.765887618E-1
1.242960420E-1,-3.770618439E-1,3.719357252E-1,3.989597857E-1
1.268034900E-1,-3.781268597E-1,3.793917298E-1,4.245257676E-1
1.295082300E-1,-3.749308586E-1,3.868487179E-1,4.447657764E-1
1.320156780E-1,-3.621478677E-1,3.943057358E-1,4.639407694E-1
1.345231250E-1,-3.525608480E-1,4.006977379E-1,4.777887762E-1
1.370305730E-1,-3.429728448E-1,4.006977379E-1,4.831147790E-1
1.395380210E-1,-3.291248679E-1,3.985667229E-1,4.852457643E-1
1.420454170E-1,-3.163418472E-1,4.006977379E-1,4.671357572E-1
1.445529170E-1,-3.078198433E-1,4.124147296E-1,4.309177697E-1
1.470603650E-1,-2.961018682E-1,4.273287356E-1,3.978947699E-1
1.495678130E-1,-2.758618593E-1,4.326547384E-1,3.776547611E-1
1.520752610E-1,-2.577528656E-1,4.315897226E-1,3.638057709E-1
1.545827090E-1,-2.364468724E-1,4.273287356E-1,3.499577641E-1
1.570901570E-1,-2.140768766E-1,4.273287356E-1,3.307827711E-1
1.597614590E-1,-1.853148639E-1,4.134807289E-1,3.126737773E-1
1.622689070E-1,-1.672058702E-1,3.985667229E-1,3.020207584E-1
1.647763550E-1,-1.522918642E-1,3.911097348E-1,2.849767804E-1
1.672838030E-1,-1.299208701E-1,3.815227151E-1,2.679327726E-1
1.697912500E-1,-1.171378717E-1,3.698047400E-1,2.583447695E-1
1.722986460E-1,-1.032898724E-1,3.580867350E-1,2.476927787E-1
1.748061460E-1,-8.411487192E-2,3.516957164E-1,2.306487709E-1
1.773135940E-1,-7.239687443E-2,3.527607322E-1,2.125387788E-1
1.798210420E-1,-5.535286665E-2,3.527607322E-1,2.008207738E-1
1.823284380E-1,-4.256986827E-2,3.484997153E-1,1.922987700E-1
1.848358860E-1,-3.191786632E-2,3.431737423E-1,1.859077662E-1
1.873433340E-1,-1.806886867E-2,3.357167244E-1,1.795157790E-1
1.900846880E-1,-7.416869048E-3,3.314557374E-1,1.784507781E-1
1.925921360E-1,-4.220868926E-3,3.261287212E-1,1.752547771E-1
1.950995840E-1,-2.089868765E-3,3.144117296E-1,1.741897762E-1
1.976069800E-1,4.013116268E-5,3.048237264E-1,1.709937751E-1
2.001144800E-1,3.235131269E-3,2.909757197E-1,1.656677723E-1
2.026218750E-1,4.013116268E-5,2.707357407E-1,1.635367721E-1
2.051293750E-1,4.300130997E-3,2.441037297E-1,1.667327732E-1
2.076368230E-1,5.366131198E-3,2.206687331E-1,1.699287742E-1
2.101442710E-1,7.496131118E-3,2.068197280E-1,1.763197780E-1
2.126517190E-1,8.561131544E-3,1.951017231E-1,1.720587760E-1
2.151591670E-1,1.175713167E-2,1.929717362E-1,1.646027714E-1
2.176666150E-1,1.388813183E-2,1.982977241E-1,1.646027714E-1
2.203739070E-1,1.388813183E-2,2.004287243E-1,1.603417695E-1
2.228813550E-1,1.282213163E-2,2.025587261E-1,1.528847665E-1
2.253888030E-1,1.069213171E-2,2.132117301E-1,1.369057745E-1
2.278962500E-1,8.561131544E-3,2.313207239E-1,1.209267750E-1
2.304036980E-1,9.627131745E-3,2.355817258E-1,1.134697720E-1
2.329111460E-1,9.627131745E-3,2.302557230E-1,1.006867737E-1
2.354185940E-1,1.282213163E-2,2.419737279E-1,7.831677049E-2
2.379260420E-1,1.814913005E-2,2.526257336E-1,5.488076806E-2
2.404334900E-1,1.495313179E-2,2.579527199E-1,4.209776968E-2
2.429409380E-1,9.627131745E-3,2.536917329E-1,4.529276863E-2
2.454483340E-1,8.561131544E-3,2.398427278E-1,4.422776774E-2
2.479558340E-1,2.170131076E-3,2.249297351E-1,3.890176862E-2
2.506660940E-1,-3.155868733E-3,2.142767310E-1,4.103176668E-2
2.531735420E-1,-7.416869048E-3,2.014937252E-1,3.677076846E-2
2.556809900E-1,-1.487286855E-2,1.929717362E-1,2.079176717E-2
2.581884380E-1,-1.806886867E-2,1.919067353E-1,1.120476890E-2
2.606958860E-1,-2.659086883E-2,1.961677223E-1,1.226976886E-2
2.632033340E-1,-3.298286721E-2,1.908407360E-1,1.866176724E-2
2.657107300E-1,-4.683086649E-2,1.833847314E-1,1.440076809E-2
2.682182300E-1,-5.535286665E-2,1.759277284E-1,1.120476890E-2
2.707256780E-1,-6.280986965E-2,1.727317274E-1,6.943768822E-3
2.732331250E-1,-6.813587248E-2,1.737967283E-1,-5.132312654E-4
