"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
0.000000000E0,3.447263539E-1,9.741492271E0,-1.560448408E0
2.418177000E-3,3.471204937E-1,9.719944954E0,-1.605936289E0
4.836354000E-3,3.447263539E-1,9.712762833E0,-1.603542089E0
7.254531000E-3,3.973965943E-1,9.722338676E0,-1.601147890E0
9.672708000E-3,4.117611945E-1,9.724733353E0,-1.613118410E0
1.209088500E-2,3.830319941E-1,9.710369110E0,-1.620300770E0
1.450906300E-2,3.638791740E-1,9.710369110E0,-1.629877329E0
1.693031300E-2,3.471204937E-1,9.684034348E0,-1.651424170E0
1.935161500E-2,2.968444526E-1,9.686428070E0,-1.665788651E0
2.177015600E-2,2.585388422E-1,9.672062874E0,-1.641847849E0
2.418947900E-2,2.250214815E-1,9.681638718E0,-1.629877329E0
2.660880200E-2,1.891100109E-1,9.688821793E0,-1.634665489E0
2.902739600E-2,1.651690006E-1,9.679244995E0,-1.653818369E0
3.144593800E-2,1.723512709E-1,9.698397636E0,-1.644241810E0
3.386531300E-2,1.795336008E-1,9.705579758E0,-1.672971010E0
3.628463500E-2,1.962922812E-1,9.696003914E0,-1.653818369E0
3.870317700E-2,2.226273715E-1,9.688821793E0,-1.658606291E0
4.112177100E-2,2.274155617E-1,9.660093307E0,-1.651424170E0
4.354109400E-2,2.010804713E-1,9.660093307E0,-1.632271290E0
4.596041700E-2,2.322037518E-1,9.631362915E0,-1.639453650E0
4.837901000E-2,2.178391516E-1,9.657697678E0,-1.625088930E0
5.079755200E-2,2.274155617E-1,9.660093307E0,-1.591571569E0
5.321692700E-2,2.369919717E-1,9.660093307E0,-1.589177608E0
5.563625000E-2,2.417801619E-1,9.693610191E0,-1.555660248E0
5.805479200E-2,2.513565719E-1,9.681638718E0,-1.546083689E0
6.047333300E-2,2.872680128E-1,9.731914520E0,-1.531719208E0
6.289270800E-2,3.519087136E-1,9.798950195E0,-1.438349247E0
6.531203100E-2,3.207854331E-1,9.775009155E0,-1.440743446E0
6.773062500E-2,2.130509615E-1,9.767827034E0,-1.526931047E0
7.014916700E-2,2.489624619E-1,9.791768074E0,-1.579601049E0
7.256854200E-2,2.848739326E-1,9.779796600E0,-1.625088930E0
7.498786500E-2,3.040267527E-1,9.741492271E0,-1.658606291E0
7.740640600E-2,3.495146334E-1,9.736703873E0,-1.663394690E0
7.982494800E-2,3.782438338E-1,9.731914520E0,-1.639453650E0
8.224432300E-2,3.902142346E-1,9.696003914E0,-1.637059450E0
8.466364600E-2,3.686673939E-1,9.712762833E0,-1.581995249E0
8.708224000E-2,3.566968739E-1,9.707975388E0,-1.512566328E0
8.950078100E-2,3.854260743E-1,9.691215515E0,-1.517354727E0
9.192015600E-2,3.902142346E-1,9.691215515E0,-1.517354727E0
9.433947900E-2,3.734555542E-1,9.686428070E0,-1.505384207E0
9.675802100E-2,3.662733138E-1,9.700792313E0,-1.529325247E0
9.917656300E-2,3.279676735E-1,9.681638718E0,-1.534113169E0
1.015959380E-1,3.327559531E-1,9.681638718E0,-1.512566328E0
1.040152600E-1,3.590910137E-1,9.676851273E0,-1.543689728E0
1.064338540E-1,3.543027937E-1,9.662487030E0,-1.546083689E0
1.088523960E-1,3.806378543E-1,9.643334389E0,-1.581995249E0
1.112717710E-1,3.519087136E-1,9.652910233E0,-1.610724449E0
1.136910940E-1,3.614851534E-1,9.657697678E0,-1.610724449E0
1.161096350E-1,3.351500332E-1,9.667275429E0,-1.613118410E0
1.185281770E-1,2.561447620E-1,9.679244995E0,-1.634665489E0
1.209475520E-1,2.729034424E-1,9.700792313E0,-1.656212330E0
1.233668750E-1,2.369919717E-1,9.712762833E0,-1.651424170E0
1.257854690E-1,2.345978916E-1,9.741492271E0,-1.672971010E0
1.282040100E-1,2.369919717E-1,9.746279716E0,-1.680153370E0
1.306233850E-1,2.633270323E-1,9.786979675E0,-1.649029970E0
1.330427080E-1,2.609329522E-1,9.779796600E0,-1.656212330E0
1.354612500E-1,2.633270323E-1,9.830074310E0,-1.608330488E0
1.378797920E-1,2.633270323E-1,9.827678680E0,-1.603542089E0
1.402991670E-1,2.705093622E-1,9.851619720E0,-1.562842607E0
1.427184900E-1,2.800857723E-1,9.889925957E0,-1.567630529E0
1.451370830E-1,2.681152523E-1,9.904291153E0,-1.546083689E0
1.475556250E-1,2.752975225E-1,9.921049118E0,-1.536507368E0
1.499750000E-1,3.351500332E-1,9.921049118E0,-1.570024729E0
1.523943230E-1,4.357021153E-1,9.978507996E0,-1.536507368E0
1.548128650E-1,3.926083744E-1,9.923442841E0,-1.538901567E0
1.572314060E-1,3.112089932E-1,9.887532234E0,-1.684941530E0
1.596507810E-1,3.279676735E-1,9.822891235E0,-1.754370451E0
1.620701040E-1,3.686673939E-1,9.810920715E0,-1.783099413E0
1.644886980E-1,3.806378543E-1,9.779796600E0,-1.773523092E0
1.669072400E-1,4.309139550E-1,9.777402878E0,-1.787887812E0
1.693265630E-1,4.428844154E-1,9.741492271E0,-1.759158611E0
1.717458850E-1,4.404903948E-1,9.703186035E0,-1.682547331E0
1.741644790E-1,4.045788944E-1,9.679244995E0,-1.646635771E0
1.765830210E-1,3.973965943E-1,9.664880753E0,-1.577207088E0
1.790023960E-1,3.878202140E-1,9.650515556E0,-1.550872087E0
1.814217190E-1,3.878202140E-1,9.674456596E0,-1.510172367E0
1.838402600E-1,3.614851534E-1,9.655303955E0,-1.457502127E0
1.862588020E-1,3.495146334E-1,9.662487030E0,-1.445531607E0
1.886781770E-1,3.566968739E-1,9.688821793E0,-1.445531607E0
1.910975000E-1,3.471204937E-1,9.688821793E0,-1.462290287E0
1.935160940E-1,3.471204937E-1,9.707975388E0,-1.462290287E0
1.959346350E-1,3.566968739E-1,9.724733353E0,-1.488625288E0
1.983540100E-1,3.471204937E-1,9.710369110E0,-1.514960527E0
2.007733330E-1,3.207854331E-1,9.712762833E0,-1.529325247E0
2.031918750E-1,3.136031330E-1,9.741492271E0,-1.560448408E0
2.056104170E-1,3.279676735E-1,9.715156555E0,-1.610724449E0
2.080297920E-1,3.183912933E-1,9.698397636E0,-1.641847849E0
2.104491150E-1,3.112089932E-1,9.688821793E0,-1.613118410E0
2.128677080E-1,3.183912933E-1,9.676851273E0,-1.613118410E0
2.152862500E-1,3.207854331E-1,9.667275429E0,-1.598753929E0
2.177056250E-1,3.255736530E-1,9.679244995E0,-1.529325247E0
2.201249480E-1,2.824798524E-1,9.681638718E0,-1.543689728E0
2.225434900E-1,3.327559531E-1,9.700792313E0,-1.505384207E0
2.249620310E-1,3.878202140E-1,9.782192230E0,-1.419196606E0
2.273814060E-1,3.183912933E-1,9.753461838E0,-1.447925806E0
2.298007290E-1,2.609329522E-1,9.751068115E0,-1.519748688E0
2.322193230E-1,3.183912933E-1,9.777402878E0,-1.565236568E0
2.346378650E-1,3.279676735E-1,9.803737640E0,-1.529325247E0
2.370572400E-1,3.519087136E-1,9.798950195E0,-1.581995249E0
2.394765630E-1,3.902142346E-1,9.813315392E0,-1.596359968E0
2.418951040E-1,4.141552746E-1,9.834861755E0,-1.622694969E0
2.443136460E-1,4.213375747E-1,9.846832275E0,-1.634665489E0
2.467330210E-1,4.261257350E-1,9.839650154E0,-1.653818369E0
2.491523440E-1,4.357021153E-1,9.846832275E0,-1.637059450E0
2.515709380E-1,4.237317145E-1,9.842043877E0,-1.656212330E0
2.539894790E-1,3.782438338E-1,9.837256432E0,-1.656212330E0
2.564088540E-1,3.686673939E-1,9.822891235E0,-1.627483130E0
2.588281770E-1,3.830319941E-1,9.772615433E0,-1.637059450E0
2.612467190E-1,3.590910137E-1,9.782192230E0,-1.615512609E0
2.636652600E-1,3.183912933E-1,9.748674393E0,-1.629877329E0
2.660846350E-1,2.992385328E-1,9.729520798E0,-1.649029970E0
2.685039580E-1,2.800857723E-1,9.741492271E0,-1.641847849E0
2.709225520E-1,2.776916325E-1,9.724733353E0,-1.639453650E0
2.733410940E-1,2.681152523E-1,9.717551231E0,-1.637059450E0
2.757604170E-1,2.489624619E-1,9.717551231E0,-1.627483130E0
2.781797400E-1,2.776916325E-1,9.743885994E0,-1.622694969E0
2.805983330E-1,2.585388422E-1,9.743885994E0,-1.653818369E0
2.830168750E-1,2.537506521E-1,9.719944954E0,-1.649029970E0
2.854362500E-1,2.417801619E-1,9.736703873E0,-1.672971010E0
2.878555730E-1,2.465683520E-1,9.746279716E0,-1.656212330E0
2.902741670E-1,2.609329522E-1,9.746279716E0,-1.620300770E0
2.926927080E-1,2.681152523E-1,9.743885994E0,-1.637059450E0
2.951120310E-1,2.776916325E-1,9.739097595E0,-1.598753929E0
2.975313540E-1,2.633270323E-1,9.717551231E0,-1.560448408E0
2.999499480E-1,2.705093622E-1,9.736703873E0,-1.579601049E0
3.023684900E-1,2.920562327E-1,9.734310150E0,-1.567630529E0
3.047878650E-1,2.992385328E-1,9.729520798E0,-1.574812889E0
3.072071880E-1,3.159972131E-1,9.743885994E0,-1.572418928E0
3.096257810E-1,3.064208329E-1,9.722338676E0,-1.625088930E0
3.120443230E-1,3.040267527E-1,9.724733353E0,-1.656212330E0
3.144636460E-1,3.016326129E-1,9.727127075E0,-1.656212330E0
3.168829690E-1,3.112089932E-1,9.722338676E0,-1.649029970E0
3.193015630E-1,3.279676735E-1,9.707975388E0,-1.668182850E0
3.217201040E-1,3.710615337E-1,9.700792313E0,-1.653818369E0
3.241394790E-1,3.806378543E-1,9.679244995E0,-1.651424170E0
3.265588020E-1,3.734555542E-1,9.655303955E0,-1.653818369E0
3.289773440E-1,3.399381936E-1,9.657697678E0,-1.653818369E0
3.313958850E-1,3.495146334E-1,9.648121834E0,-1.651424170E0
3.338152600E-1,3.614851534E-1,9.628969193E0,-1.668182850E0
3.362345830E-1,3.878202140E-1,9.628969193E0,-1.649029970E0
3.386531770E-1,4.093670547E-1,9.652910233E0,-1.675365210E0
3.410717190E-1,4.141552746E-1,9.660093307E0,-1.670576811E0
3.434910940E-1,4.572490752E-1,9.643334389E0,-1.680153370E0
3.459104170E-1,4.764018357E-1,9.628969193E0,-1.706488371E0
3.483289580E-1,4.740077555E-1,9.609815598E0,-1.740005732E0
3.507475000E-1,4.692195952E-1,9.602634430E0,-1.740005732E0
3.531668750E-1,4.596431553E-1,9.573904991E0,-1.763946772E0
3.555861980E-1,4.404903948E-1,9.540388107E0,-1.756764412E0
3.580047920E-1,4.093670547E-1,9.530811310E0,-1.735217571E0
3.604233330E-1,3.782438338E-1,9.499688148E0,-1.732823610E0
3.628427080E-1,3.686673939E-1,9.514053345E0,-1.708882570E0
3.652620310E-1,3.662733138E-1,9.490112305E0,-1.708882570E0
3.676805730E-1,3.758496940E-1,9.518840790E0,-1.677759171E0
3.700991150E-1,3.878202140E-1,9.545175552E0,-1.649029970E0
3.725184900E-1,4.141552746E-1,9.552357674E0,-1.658606291E0
3.749378130E-1,4.069729745E-1,9.593057632E0,-1.613118410E0
3.773564060E-1,4.165493548E-1,9.631362915E0,-1.622694969E0
3.797749480E-1,4.476726353E-1,9.636152267E0,-1.641847849E0
3.821943230E-1,4.213375747E-1,9.679244995E0,-1.625088930E0
3.846136460E-1,4.285198748E-1,9.667275429E0,-1.644241810E0
3.870321880E-1,4.357021153E-1,9.684034348E0,-1.658606291E0
3.894507290E-1,4.357021153E-1,9.703186035E0,-1.668182850E0
3.918701040E-1,4.380962551E-1,9.707975388E0,-1.661000490E0
