"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.209063000E-3,3.626989201E-5,-5.488428473E-2,3.144617006E-2
3.627240000E-3,3.626989201E-5,-5.488428473E-2,3.144617006E-2
6.045417000E-3,3.626989201E-5,-5.488428473E-2,3.144617006E-2
8.463594000E-3,3.626989201E-5,-5.488428473E-2,3.144617006E-2
1.088177100E-2,3.626989201E-5,-5.488428473E-2,3.144617006E-2
1.329994800E-2,3.626989201E-5,-5.488428473E-2,3.144617006E-2
1.571812500E-2,3.626989201E-5,-5.488428473E-2,3.144617006E-2
1.814250000E-2,3.626989201E-5,-5.488428473E-2,3.144617006E-2
2.056067700E-2,3.626989201E-5,-5.488428473E-2,3.144617006E-2
2.297958300E-2,3.626989201E-5,-5.488428473E-2,3.144617006E-2
2.539932300E-2,3.626989201E-5,-5.488428473E-2,3.144617006E-2
2.781828100E-2,3.626989201E-5,-5.488428473E-2,3.144617006E-2
3.023645800E-2,3.626989201E-5,-5.488428473E-2,3.144617006E-2
3.265541700E-2,3.626989201E-5,-5.488428473E-2,3.144617006E-2
3.507515600E-2,3.626989201E-5,-5.488428473E-2,3.144617006E-2
3.749411500E-2,3.626989201E-5,-5.488428473E-2,3.144617006E-2
3.991224000E-2,3.626989201E-5,-5.488428473E-2,3.144617006E-2
4.233125000E-2,3.626989201E-5,-5.488428473E-2,3.144617006E-2
4.475093800E-2,3.626989201E-5,-5.488428473E-2,3.144617006E-2
4.716989600E-2,3.626989201E-5,-5.488428473E-2,3.144617006E-2
4.958807300E-2,3.626989201E-5,-5.488428473E-2,3.144617006E-2
5.200703100E-2,3.626989201E-5,-5.488428473E-2,3.144617006E-2
5.442677100E-2,3.626989201E-5,-5.488428473E-2,3.144617006E-2
5.684572900E-2,3.626989201E-5,-5.488428473E-2,3.144617006E-2
5.926385400E-2,3.626989201E-5,-5.488428473E-2,3.144617006E-2
6.168281300E-2,3.626989201E-5,-5.488428473E-2,3.144617006E-2
6.410255200E-2,3.626989201E-5,-5.488428473E-2,3.144617006E-2
