"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
0.000000000E0,-3.559889197E-1,-5.053083301E-1,-5.505445600E-1
9.978999966E-3,-3.816764355E-1,-2.727879882E-1,-7.503122687E-1
1.998900005E-2,-4.279807210E-1,-1.358122081E-1,-9.512839913E-1
2.999900002E-2,-2.867325246E-1,-4.606818855E-1,-1.122917771E0
3.997799999E-2,4.461709037E-2,-8.231585026E-1,-1.110142946E0
4.998799996E-2,4.143360257E-1,-7.826192975E-1,-9.932703376E-1
5.996700004E-2,7.701265216E-1,-4.729557335E-1,-8.613398075E-1
6.997700001E-2,1.033365607E0,-1.978021860E-1,-7.954825163E-1
7.995599997E-2,1.155605316E0,5.525938794E-2,-8.035560846E-1
8.996600006E-2,1.123327732E0,2.000692934E-1,-8.605828881E-1
9.997500002E-2,9.103764296E-1,3.063254952E-1,-8.986594677E-1
1.099550000E-1,6.090520620E-1,2.014443427E-1,-9.816997647E-1
1.199640000E-1,4.211565256E-1,-4.434160143E-2,-1.053514481E0
1.299440000E-1,2.621764839E-1,-3.098355830E-1,-1.140645742E0
1.399530000E-1,1.745745093E-1,-4.928762019E-1,-1.164164662E0
1.499630000E-1,2.324753702E-1,-5.049746633E-1,-1.060751796E0
1.599420001E-1,4.415078759E-1,-4.764858186E-1,-8.613517880E-1
1.699520000E-1,5.772629976E-1,-6.941747069E-1,-6.014147401E-1
1.799310000E-1,6.655796170E-1,-4.220954776E-1,-6.477188468E-1
1.899410000E-1,7.720612884E-1,4.057629406E-2,-9.211621284E-1
1.999200000E-1,8.319048882E-1,3.115895689E-1,-1.374387980E0
2.099300000E-1,7.568210363E-1,1.018563136E-1,-1.694879770E0
2.199400000E-1,5.893521905E-1,-3.258727789E-1,-1.737700701E0
2.299190001E-1,4.137074053E-1,-7.499992847E-1,-1.593765378E0
2.399290000E-1,1.920041740E-1,-1.103279233E0,-9.966396093E-1
2.499080000E-1,2.164683118E-2,-1.247945428E0,-3.997282982E-1
2.599180000E-1,-5.837716162E-2,-8.851095438E-1,-4.414706528E-1
2.698970000E-1,-1.388903856E-1,-3.021598160E-1,-6.153876185E-1
2.799070000E-1,-2.618420124E-1,-2.106031030E-2,-7.329638004E-1
2.899170000E-1,-3.729496300E-1,-1.209296510E-1,-8.819548488E-1
2.998960000E-1,-3.534382284E-1,-2.616574764E-1,-8.531871438E-1
3.099060000E-1,-1.112618018E-2,1.398745179E-1,-7.285389304E-1
3.198850000E-1,4.959268570E-1,1.131514430E0,-7.109529972E-1
3.298950000E-1,8.462590575E-1,1.968843699E0,-9.813227057E-1
3.399050001E-1,9.706013203E-1,2.029111385E0,-1.351496577E0
3.498840000E-1,1.129240036E0,2.091556072E0,-1.532069802E0
3.598940000E-1,1.202768326E0,2.050645828E0,-1.149607301E0
3.698730000E-1,9.939468503E-1,1.447419047E0,-9.094294310E-1
3.798830000E-1,6.387012601E-1,4.447192550E-1,-8.842366338E-1
3.898620000E-1,3.437649906E-1,-3.951520026E-1,-9.650936723E-1
3.998720000E-1,2.704243660E-1,-7.069363594E-1,-1.084160447E0
4.098810001E-1,5.109166503E-1,-4.486329257E-1,-1.105257750E0
4.198610000E-1,1.024809361E0,2.164486647E-1,-1.008180141E0
4.298700000E-1,1.571322680E0,9.084143043E-1,-8.763907552E-1
4.398500000E-1,1.891681075E0,1.321013927E0,-8.032782674E-1
4.498590000E-1,1.965575099E0,1.505328894E0,-7.509937882E-1
4.598390000E-1,2.370829582E0,2.855592728E0,-6.627027392E-1
4.698480000E-1,2.904997110E0,4.654547691E0,-3.715835214E-1
4.798580001E-1,2.681095362E0,4.275614738E0,-1.744697094E-1
4.898370000E-1,2.307257414E0,3.104851961E0,-2.427727729E-2
4.998179583E-1,2.467407942E0,3.555737734E0,3.192550838E-1
5.097969583E-1,1.438375473E0,2.844944596E-1,3.795168400E-1
5.198069584E-1,7.052918673E-1,-2.224303722E0,2.172975540E-1
5.298169584E-1,5.317621827E-1,-2.619585752E0,-6.284009665E-2
5.397959583E-1,6.592895389E-1,-1.777878761E0,-3.000987172E-1
5.498059583E-1,8.903705478E-1,-6.418436170E-1,-3.534964323E-1
5.597849584E-1,1.139807463E0,2.399539948E-1,-2.013904899E-1
5.697949583E-1,1.308076620E0,8.008189201E-1,-3.591577336E-2
5.797739583E-1,1.342870116E0,1.174565315E0,1.699136570E-2
5.897839584E-1,1.254531741E0,1.418400049E0,1.364909951E-2
5.997939584E-1,1.074603915E0,1.590654373E0,-8.614139631E-3
6.097729583E-1,8.474287987E-1,1.673041582E0,-2.552441135E-2
6.197829583E-1,6.466103196E-1,1.631829023E0,-5.311870016E-3
6.297619584E-1,5.687402487E-1,1.551534414E0,3.916318342E-2
6.397719583E-1,6.805832386E-1,1.531102419E0,9.286509454E-2
6.497509583E-1,9.604577422E-1,1.560098648E0,1.454223096E-1
6.597609584E-1,1.355069637E0,1.644521832E0,2.131182551E-1
6.697709584E-1,1.786667705E0,1.761728287E0,2.619496882E-1
6.797499583E-1,2.174733162E0,1.909978032E0,3.210656941E-1
6.897599583E-1,2.468447447E0,2.020551205E0,3.938778341E-1
6.997389584E-1,2.656327963E0,2.043798685E0,4.619608223E-1
7.097489584E-1,2.757500172E0,1.956617355E0,5.589326024E-1
7.197579583E-1,2.822852612E0,1.773671389E0,7.135823965E-1
7.297379583E-1,2.851569414E0,1.597606540E0,8.681972623E-1
7.397469584E-1,2.729601860E0,1.419417262E0,9.125125408E-1
7.497269583E-1,2.410701990E0,1.123370647E0,8.796678185E-1
7.597359583E-1,1.945085645E0,7.390729189E-1,8.002012372E-1
7.697159584E-1,1.470700026E0,4.627161920E-1,6.473962069E-1
7.797249584E-1,1.110380769E0,3.424699605E-1,4.712387025E-1
7.897349583E-1,8.957244158E-1,3.163323700E-1,3.397656381E-1
7.997139583E-1,8.208762407E-1,2.506068945E-1,2.967100441E-1
8.097239584E-1,8.423778415E-1,2.100650668E-1,3.174030781E-1
8.197029583E-1,9.001177549E-1,2.509834170E-1,3.268951774E-1
8.297129583E-1,9.077900648E-1,2.926485837E-1,2.988520861E-1
8.396919584E-1,8.623377681E-1,2.860532403E-1,3.087984025E-1
8.497019584E-1,8.212076426E-1,3.919783235E-1,4.103508592E-1
8.597119583E-1,8.023501039E-1,7.245038152E-1,5.151446462E-1
8.696909583E-1,7.710582018E-1,1.009993911E0,6.184779406E-1
8.797009584E-1,7.005414963E-1,1.093521833E0,5.940256715E-1
8.896799583E-1,5.253169537E-1,9.473989606E-1,4.535596371E-1
8.996899583E-1,2.643425763E-1,6.588007212E-1,1.742387116E-1
9.096999583E-1,3.529473767E-2,2.209914029E-1,-1.024839655E-1
9.196789584E-1,-3.760990873E-2,-1.392523795E-1,-2.352170050E-1
9.296889583E-1,9.633697569E-2,-8.396594971E-2,-1.878654808E-1
9.396679583E-1,3.763443828E-1,3.243505061E-1,-5.486632884E-2
9.496779584E-1,6.671825647E-1,7.433541417E-1,1.420858949E-1
9.596569584E-1,8.334772587E-1,9.641303420E-1,3.030438423E-1
9.696669583E-1,8.791936040E-1,8.582212329E-1,3.729523420E-1
9.796769583E-1,8.725233674E-1,5.548925996E-1,3.497181535E-1
9.896559584E-1,8.514382839E-1,2.721511722E-1,2.788365185E-1
9.996659583E-1,8.170371652E-1,1.783313304E-1,1.353355348E-1
1.009644958E0,7.930431366E-1,1.792578399E-1,3.978833556E-3
1.019654958E0,7.902481556E-1,2.216137797E-1,-5.242399499E-2
1.029663958E0,8.063639998E-1,3.528857827E-1,-5.169188976E-2
1.039643958E0,7.584429979E-1,5.621397495E-1,-2.615828812E-2
1.049652958E0,5.716859102E-1,6.416870356E-1,2.049975842E-2
1.059632958E0,3.369435966E-1,4.769552350E-1,1.014241502E-1
1.069641958E0,2.224109024E-1,2.525218725E-1,2.344618142E-1
1.079621958E0,3.113940060E-1,2.376791239E-1,3.539772630E-1
1.089630958E0,5.487218499E-1,3.572246730E-1,4.534210265E-1
1.099640958E0,8.561125398E-1,4.341609776E-1,5.779951811E-1
1.109619958E0,1.127315521E0,4.131587446E-1,6.633105874E-1
1.119629958E0,1.244866967E0,2.675124705E-1,7.135474086E-1
1.129608958E0,1.201354265E0,1.610539407E-1,7.540772557E-1
1.139618958E0,1.088401437E0,1.432046890E-1,7.729982734E-1
1.149597958E0,1.002606034E0,1.389641315E-1,7.335768342E-1
1.159607958E0,9.755933285E-1,1.343260705E-1,6.453065872E-1
1.169617958E0,9.943920374E-1,9.200205654E-2,6.318320632E-1
1.179596958E0,1.039581060E0,1.289450973E-1,6.619974971E-1
1.189606958E0,1.095560908E0,2.632208765E-1,7.128454447E-1
1.199585958E0,1.127932787E0,4.400936365E-1,7.358371019E-1
1.209595958E0,1.081418872E0,5.557104945E-1,6.972500086E-1
1.219605958E0,9.709309340E-1,5.815017223E-1,6.090984941E-1
1.229584958E0,8.802380562E-1,5.021342039E-1,4.832313955E-1
1.239594958E0,8.758877516E-1,4.079380929E-1,3.770975173E-1
1.249573958E0,9.474713802E-1,3.011850119E-1,3.876292706E-1
1.259583958E0,1.007025242E0,1.895165592E-1,5.193436742E-1
1.269562958E0,1.082793355E0,2.440533638E-1,7.656263709E-1
1.279572958E0,1.116617918E0,4.877476990E-1,1.030469298E0
1.289582958E0,7.854630947E-1,7.554251552E-1,1.053939700E0
1.299561958E0,9.165940434E-2,1.055761695E0,8.010737896E-1
1.309571958E0,-4.872252643E-1,1.423854232E0,4.855813980E-1
1.319550958E0,-6.927008033E-1,1.902354717E0,3.468642533E-1
1.329560958E0,-5.037990808E-1,2.285028458E0,5.364259481E-1
1.339539958E0,-1.465928406E-1,2.360081434E0,8.050520420E-1
1.349549958E0,2.263793945E-1,2.047277689E0,1.168992281E0
1.359558958E0,4.954654872E-1,1.468903065E0,1.614901781E0
1.369538958E0,5.254715681E-1,9.287782311E-1,2.022262335E0
1.379547958E0,4.155483246E-1,7.874312401E-1,2.263530731E0
1.389527958E0,3.758009076E-1,1.089232922E0,2.385904074E0
1.399536958E0,4.406480193E-1,1.622820020E0,2.414623499E0
1.409546958E0,5.195084810E-1,2.219975710E0,2.318389177E0
1.419525958E0,5.207927823E-1,2.689909935E0,2.079925299E0
1.429535958E0,5.164268017E-1,3.087056398E0,1.813539147E0
1.439514958E0,6.450422406E-1,3.311502218E0,1.596435428E0
1.449524958E0,7.489222884E-1,2.661808252E0,1.526288271E0
1.459503958E0,4.065887034E-1,4.021590352E-1,1.410556436E0
1.469513958E0,-9.942522645E-2,-1.792338729E0,1.086181283E0
1.479523958E0,-2.733064592E-1,-8.655170798E-1,6.945519447E-1
1.489502958E0,-7.463581562E-1,-9.252387285E-1,3.079171181E-1
1.499482958E0,-1.105965137E0,-6.445329785E-1,4.473391920E-2
1.509461958E0,-1.233544469E0,-2.461992055E-1,-1.633559018E-1
1.519471958E0,-1.267895222E0,-2.697629035E-1,-4.801830649E-1
1.529481958E0,-1.394399285E0,-6.818673611E-1,-6.488671303E-1
1.539460958E0,-1.356711149E0,-5.562645197E-1,-5.831617117E-1
1.549470958E0,-1.193581581E0,-1.105272546E-1,-5.466920733E-1
1.559449958E0,-1.205410004E0,2.674363554E-1,-6.553769708E-1
1.569459958E0,-1.249723077E0,2.007726729E-1,-6.632100940E-1
1.579438958E0,-1.260387897E0,-3.082598448E-1,-4.561619163E-1
1.589448958E0,-1.278917909E0,-4.833957255E-1,-3.969390690E-1
1.599458958E0,-1.093957663E0,-5.062742233E-1,-3.065471351E-1
1.609437958E0,-7.254456282E-1,-3.709786534E-1,-7.804498821E-2
1.619447958E0,-4.407016039E-1,-6.509280950E-2,8.510243893E-2
1.629426958E0,-2.438450307E-1,1.315901577E-1,1.103271022E-1
1.639436958E0,-1.247734874E-1,2.348042578E-1,9.867094457E-2
1.649415958E0,-5.483852699E-3,1.930525452E-1,4.238290340E-2
1.659425958E0,1.141821668E-1,7.819879055E-2,-8.758284152E-3
1.669434958E0,2.188196331E-1,4.934823513E-2,-6.511529535E-2
1.679414958E0,1.940333247E-1,2.120871842E-1,-1.319513619E-1
1.689423958E0,2.995251305E-2,4.290258884E-1,-1.638115495E-1
1.699403958E0,-1.121425033E0,1.652819067E-1,-2.169222012E-2
1.709412958E0,-2.768986940E0,-1.218289375E0,-4.449740052E-2
1.719422958E0,-4.013810158E0,-1.238037944E0,-5.325680375E-1
1.729401958E0,-3.771846771E0,3.179643154E-1,-6.228933930E-1
1.739411958E0,-1.359974980E0,-1.136943623E-1,-1.228662431E-1
1.749390958E0,1.416915357E-1,1.079544127E-1,9.598140419E-2
1.759400958E0,6.993258595E-1,2.083434165E-1,3.919085488E-2
1.769379958E0,7.225659490E-1,1.943469197E-1,4.465726018E-2
1.779389958E0,5.198523998E-1,5.097104609E-2,6.852236390E-2
