"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.188260000E-1,1.018312335E0,1.862545609E0,-2.680302262E-1
2.208603750E-1,-3.310540617E-1,2.479065657E-1,4.679227620E-2
2.231994380E-1,-3.225368559E-1,1.552819461E-1,2.017600648E-2
2.252416250E-1,-3.161489367E-1,8.927359432E-2,1.274090353E-2
2.268947500E-1,-3.129549921E-1,5.520476401E-2,1.059414819E-2
2.288588130E-1,-3.076317310E-1,-6.527531426E-3,8.464846760E-3
2.308588130E-1,-3.065670729E-1,-4.909611121E-2,1.274090353E-2
2.328588130E-1,-3.033731282E-1,-6.719517708E-2,2.125811018E-2
2.348588130E-1,-2.969852388E-1,-6.506587565E-2,2.871066518E-2
2.368588130E-1,-2.884680033E-1,-5.229006335E-2,3.616322204E-2
2.388588130E-1,-2.767568529E-1,-3.312635049E-2,4.361577705E-2
2.408588130E-1,-2.639810443E-1,-1.183333248E-2,5.213298276E-2
2.428588130E-1,-2.512052357E-1,1.261873078E-2,6.065019220E-2
2.450260000E-1,-2.426880300E-1,5.094616115E-2,6.810274720E-2
2.468588130E-1,-2.512052357E-1,1.435707808E-1,7.981390506E-2
2.488588130E-1,-2.597224414E-1,2.638937831E-1,7.981390506E-2
2.508588130E-1,-2.575931549E-1,3.629063070E-1,7.236135006E-2
2.528588130E-1,-2.533345520E-1,4.225267470E-1,6.810274720E-2
2.548588130E-1,-2.490759343E-1,4.342204630E-1,6.703809649E-2
2.568588130E-1,-2.490759343E-1,4.150567353E-1,6.384414434E-2
2.588588130E-1,-2.533345520E-1,3.831172287E-1,5.850343779E-2
2.608588130E-1,-2.586577833E-1,3.458544314E-1,5.105087906E-2
2.631978750E-1,-2.661103606E-1,2.862339914E-1,4.042182490E-2
2.648978750E-1,-2.671749890E-1,2.691995800E-1,3.829252347E-2
2.668588130E-1,-2.724982500E-1,2.511005104E-1,3.614576906E-2
2.688588130E-1,-2.756921947E-1,2.436654121E-1,3.296926990E-2
2.708588130E-1,-2.724982500E-1,2.234370559E-1,2.871066518E-2
2.728603750E-1,-2.639810443E-1,1.893682182E-1,2.338741161E-2
2.748588130E-1,-2.512052357E-1,1.435882300E-1,1.167625282E-2
2.768588130E-1,-2.490759343E-1,1.137780100E-1,1.380555425E-2
2.788588130E-1,-2.533345520E-1,1.105840579E-1,2.551671304E-2
2.808588130E-1,-2.501405776E-1,1.254891753E-1,3.403392062E-2
2.828588130E-1,-2.394940853E-1,1.606226563E-1,3.829252347E-2
2.848588130E-1,-2.256536186E-1,1.978854239E-1,3.722787276E-2
2.868588130E-1,-2.139424533E-1,2.213077545E-1,3.509857133E-2
2.888588130E-1,-2.022313029E-1,2.351307571E-1,2.977531776E-2
2.908588130E-1,-1.873261929E-1,2.415361106E-1,2.125811018E-2
2.928588130E-1,-1.681624800E-1,2.330189049E-1,1.274090353E-2
2.948588130E-1,-1.447401494E-1,2.149198502E-1,1.061160211E-2
2.968588130E-1,-1.170592308E-1,1.904154271E-1,2.019345947E-2
2.988588130E-1,-8.405505866E-2,1.670105606E-1,3.509857133E-2
3.008588130E-1,-4.572762549E-2,1.489114910E-1,5.319763720E-2
3.031978750E-1,1.494001877E-2,1.318770796E-1,8.087855577E-2
3.053431880E-1,5.539675057E-2,1.254891753E-1,9.897761792E-2
3.070416250E-1,7.562511414E-2,1.244245246E-1,1.085594818E-1
3.088588130E-1,1.128878966E-1,1.212305725E-1,1.245292425E-1
3.108588130E-1,1.480213702E-1,1.180366203E-1,1.383697093E-1
3.128588130E-1,1.831548512E-1,1.116487086E-1,1.511455178E-1
3.148588130E-1,2.140297294E-1,1.031315029E-1,1.628566682E-1
3.168588130E-1,2.438399494E-1,9.461429715E-2,1.756324768E-1
3.188588130E-1,2.725855112E-1,9.248499572E-2,1.884082854E-1
3.208588130E-1,2.992017865E-1,9.248499572E-2,2.033134103E-1
3.228588130E-1,3.236887753E-1,8.929104358E-2,2.182185203E-1
3.248588130E-1,3.471110761E-1,8.503244072E-2,2.331236303E-1
3.268588130E-1,3.694687486E-1,7.970918715E-2,2.490933836E-1
3.288588130E-1,3.907617629E-1,7.438593358E-2,2.650631666E-1
3.308588130E-1,4.109901190E-1,7.225663215E-2,2.831622064E-1
3.328588130E-1,4.269599020E-1,7.225663215E-2,3.001966178E-1
3.348588130E-1,4.408003688E-1,7.651523501E-2,3.193603456E-1
3.368588130E-1,4.535761774E-1,8.396779001E-2,3.395887017E-1
3.388588130E-1,4.642226696E-1,9.142034501E-2,3.587524295E-1
3.408588130E-1,4.738045335E-1,9.993755072E-2,3.789807856E-1
3.431978750E-1,4.876450002E-1,1.212305725E-1,4.215668142E-1
3.448963130E-1,4.908389449E-1,1.286831200E-1,4.332779944E-1
3.468588130E-1,4.940328896E-1,1.382649839E-1,4.503124058E-1
3.488588130E-1,4.940328896E-1,1.478468478E-1,4.630882144E-1
3.508588130E-1,4.950975478E-1,1.627519578E-1,4.758640230E-1
3.528588130E-1,5.025501251E-1,1.851096153E-1,4.854458869E-1
3.548588130E-1,5.185198784E-1,2.149198502E-1,4.918337762E-1
3.568588130E-1,5.685584545E-1,2.670877278E-1,4.875751734E-1
3.588588130E-1,6.473426223E-1,3.501304984E-1,4.811872840E-1
3.608588130E-1,7.484844327E-1,4.619188309E-1,4.822519124E-1
3.628588130E-1,8.698546290E-1,6.003234386E-1,4.928984344E-1
3.648588130E-1,9.901601672E-1,7.472452521E-1,5.152561069E-1
3.668588130E-1,1.113659739E0,8.590335846E-1,5.354844928E-1
3.688588130E-1,1.255258203E0,9.069429040E-1,5.461309552E-1
3.708588130E-1,1.396856785E0,9.165247679E-1,5.599714518E-1
3.728588130E-1,1.528873563E0,8.962963820E-1,5.780705214E-1
3.748588130E-1,1.657696247E0,8.483871222E-1,5.972341895E-1
3.768588130E-1,1.774807811E0,7.802494168E-1,6.163979173E-1
3.788588130E-1,1.873820424E0,6.993359923E-1,6.376909614E-1
3.808588130E-1,1.953669190E0,6.141639352E-1,6.643072367E-1
3.831978750E-1,2.032453299E0,4.864058197E-1,7.122164965E-1
3.853447500E-1,2.056940317E0,4.203974605E-1,7.473499775E-1
3.870431880E-1,2.060134172E0,3.778114319E-1,7.878066897E-1
3.888588130E-1,2.055875778E0,3.650356233E-1,8.112290502E-1
3.908588130E-1,2.032453299E0,3.533244431E-1,8.580736518E-1
3.928588130E-1,1.989867330E0,3.565184176E-1,8.932071328E-1
3.948588130E-1,1.929182172E0,3.703588545E-1,9.102415442E-1
3.968588130E-1,1.850380659E0,3.905872405E-1,9.038536549E-1
3.988588130E-1,1.750320911E0,4.076216519E-1,8.729788065E-1
4.008588130E-1,1.631080031E0,4.193328023E-1,8.176169395E-1
4.028588130E-1,1.489481449E0,4.214621186E-1,7.420267463E-1
4.048588130E-1,1.328719139E0,4.150741994E-1,6.568546891E-1
4.068588130E-1,1.156245708E0,4.022983909E-1,5.642300248E-1
4.088588130E-1,9.773843884E-1,3.895225823E-1,4.694761038E-1
4.108588130E-1,8.006523252E-1,3.831346631E-1,3.864333630E-1
4.128588130E-1,6.345667839E-1,3.841993213E-1,3.151017427E-1
4.148588130E-1,4.812570810E-1,3.841993213E-1,2.544166446E-1
4.168588130E-1,3.439171314E-1,3.820700347E-1,1.894729435E-1
4.188588130E-1,2.204001844E-1,3.724881709E-1,1.043008789E-1
4.208588130E-1,1.150171980E-1,3.533244431E-1,1.061160211E-2
4.231978750E-1,-1.485275198E-2,3.011565506E-1,-5.537929758E-2
