"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
0.000000000E0,-2.821349859E0,6.375964165E0,6.588105679E0
2.392916000E-3,-2.797409058E0,6.361599445E0,6.545012474E0
4.778854000E-3,-2.754315138E0,6.356811523E0,6.540224075E0
7.160729000E-3,-2.771074057E0,6.296958923E0,6.492341995E0
2.418494700E-2,-2.720797777E0,6.232318401E0,6.430095196E0
2.662218700E-2,-2.684886217E0,6.210771561E0,6.468400955E0
2.905864500E-2,-2.694462776E0,6.179647923E0,6.497130394E0
3.149442700E-2,-2.737556458E0,6.174860001E0,6.530647755E0
3.392979100E-2,-2.749526978E0,6.165283680E0,6.561770916E0
3.636473900E-2,-2.768679619E0,6.158101559E0,6.590500355E0
3.879937500E-2,-2.763891697E0,6.155706882E0,6.631199837E0
4.123364500E-2,-2.768679619E0,6.146131039E0,6.698234558E0
4.366770800E-2,-2.787832499E0,6.158101559E0,6.762875557E0
4.610156200E-2,-2.773468018E0,6.172466278E0,6.813151360E0
4.853520800E-2,-2.763891697E0,6.162889481E0,6.853850842E0
5.096869700E-2,-2.768679619E0,6.170071602E0,6.894550800E0
5.340203100E-2,-2.763891697E0,6.213165760E0,6.940038204E0
5.583520800E-2,-2.747133017E0,6.177254200E0,7.035802364E0
5.826822900E-2,-2.742344618E0,6.107825279E0,6.975949764E0
6.070109300E-2,-2.716009617E0,6.064731598E0,6.966373920E0
6.313385400E-2,-2.735162497E0,6.067125797E0,6.966373920E0
6.556651000E-2,-2.725585938E0,6.047972679E0,6.932856560E0
6.799906200E-2,-2.742344618E0,6.033607960E0,6.968767643E0
7.043145800E-2,-2.780650139E0,6.031214237E0,6.944827080E0
7.286375000E-2,-2.766285658E0,6.036002159E0,6.947220802E0
7.529598900E-2,-2.759103537E0,6.002485275E0,6.987920284E0
7.772812500E-2,-2.732768297E0,5.997696400E0,6.983132362E0
8.016015600E-2,-2.711221457E0,5.990514755E0,6.978344440E0
8.259213500E-2,-2.692068815E0,5.990514755E0,6.952008724E0
8.502401000E-2,-2.677703857E0,5.990514755E0,6.959191322E0
8.745583300E-2,-2.663339376E0,6.019243717E0,6.918491840E0
8.988760400E-2,-2.665733576E0,6.024031639E0,6.916097164E0
9.231932200E-2,-2.653763056E0,6.043184757E0,6.894550800E0
9.475098900E-2,-2.660945415E0,6.040790558E0,6.956797123E0
9.718260400E-2,-2.653763056E0,6.012061119E0,6.908915520E0
9.961416600E-2,-2.625033855E0,5.988120079E0,6.856245041E0
1.020456770E-1,-2.648974895E0,5.985725880E0,6.829909801E0
1.044771350E-1,-2.632216215E0,5.978544235E0,6.805968761E0
1.069085410E-1,-2.620245695E0,5.959391117E0,6.748510838E0
1.093398950E-1,-2.598698616E0,5.973755360E0,6.717387199E0
1.117711970E-1,-2.598698616E0,5.971361637E0,6.655140877E0
1.142024470E-1,-2.589122534E0,5.966573715E0,6.609652996E0
1.166336450E-1,-2.581940174E0,5.956996918E0,6.592894554E0
1.190647910E-1,-2.546028614E0,5.935450077E0,6.552194118E0
1.214915620E-1,-2.529269934E0,5.952208996E0,6.542618275E0
1.238939580E-1,-2.541240454E0,5.954603195E0,6.494736195E0
1.262758330E-1,-2.522087812E0,5.928267956E0,6.492341995E0
1.286577600E-1,-2.555604935E0,5.959391117E0,6.466006756E0
1.310404680E-1,-2.555604935E0,5.942632675E0,6.477977276E0
1.334231250E-1,-2.589122534E0,5.956996918E0,6.470795155E0
1.358050520E-1,-2.605880976E0,5.930662155E0,6.576135159E0
1.381869270E-1,-2.603487015E0,5.913903236E0,6.568953514E0
1.405696350E-1,-2.603487015E0,5.923479557E0,6.542618275E0
1.429522910E-1,-2.567575455E0,5.966573715E0,6.549800396E0
1.453342180E-1,-2.562787294E0,6.021637440E0,6.504312515E0
1.477160930E-1,-2.522087812E0,6.086278439E0,6.509100914E0
1.500988020E-1,-2.488570213E0,6.143736362E0,6.492341995E0
1.524814580E-1,-2.478993893E0,6.205983162E0,6.487554073E0
1.548633850E-1,-2.462235212E0,6.220347881E0,6.487554073E0
1.572453120E-1,-2.464629173E0,6.263441563E0,6.504312515E0
1.596279680E-1,-2.498146772E0,6.265835762E0,6.535435677E0
1.620106770E-1,-2.505328894E0,6.232318401E0,6.535435677E0
1.643926040E-1,-2.541240454E0,6.229924202E0,6.580924034E0
1.667744790E-1,-2.565181494E0,6.220347881E0,6.602470875E0
1.691571870E-1,-2.598698616E0,6.215559483E0,6.607258797E0
1.715398950E-1,-2.625033855E0,6.222742081E0,6.647958279E0
1.739217700E-1,-2.634610176E0,6.268229961E0,6.669505119E0
1.763036450E-1,-2.617851496E0,6.308929443E0,6.700628757E0
1.786863540E-1,-2.615457535E0,6.328082561E0,6.743722439E0
1.810690620E-1,-2.615457535E0,6.342447281E0,6.774846077E0
1.834509370E-1,-2.617851496E0,6.342447281E0,6.793998241E0
1.858328120E-1,-2.622639656E0,6.356811523E0,6.834698200E0
1.882155200E-1,-2.622639656E0,6.368782043E0,6.851456642E0
1.905982290E-1,-2.634610176E0,6.363993645E0,6.873003960E0
1.929801040E-1,-2.660945415E0,6.371176243E0,6.911309242E0
1.953620310E-1,-2.651368856E0,6.371176243E0,6.925673962E0
1.977447390E-1,-2.737556458E0,6.320899963E0,6.925673962E0
2.001274470E-1,-2.761497498E0,6.275412083E0,6.884974480E0
2.025093220E-1,-2.795014858E0,6.205983162E0,6.839486122E0
2.048911970E-1,-2.749526978E0,6.249076843E0,6.944827080E0
2.072739060E-1,-2.620245695E0,6.335264683E0,7.038196564E0
2.096566140E-1,-2.543634415E0,6.368782043E0,7.035802364E0
2.120384890E-1,-2.483782053E0,6.428634644E0,7.054955482E0
2.144203640E-1,-2.435899973E0,6.464546204E0,7.057349205E0
2.168030720E-1,-2.373653412E0,6.466939926E0,7.054955482E0
2.191857810E-1,-2.325771570E0,6.471727848E0,7.054955482E0
2.215676560E-1,-2.318589211E0,6.447787285E0,7.019043922E0
2.239495310E-1,-2.316195250E0,6.423846245E0,7.042984962E0
2.263322390E-1,-2.309012651E0,6.392723083E0,7.040590763E0
2.287149470E-1,-2.320983171E0,6.342447281E0,7.028620243E0
2.310968220E-1,-2.316195250E0,6.292171001E0,7.050167084E0
2.334787500E-1,-2.323377371E0,6.256259441E0,7.098048687E0
2.358614580E-1,-2.270707130E0,6.304141521E0,7.133960247E0
2.382441660E-1,-2.062420607E0,6.665649891E0,7.174660206E0
2.406260410E-1,-1.954686165E0,6.701561451E0,7.186630726E0
2.430079160E-1,-1.933139324E0,6.505245686E0,7.203389168E0
2.453906250E-1,-2.000174284E0,6.292171001E0,7.270424366E0
2.477733330E-1,-2.093544006E0,6.076702118E0,7.349429131E0
2.501552080E-1,-2.167761087E0,5.973755360E0,7.469134331E0
2.525370830E-1,-2.273101568E0,5.971361637E0,7.593627453E0
2.549197910E-1,-2.376047611E0,5.952208996E0,7.768396854E0
2.573025000E-1,-2.450264692E0,5.968967438E0,7.835431576E0
2.596843750E-1,-2.529269934E0,5.928267956E0,7.974289417E0
2.620663020E-1,-2.620245695E0,5.854050636E0,7.981471539E0
2.644490100E-1,-2.675309896E0,5.851656437E0,7.945559978E0
2.668316660E-1,-2.651368856E0,5.846868515E0,7.828249454E0
2.692135930E-1,-2.567575455E0,5.868415356E0,7.710938454E0
2.715954680E-1,-2.522087812E0,5.911509037E0,7.607991695E0
2.739781770E-1,-2.474205732E0,5.940238476E0,7.545745373E0
2.763608850E-1,-2.452658653E0,5.961784840E0,7.548140049E0
2.787427600E-1,-2.397594452E0,6.009666920E0,7.550533772E0
2.811246350E-1,-2.323377371E0,6.062337399E0,7.562504292E0
2.835073430E-1,-2.244372129E0,6.110219479E0,7.562504292E0
2.858900520E-1,-2.225219488E0,6.117401600E0,7.567292213E0
2.882719270E-1,-2.174943209E0,6.088672638E0,7.569686413E0
2.906538020E-1,-2.131849527E0,6.055155277E0,7.550533772E0
2.930365100E-1,-2.086361647E0,6.002485275E0,7.550533772E0
2.954192180E-1,-2.043267965E0,5.973755360E0,7.519410133E0
2.978010930E-1,-2.040873766E0,5.935450077E0,7.488287449E0
3.001830200E-1,-2.019326925E0,5.906721115E0,7.478710651E0
3.025657290E-1,-1.976233244E0,5.875597477E0,7.469134331E0
3.049483850E-1,-1.942715645E0,5.851656437E0,7.440405369E0
3.073303120E-1,-1.945109606E0,5.827715397E0,7.423646450E0
3.097121870E-1,-1.899621964E0,5.803774357E0,7.457163811E0
3.120948950E-1,-1.882863283E0,5.794198036E0,7.478710651E0
3.144776040E-1,-1.844557762E0,5.767863274E0,7.505045891E0
3.168594790E-1,-1.811040401E0,5.763074875E0,7.509833813E0
3.192413540E-1,-1.789493561E0,5.734345913E0,7.584051132E0
3.216240620E-1,-1.777523041E0,5.705616474E0,7.655873775E0
3.240067700E-1,-1.744005561E0,5.667311192E0,7.703755856E0
3.263886450E-1,-1.715276361E0,5.640975952E0,7.739667416E0
3.287705200E-1,-1.696123600E0,5.614641190E0,7.761214256E0
3.311532290E-1,-1.629088879E0,5.581123352E0,7.797125816E0
3.335359370E-1,-1.609935999E0,5.550000191E0,7.833037376E0
3.359178120E-1,-1.566842198E0,5.516482830E0,7.825854778E0
3.382997390E-1,-1.521354318E0,5.478177071E0,7.892889977E0
