"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
9.353515600E-2,-2.525314689E-1,-2.860221565E-1,-1.575458348E-1
9.596682200E-2,-2.488662899E-1,-2.799135149E-1,-1.636544764E-1
9.839838500E-2,-2.452010959E-1,-2.799135149E-1,-1.648762077E-1
1.008298950E-1,-2.452010959E-1,-2.848004103E-1,-1.685414016E-1
1.032614060E-1,-2.439793646E-1,-2.860221565E-1,-1.697631180E-1
1.056928640E-1,-2.403141856E-1,-2.774700522E-1,-1.697631180E-1
1.081242180E-1,-2.427576333E-1,-2.860221565E-1,-1.722065806E-1
1.105555200E-1,-2.427576333E-1,-2.896873355E-1,-1.734283119E-1
1.129868220E-1,-2.452010959E-1,-2.957959771E-1,-1.770935059E-1
1.154180720E-1,-2.488662899E-1,-3.006829023E-1,-1.795369685E-1
1.178492180E-1,-2.500880063E-1,-3.019046485E-1,-1.819804162E-1
1.202803120E-1,-2.488662899E-1,-3.019046485E-1,-1.856456101E-1
1.227028120E-1,-2.623052895E-1,-3.238957524E-1,-1.917542517E-1
1.250850520E-1,-2.623052895E-1,-3.263392150E-1,-1.966411769E-1
1.274666140E-1,-2.659704983E-1,-3.336696029E-1,-2.027498186E-1
1.298489060E-1,-2.720791399E-1,-3.458868861E-1,-2.113019228E-1
1.322319790E-1,-2.757443190E-1,-3.544389904E-1,-2.161888480E-1
1.346142700E-1,-2.806312442E-1,-3.727649450E-1,-2.296278626E-1
1.369957810E-1,-2.818529606E-1,-3.776518703E-1,-2.406234294E-1
1.393780720E-1,-2.867398858E-1,-3.886474073E-1,-2.491755486E-1
1.417611450E-1,-2.855181694E-1,-3.971995115E-1,-2.577276528E-1
1.441434370E-1,-2.904050946E-1,-4.204123914E-1,-2.723883986E-1
1.465249470E-1,-2.916268408E-1,-4.411817789E-1,-2.833839655E-1
1.489072390E-1,-2.977354825E-1,-4.643946588E-1,-2.980447114E-1
1.512903120E-1,-2.965137362E-1,-4.778336585E-1,-3.114837408E-1
1.536726040E-1,-2.965137362E-1,-4.986030757E-1,-3.261444867E-1
1.560541140E-1,-2.965137362E-1,-5.181507468E-1,-3.420269787E-1
1.584364580E-1,-2.989571989E-1,-5.376984477E-1,-3.591311872E-1
1.608194790E-1,-2.989571989E-1,-5.511374474E-1,-3.725702167E-1
1.632018220E-1,-3.001789451E-1,-5.694633722E-1,-3.847874999E-1
1.655833330E-1,-3.001789451E-1,-5.804589391E-1,-3.933396041E-1
1.679656250E-1,-2.989571989E-1,-5.963414311E-1,-4.018917084E-1
1.703487500E-1,-2.965137362E-1,-6.036717892E-1,-4.080003798E-1
1.727309890E-1,-2.940702736E-1,-6.146673560E-1,-4.141090214E-1
1.751125000E-1,-2.940702736E-1,-6.317715645E-1,-4.214393795E-1
1.774947910E-1,-2.891833484E-1,-6.525409818E-1,-4.299914837E-1
1.798779160E-1,-2.830747068E-1,-6.574279070E-1,-4.348784089E-1
1.822601560E-1,-2.806312442E-1,-6.720886230E-1,-4.409870505E-1
1.846416660E-1,-2.781877816E-1,-6.940797567E-1,-4.470957220E-1
1.870239580E-1,-2.745226026E-1,-7.062970996E-1,-4.519826174E-1
1.894070830E-1,-2.684139609E-1,-7.148491740E-1,-4.556478262E-1
1.917893220E-1,-2.659704983E-1,-7.246230245E-1,-4.593130052E-1
1.941708850E-1,-2.684139609E-1,-7.429489493E-1,-4.654216468E-1
1.965531770E-1,-2.574183941E-1,-7.356185913E-1,-4.617564678E-1
1.989363020E-1,-2.574183941E-1,-7.478358746E-1,-4.617564678E-1
2.013185410E-1,-2.574183941E-1,-7.637183666E-1,-4.617564678E-1
2.037000520E-1,-2.549749315E-1,-7.722704411E-1,-4.580912590E-1
2.060823430E-1,-2.586401105E-1,-7.698270082E-1,-4.556478262E-1
2.084654680E-1,-2.586401105E-1,-7.637183666E-1,-4.544260800E-1
2.108477080E-1,-2.635270357E-1,-7.600531578E-1,-4.532043636E-1
2.132292180E-1,-2.696356773E-1,-7.502793074E-1,-4.519826174E-1
2.156115100E-1,-2.696356773E-1,-7.270664573E-1,-4.483174384E-1
2.179946350E-1,-2.781877816E-1,-7.172926664E-1,-4.507609010E-1
2.203768750E-1,-2.879616320E-1,-7.075188160E-1,-4.519826174E-1
2.227583850E-1,-2.916268408E-1,-6.904146075E-1,-4.532043636E-1
2.251406770E-1,-2.965137362E-1,-6.781973243E-1,-4.532043636E-1
2.275238020E-1,-2.989571989E-1,-6.610931158E-1,-4.495391548E-1
2.299060410E-1,-3.050658703E-1,-6.513192654E-1,-4.446522593E-1
2.322876040E-1,-3.123962283E-1,-6.464323401E-1,-4.409870505E-1
2.346698950E-1,-3.172831535E-1,-6.342150569E-1,-4.348784089E-1
2.370530200E-1,-3.209483325E-1,-6.171108484E-1,-4.446522593E-1
2.394352600E-1,-3.295004368E-1,-5.987848639E-1,-4.947431684E-1
2.418167700E-1,-3.417177498E-1,-5.877893567E-1,-5.521644354E-1
2.441990620E-1,-3.576002121E-1,-5.865675807E-1,-5.973684192E-1
2.465821870E-1,-3.624871373E-1,-5.853458643E-1,-6.169161201E-1
2.489644270E-1,-3.661523163E-1,-5.987848639E-1,-6.169161201E-1
2.513459370E-1,-3.539350331E-1,-5.938979983E-1,-5.900380611E-1
2.537282290E-1,-3.356091082E-1,-5.926762223E-1,-5.533861518E-1
2.561113540E-1,-3.136179745E-1,-5.829024315E-1,-5.069604516E-1
2.584935930E-1,-2.977354825E-1,-5.694633722E-1,-4.703085721E-1
2.608751560E-1,-2.733008564E-1,-5.364766717E-1,-4.385436177E-1
2.632574470E-1,-2.525314689E-1,-4.986030757E-1,-4.104438126E-1
2.656405200E-1,-2.390924543E-1,-4.717250168E-1,-3.908961415E-1
2.680228120E-1,-2.329838127E-1,-4.558425546E-1,-3.774571419E-1
2.704043220E-1,-2.293186188E-1,-4.460687041E-1,-3.689050376E-1
2.727866140E-1,-2.244316936E-1,-4.460687041E-1,-3.603529334E-1
2.751697390E-1,-2.122144103E-1,-4.485121667E-1,-3.518007994E-1
2.775519790E-1,-1.975536495E-1,-4.521773458E-1,-3.420269787E-1
2.799334890E-1,-1.902232766E-1,-4.692815542E-1,-3.408052325E-1
2.823157810E-1,-1.804494411E-1,-4.851640463E-1,-3.420269787E-1
2.846989060E-1,-1.670104116E-1,-4.900509715E-1,-3.432486951E-1
2.870811450E-1,-1.633452326E-1,-5.034900308E-1,-3.518007994E-1
2.894626560E-1,-1.535713971E-1,-5.047117472E-1,-3.579094708E-1
2.918449470E-1,-1.499062032E-1,-5.095986724E-1,-3.664615750E-1
2.942280720E-1,-1.425758302E-1,-5.095986724E-1,-3.737919331E-1
2.966103120E-1,-1.315802634E-1,-5.083768964E-1,-3.811223209E-1
2.989918750E-1,-1.291368008E-1,-5.193724632E-1,-3.945613503E-1
3.013741660E-1,-1.181412339E-1,-5.193724632E-1,-4.031134546E-1
3.037572390E-1,-1.120325923E-1,-5.389201641E-1,-4.165524840E-1
3.061395310E-1,-1.047022194E-1,-5.523591638E-1,-4.312132299E-1
3.085210410E-1,-9.615010768E-2,-5.682416558E-1,-4.446522593E-1
3.109033330E-1,-8.515454084E-2,-5.829024315E-1,-4.580912590E-1
3.132864580E-1,-7.293725014E-2,-5.951197147E-1,-4.727520347E-1
3.156686970E-1,-6.560687721E-2,-6.183325648E-1,-4.874127805E-1
3.180502080E-1,-5.094612017E-2,-6.317715645E-1,-5.008518100E-1
3.204325000E-1,-4.239401221E-2,-6.525409818E-1,-5.216212273E-1
3.228156250E-1,-3.017671779E-2,-6.684234738E-1,-5.423905849E-1
3.251978640E-1,-1.307250559E-2,-6.745321155E-1,-5.594947934E-1
3.275793750E-1,2.809979022E-3,-6.818624735E-1,-5.790424943E-1
3.299616660E-1,1.380553842E-2,-7.001883984E-1,-6.034770608E-1
3.323447910E-1,3.090975061E-2,-7.087405324E-1,-6.291334033E-1
3.347270310E-1,5.167915300E-2,-7.124057412E-1,-6.523462534E-1
3.371085930E-1,7.122682035E-2,-7.246230245E-1,-6.792243123E-1
3.394908850E-1,9.199622273E-2,-7.405055165E-1,-7.073240876E-1
3.418740100E-1,1.164308190E-1,-7.466141582E-1,-7.378672957E-1
3.442562500E-1,1.408654004E-1,-7.600531578E-1,-7.684105635E-1
3.466377600E-1,1.652999967E-1,-7.759356499E-1,-8.038406968E-1
3.490200520E-1,1.958432347E-1,-7.832660079E-1,-8.392708302E-1
