"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
0.000000000E0,-2.738555145E0,3.810027008E0,8.473279724E0
1.013200000E-2,-2.673440552E0,4.062402191E0,8.002808075E0
2.026399999E-2,-2.623893585E0,4.174968109E0,7.791746979E0
3.027399999E-2,-2.305355988E0,3.755390625E0,7.694748688E0
4.025299998E-2,-1.703457642E0,2.975512390E0,8.268206177E0
5.023199998E-2,-1.540746002E0,2.845432892E0,8.183182983E0
6.021099997E-2,-1.284329224E0,3.160976715E0,8.609047394E0
7.022099997E-2,-3.842509460E-1,3.148253174E0,9.145382080E0
8.020000000E-2,1.734892273E-1,2.857857056E0,9.338031464E0
9.018000000E-2,1.417552185E-1,2.511776733E0,9.265282745E0
1.001890000E-1,-1.182540894E-2,2.468965759E0,9.812844086E0
1.101690000E-1,2.112107849E-1,2.456990662E0,1.039737854E1
1.201480000E-1,4.299060059E-1,2.470312958E0,1.089688980E1
1.301580000E-1,2.624043274E-1,2.493065643E0,1.098909805E1
1.401370000E-1,-6.376739502E-2,2.609074402E0,1.058853104E1
1.501160000E-1,-1.178050232E-1,2.596350861E0,1.032163605E1
1.601260000E-1,3.559597778E-1,2.291285248E0,1.039139099E1
1.701050000E-1,5.086422729E-1,2.392774200E0,1.081261505E1
1.800840000E-1,4.872367859E-1,2.531236267E0,1.084554657E1
1.900940000E-1,2.526745605E-1,2.220183105E0,1.005069946E1
2.000730000E-1,5.771997070E-1,1.923350372E0,9.975106659E0
2.100530000E-1,9.345066833E-1,1.779798889E0,9.067244568E0
2.200620000E-1,1.324745178E0,2.000140686E0,8.440198517E0
2.300420000E-1,1.539099426E0,2.207160187E0,8.489146729E0
2.400210000E-1,1.908980255E0,2.606679382E0,8.466693420E0
2.500310000E-1,2.413730621E0,3.125650177E0,8.554111633E0
2.600100000E-1,2.427951050E0,3.057841187E0,8.565787354E0
2.699890000E-1,1.871109009E0,2.427951050E0,9.165739746E0
2.799990000E-1,1.734592896E0,1.766476593E0,9.565857697E0
2.899780000E-1,2.095193024E0,1.487456818E0,9.652078400E0
2.999570000E-1,2.568957825E0,1.518741760E0,9.602830811E0
3.099670000E-1,1.567240906E0,1.308429108E0,7.882158966E0
3.199460000E-1,1.876048737E0,1.334474945E0,7.227869568E0
3.299260000E-1,2.290985870E0,1.476828918E0,6.215225372E0
3.399350000E-1,2.660567322E0,1.406175842E0,5.663173370E0
3.499150000E-1,3.323239288E0,1.343456268E0,5.658083954E0
3.598940000E-1,4.307292938E0,1.303190002E0,5.710325317E0
3.699040000E-1,4.787793732E0,1.014590149E0,5.576204224E0
3.798830000E-1,4.308191071E0,5.848338318E-1,6.240522766E0
3.898620000E-1,3.405717773E0,4.162843323E-1,6.720873871E0
3.998410000E-1,2.839145966E0,-2.058219910E-1,6.397097168E0
4.098510000E-1,2.753823395E0,-7.384144592E-1,6.128106537E0
4.198300000E-1,3.007396088E0,-1.050814819E0,5.511239319E0
4.298100000E-1,4.474944305E0,-1.657652893E0,4.455933838E0
4.398190000E-1,5.916746063E0,-2.598895569E0,3.497926025E0
4.497990000E-1,7.072792053E0,-3.765419769E0,3.343447266E0
4.597780000E-1,7.109615479E0,-5.357509003E0,4.371210022E0
4.697880000E-1,6.583010559E0,-6.901697845E0,5.982908478E0
4.797670000E-1,5.723797302E0,-8.319998474E0,6.777605896E0
4.897460000E-1,4.692741394E0,-8.999285889E0,7.574548645E0
4.997560000E-1,2.985691223E0,-8.083639984E0,8.697064362E0
5.097350000E-1,1.382075958E0,-5.857169952E0,9.188642120E0
5.197140000E-1,1.519789581E0,-5.111121368E0,8.518036652E0
5.297240000E-1,1.814826050E0,-4.585414581E0,6.747518463E0
5.397030000E-1,2.787353668E0,-4.275558929E0,4.985831909E0
5.496830000E-1,3.856879578E0,-4.478985901E0,4.058809662E0
5.596920000E-1,4.362228699E0,-4.597838745E0,5.140011292E0
5.696720000E-1,4.407135315E0,-5.253774719E0,8.123606873E0
5.796510000E-1,4.058210907E0,-6.364914093E0,1.178169983E1
5.896610000E-1,3.125799866E0,-6.703060913E0,1.375220215E1
5.996400000E-1,2.562970276E0,-6.486760712E0,1.431982178E1
6.096190000E-1,2.953358459E0,-5.769152985E0,1.345971039E1
6.196290000E-1,4.092190247E0,-5.020859070E0,1.143936172E1
6.296080000E-1,5.713468781E0,-4.850213928E0,9.827363892E0
6.395848750E-1,7.608977051E0,-5.296885071E0,9.389823761E0
6.495948750E-1,9.007219391E0,-5.802683258E0,9.498647461E0
6.595738750E-1,9.836943970E0,-6.735094299E0,1.030067963E1
6.695538750E-1,9.967622223E0,-7.514972534E0,1.306423279E1
6.795638750E-1,9.196725311E0,-8.015681305E0,1.561238388E1
