"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
0.000000000E0,6.424402595E-1,-1.544866562E0,-1.088912487E0
1.974000000E-3,6.063992381E-1,-1.536314487E0,-1.111514568E0
3.968500000E-3,5.935710669E-1,-1.533870935E0,-1.119455814E0
5.968500000E-3,5.679146647E-1,-1.525929809E0,-1.133505583E0
7.968000000E-3,5.532538891E-1,-1.525929809E0,-1.139003396E0
9.967600000E-3,5.349279642E-1,-1.518599391E0,-1.150609851E0
1.196726600E-2,5.294301510E-1,-1.519210219E0,-1.155496836E0
1.396698000E-2,5.104933977E-1,-1.522875547E0,-1.164048910E0
1.596673000E-2,4.994978011E-1,-1.521653652E0,-1.171379328E0
1.796650700E-2,4.885022342E-1,-1.533260107E0,-1.171379328E0
1.996630700E-2,4.781174958E-1,-1.534481883E0,-1.175655365E0
2.196376100E-2,4.622350037E-1,-1.557694793E0,-1.177487969E0
2.396342700E-2,4.622350037E-1,-1.557694793E0,-1.177487969E0
2.596311900E-2,4.555155039E-1,-1.575409889E0,-1.174433589E0
2.796283300E-2,4.408547282E-1,-1.580296755E0,-1.170157552E0
2.996256600E-2,4.365786612E-1,-1.596179366E0,-1.163438082E0
3.196231600E-2,4.268048406E-1,-1.602288008E0,-1.148777366E0
3.396208000E-2,4.249722362E-1,-1.612061739E0,-1.143279552E0
3.596185700E-2,4.133657813E-1,-1.626722574E0,-1.121288300E0
3.796164600E-2,4.066462815E-1,-1.649935484E0,-1.099297285E0
3.996134600E-2,4.042028189E-1,-1.656654954E0,-1.087080002E0
4.195982200E-2,3.993158937E-1,-1.689641595E0,-1.045541048E0
4.395954900E-2,3.980941474E-1,-1.699415565E0,-1.032102108E0
4.595928800E-2,3.968724310E-1,-1.711632848E0,-1.019884706E0
4.795903800E-2,3.968724310E-1,-1.741565228E0,-9.856762886E-1
4.995879800E-2,4.005376399E-1,-1.755615115E0,-9.704046845E-1
5.195856700E-2,4.048136771E-1,-1.790434480E0,-9.410831332E-1
5.395834400E-2,4.164201021E-1,-1.827697277E0,-9.099290371E-1
5.595805800E-2,4.213070273E-1,-1.854575276E0,-8.946573734E-1
5.795778200E-2,4.371895492E-1,-1.897946596E0,-8.635032177E-1
5.995751500E-2,4.567372203E-1,-1.948037744E0,-8.360142708E-1
6.195724800E-2,4.817826748E-1,-1.992630839E0,-8.091362119E-1
6.395691400E-2,4.891130626E-1,-2.022563219E0,-7.969189286E-1
6.595664700E-2,5.019412637E-1,-2.046386957E0,-7.847015858E-1
6.795591300E-2,5.306519270E-1,-2.092201948E0,-7.657647729E-1
6.995571300E-2,5.673038363E-1,-2.138627768E0,-7.413302064E-1
7.195544600E-2,5.819646120E-1,-2.160007715E0,-7.333889008E-1
7.395517900E-2,6.173948050E-1,-2.203379393E0,-7.181172967E-1
7.595491200E-2,6.558792591E-1,-2.252248526E0,-7.065108418E-1
7.795464500E-2,6.705400348E-1,-2.274239779E0,-6.985696554E-1
7.995437800E-2,7.120789289E-1,-2.316389322E0,-6.912392378E-1
8.195411100E-2,7.688893676E-1,-2.382362843E0,-6.814653873E-1
8.395384400E-2,7.688893676E-1,-2.382362843E0,-6.814653873E-1
8.595357700E-2,8.037086725E-1,-2.415349722E0,-6.796327829E-1
8.795331000E-2,8.244780898E-1,-2.437340736E0,-6.802436709E-1
8.995304300E-2,8.574648499E-1,-2.476436138E0,-6.826871634E-1
9.195277600E-2,8.922840953E-1,-2.512477160E0,-6.918501258E-1
9.395250900E-2,9.093883634E-1,-2.531414032E0,-6.949044466E-1
