"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.379820000E-1,-2.825244188E0,6.512427330E0,7.283383846E0
1.399820000E-1,-2.825244188E0,6.512427330E0,7.283383846E0
1.419690000E-1,-2.825244188E0,6.512427330E0,7.283383846E0
1.439686660E-1,-2.825244188E0,6.512427330E0,7.283383846E0
1.459686660E-1,-2.971295118E0,4.450956821E0,8.549955368E0
1.479686660E-1,-2.683982134E0,4.644893169E0,8.664880753E0
1.499683320E-1,-2.159635782E0,5.044736862E0,8.858817101E0
1.519680460E-1,-1.798100352E0,5.444581032E0,9.002472878E0
1.539677960E-1,-1.635289669E0,5.626545906E0,9.088666916E0
1.559661290E-1,-1.391073704E0,5.956955910E0,9.299363136E0
1.579659290E-1,-1.235445857E0,6.174834728E0,9.581888199E0
1.599657470E-1,-1.082212210E0,6.105400562E0,1.024989033E1
1.619634130E-1,-1.082212210E0,6.105400562E0,1.024989033E1
1.639631050E-1,-1.072635174E0,6.105400562E0,1.039115238E1
1.659628190E-1,-1.070240855E0,5.961744308E0,1.051565456E1
1.679625520E-1,-1.072635174E0,5.803721905E0,1.070959091E1
1.699623020E-1,-1.075029373E0,5.717528343E0,1.077184200E1
1.719620660E-1,-1.101366401E0,5.554717541E0,1.081254482E1
1.739618430E-1,-1.113337755E0,5.403878212E0,1.071437931E1
1.759616320E-1,-1.113337755E0,5.329655647E0,1.062100315E1
1.779614320E-1,-1.096577883E0,5.219519138E0,1.037199879E1
1.799611460E-1,-1.194743156E0,5.001639843E0,9.794978142E0
1.819596910E-1,-1.194743156E0,5.001639843E0,9.794978142E0
1.839598640E-1,-1.249811411E0,4.948966026E0,9.648927689E0
1.859596140E-1,-1.304879785E0,4.898686409E0,9.517242432E0
1.879593740E-1,-1.424593568E0,4.824463844E0,9.289786339E0
1.899591430E-1,-1.561067224E0,4.776578426E0,9.117398262E0
1.919589200E-1,-1.628106833E0,4.764606953E0,9.055147171E0
1.939587050E-1,-1.771763325E0,4.781366825E0,8.971347809E0
1.959584290E-1,-1.913025618E0,4.778972626E0,8.923461914E0
1.979581620E-1,-1.984853864E0,4.781366825E0,8.913885117E0
1.999578950E-1,-2.281744003E0,4.810098171E0,8.873182297E0
2.019576280E-1,-2.281744003E0,4.819674969E0,8.873182297E0
2.039565940E-1,-2.281744003E0,4.819674969E0,8.873182297E0
2.059563270E-1,-2.358360767E0,4.850800991E0,8.856422424E0
2.079560600E-1,-2.375120640E0,4.867560863E0,8.858817101E0
2.099558600E-1,-2.411034822E0,4.910657406E0,8.851634026E0
2.119553930E-1,-2.360754967E0,4.968120098E0,8.863605499E0
2.139551260E-1,-2.308080912E0,4.994457245E0,8.875576973E0
2.159552920E-1,-2.164424419E0,5.054314137E0,8.930644989E0
2.179550250E-1,-2.001613855E0,5.097411156E0,9.016839027E0
2.199547580E-1,-1.601769805E0,5.118959427E0,9.237112045E0
2.219544910E-1,-1.601769805E0,5.118959427E0,9.237112045E0
2.239539240E-1,-1.601769805E0,5.118959427E0,9.237112045E0
2.259537240E-1,-1.357553840E0,5.085439682E0,9.368797302E0
2.279534570E-1,-1.101366401E0,5.044736862E0,9.534002304E0
2.299531900E-1,-9.648927450E-1,5.027976990E0,9.608224869E0
2.319529230E-1,-6.512427330E-1,5.004034519E0,9.732727051E0
2.339526560E-1,-2.944957912E-1,4.982485771E0,9.850046158E0
2.359523890E-1,-1.149251908E-1,4.970514297E0,9.900326729E0
2.379521220E-1,2.537931204E-1,4.970514297E0,1.000088596E1
2.399519220E-1,1.019961119E0,5.004034519E0,1.014693642E1
2.419516880E-1,1.019961119E0,5.004034519E0,1.014693642E1
2.439510880E-1,1.230657220E0,5.032765865E0,1.013975334E1
2.459508210E-1,1.438959122E0,5.066285610E0,1.013257122E1
2.479505540E-1,1.807677507E0,5.147690773E0,1.012299347E1
2.499502870E-1,2.145270348E0,5.255433083E0,1.006313705E1
2.519500200E-1,2.286532402E0,5.322473049E0,1.000567436E1
2.539497530E-1,2.525959969E0,5.454157829E0,9.830892563E0
2.559495530E-1,2.722290516E0,5.528380394E0,9.641744614E0
2.579492860E-1,2.784541607E0,5.664854050E0,9.522030830E0
2.599490190E-1,2.870735407E0,5.942590237E0,8.873182297E0
2.619487520E-1,2.870735407E0,5.942590237E0,8.873182297E0
2.639483850E-1,2.851581335E0,5.978504181E0,8.746285439E0
2.659481180E-1,2.822849989E0,6.012023926E0,8.631361008E0
2.679478510E-1,2.791724443E0,6.043149471E0,8.521224022E0
2.699475840E-1,2.715107679E0,6.081458092E0,8.320104599E0
2.719475840E-1,2.592999697E0,6.093429565E0,8.095043182E0
2.739473500E-1,2.516382933E0,6.107795238E0,7.972935200E0
2.759471160E-1,2.348783493E0,6.141314983E0,7.719141960E0
2.779468820E-1,2.248224020E0,6.162863255E0,7.568302631E0
2.799466480E-1,1.800494671E0,6.215537548E0,6.936213970E0
2.819463480E-1,1.800494671E0,6.215537548E0,6.936213970E0
2.839464810E-1,1.680780888E0,6.239480019E0,6.797346115E0
2.859462470E-1,1.436564922E0,6.261028767E0,6.538764477E0
2.879460800E-1,1.185166001E0,6.263422966E0,6.296942711E0
2.899458460E-1,1.065452337E0,6.268211365E0,6.184412003E0
2.919456120E-1,8.308133483E-1,6.299336910E0,5.995264053E0
2.939453780E-1,5.554717779E-1,6.289760113E0,5.911464691E0
2.959451440E-1,3.974496126E-1,6.189200401E0,5.743865490E0
2.979449100E-1,1.292908341E-1,6.150891781E0,5.604997158E0
2.999446760E-1,-2.777358890E-1,6.193988800E0,5.430215359E0
3.019444760E-1,-2.777358890E-1,6.193988800E0,5.430215359E0
3.039443090E-1,-3.711125851E-1,6.205960274E0,5.394300938E0
3.059440750E-1,-4.477293789E-1,6.217931747E0,5.370358467E0
3.079438410E-1,-5.746259689E-1,6.237085819E0,5.329655647E0
3.099436070E-1,-6.703969240E-1,6.282577038E0,5.308107376E0
3.119433730E-1,-6.967339516E-1,6.308914185E0,5.303318501E0
3.139431390E-1,-7.398309112E-1,6.378347874E0,5.281770229E0
3.159425390E-1,-7.470137477E-1,6.409473896E0,5.267404556E0
3.179423720E-1,-7.398309112E-1,6.464541912E0,5.226701736E0
3.199422050E-1,-6.727912426E-1,6.548341751E0,5.068679810E0
3.219419710E-1,-6.488484740E-1,6.560312748E0,5.030371189E0
3.239418370E-1,-6.488484740E-1,6.560312748E0,5.030371189E0
3.259416030E-1,-5.865973234E-1,6.565101624E0,4.939388752E0
3.279413690E-1,-5.650488734E-1,6.545947552E0,4.910657406E0
3.299411350E-1,-5.075862408E-1,6.495667458E0,4.867560863E0
3.319409010E-1,-4.716721475E-1,6.462147713E0,4.862771988E0
3.339407010E-1,-4.285751879E-1,6.373559475E0,4.886714935E0
3.359404340E-1,-3.806896806E-1,6.292154312E0,4.927417755E0
3.379401670E-1,-3.543526828E-1,6.241874218E0,4.958543301E0
