"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.485999998E-3,2.706308849E-3,-3.040040135E-1,-4.011586905E-1
1.243100001E-2,-2.179405838E-1,-5.673557520E-1,-4.495427310E-1
2.237600001E-2,-4.347540736E-1,-8.040388823E-1,-5.100460052E-1
3.232000000E-2,-6.225386262E-1,-9.739024639E-1,-5.853524804E-1
4.226500001E-2,-7.754756212E-1,-1.176045299E0,-6.845819354E-1
5.221000001E-2,-9.256656766E-1,-1.388381481E0,-7.939334512E-1
6.215400000E-2,-1.049823403E0,-1.509880066E0,-8.937072158E-1
7.209900001E-2,-1.126711249E0,-1.496473432E0,-1.002129793E0
8.204400001E-2,-1.150757670E0,-1.374031067E0,-1.158094287E0
9.198800000E-2,-1.097531438E0,-1.147977591E0,-1.262925386E0
1.019330000E-1,-9.757827520E-1,-8.842921853E-1,-1.403319597E0
1.118780000E-1,-8.206192851E-1,-5.954641104E-1,-1.592644215E0
1.218220000E-1,-6.912730336E-1,-2.260318398E-1,-1.827776551E0
1.317670000E-1,-6.026238799E-1,2.013027072E-1,-2.078505516E0
1.417120000E-1,-5.273614526E-1,5.302543044E-1,-2.376757860E0
1.516560000E-1,-4.518339336E-1,6.838095188E-1,-2.667714834E0
1.616010000E-1,-3.827486038E-1,6.685623527E-1,-2.895512819E0
1.715450000E-1,-3.046924174E-1,4.753963649E-1,-3.045912266E0
1.814900000E-1,-2.410621792E-1,1.185032427E-1,-3.112227678E0
1.914350000E-1,-1.969676912E-1,-3.668909073E-1,-3.139957190E0
2.013800000E-1,-1.895841062E-1,-8.836057186E-1,-3.167547464E0
2.113240000E-1,-2.115397453E-1,-1.339549065E0,-3.199556112E0
2.212690000E-1,-2.581175268E-1,-1.700584531E0,-3.243389845E0
2.312130000E-1,-3.192730248E-1,-1.919453502E0,-3.337346792E0
2.411580000E-1,-3.318961263E-1,-1.954511404E0,-3.472762108E0
2.511030000E-1,-3.712674975E-1,-1.983039737E0,-3.779376507E0
2.610480000E-1,-4.313152134E-1,-1.920416594E0,-4.046502113E0
2.709920000E-1,-4.049861431E-1,-1.653607249E0,-4.199312687E0
2.809370000E-1,-2.968629003E-1,-1.286031723E0,-4.326072216E0
2.908810000E-1,-1.022116691E-1,-8.533841968E-1,-4.438822269E0
3.008260000E-1,1.698582619E-1,-4.906611443E-1,-4.562855721E0
3.107710000E-1,4.441038966E-1,-3.627745509E-1,-4.714550495E0
3.207150000E-1,6.661818624E-1,-3.926072419E-1,-4.835378170E0
3.306600000E-1,8.003242016E-1,-5.156911016E-1,-4.884355068E0
3.406050000E-1,8.010997176E-1,-8.064826727E-1,-4.948956490E0
3.505490000E-1,6.789461374E-1,-1.093883634E0,-5.059010029E0
3.604940000E-1,4.702226222E-1,-1.210265398E0,-5.169456482E0
3.704390000E-1,1.428535730E-1,-1.182464361E0,-5.298021317E0
3.803830000E-1,-2.832266390E-1,-8.950383067E-1,-5.406037807E0
3.903280000E-1,-7.697680593E-1,-2.651610076E-1,-5.555540562E0
4.002730000E-1,-1.236775994E0,3.093806207E-1,-5.645414352E0
4.102170000E-1,-1.641501307E0,9.744148254E-1,-5.698970318E0
4.201620000E-1,-1.956453800E0,1.877145052E0,-5.764229298E0
4.301070000E-1,-2.128388882E0,2.186602354E0,-5.788148403E0
4.400510000E-1,-1.450137258E0,8.874098659E-1,-5.065219879E0
4.499960000E-1,3.443816006E-1,-1.803953528E0,-3.408147335E0
4.599410000E-1,1.737442851E0,-2.862319946E0,-2.286598206E0
4.698850000E-1,1.975515842E0,-1.261791825E0,-2.254389524E0
4.798300000E-1,1.319516778E0,7.113232017E-1,-2.587196112E0
4.897750000E-1,1.035000563E0,7.376938462E-1,-2.879843950E0
