"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
0.000000000E0,8.589406610E-1,-9.577438235E-1,8.861230016E-1
2.000000000E-3,8.638275862E-1,-9.436939955E-1,8.916207552E-1
4.000000000E-3,8.778774738E-1,-8.893269897E-1,9.093357921E-1
6.000000000E-3,8.790992498E-1,-8.337382078E-1,9.288835526E-1
8.000000000E-3,8.736014366E-1,-8.184665442E-1,9.349921942E-1
1.000000000E-2,8.448907733E-1,-8.264078498E-1,9.447659850E-1
1.200000000E-2,7.996867895E-1,-8.764987588E-1,9.465986490E-1
1.400000000E-2,7.715869546E-1,-9.045985937E-1,9.441551566E-1
1.600000000E-2,7.245503068E-1,-9.461373687E-1,9.331595898E-1
1.800000000E-2,6.860657930E-1,-9.436939955E-1,9.258292317E-1
2.000000000E-2,6.714050174E-1,-9.229245782E-1,9.221640229E-1
2.200009000E-2,6.500247717E-1,-8.520641327E-1,9.136118889E-1
2.400017300E-2,6.316987872E-1,-7.634887099E-1,9.026163220E-1
2.600024900E-2,6.219249964E-1,-7.188955545E-1,8.983402848E-1
2.800032000E-2,5.950468779E-1,-6.376504302E-1,8.965076804E-1
3.000038600E-2,5.822187066E-1,-6.028311253E-1,8.922316432E-1
3.200044800E-2,5.443450809E-1,-5.521293283E-1,8.842903376E-1
3.400050600E-2,5.034171343E-1,-5.105904937E-1,8.787925839E-1
3.600056100E-2,4.820367992E-1,-4.885993302E-1,8.800143003E-1
3.800056100E-2,4.404979944E-1,-4.452278912E-1,8.757382035E-1
4.000056100E-2,3.989591300E-1,-3.969695568E-1,8.745165467E-1
4.200056100E-2,3.818549216E-1,-3.676480353E-1,8.726838827E-1
4.400056100E-2,3.488681912E-1,-3.193896711E-1,8.720730543E-1
4.600056100E-2,3.213792741E-1,-2.644118071E-1,8.677970171E-1
4.800056100E-2,3.073293567E-1,-2.411989123E-1,8.677970171E-1
5.000056100E-2,2.859490514E-1,-1.880536526E-1,8.684078455E-1
5.200056100E-2,2.737317681E-1,-1.636190265E-1,8.653535247E-1
5.400056100E-2,2.554058135E-1,-1.214693263E-1,8.659644127E-1
5.600056100E-2,2.364690006E-1,-8.115223050E-2,8.684078455E-1
5.800056100E-2,2.297494709E-1,-6.526973099E-2,8.671861291E-1
6.000056100E-2,2.181430310E-1,-3.167214245E-2,8.720730543E-1
6.200056100E-2,2.053148597E-1,-8.459261619E-3,8.757382035E-1
6.400056100E-2,2.034822702E-1,9.285152191E-5,8.787925839E-1
6.600056100E-2,1.967627555E-1,1.047756057E-2,8.861230016E-1
6.800056100E-2,1.918758303E-1,1.964053884E-2,8.922316432E-1
7.000059400E-2,1.906540990E-1,2.147313580E-2,8.983402848E-1
7.200062700E-2,1.906540990E-1,2.208399959E-2,9.044489264E-1
7.400066000E-2,1.912649721E-1,1.658621430E-2,9.154444933E-1
7.600069300E-2,1.924866885E-1,1.719707809E-2,9.239965677E-1
7.800072600E-2,1.918758303E-1,2.269486710E-2,9.392682314E-1
8.000075900E-2,1.869889051E-1,2.147313580E-2,9.508746862E-1
8.200075900E-2,1.772150546E-1,2.880351804E-2,9.673680663E-1
8.400072500E-2,1.668303460E-1,3.857736290E-2,9.832505584E-1
8.600069100E-2,1.594999731E-1,4.468601570E-2,9.918026924E-1
8.800065700E-2,1.423957348E-1,5.384899303E-2,1.011350393E0
9.000062300E-2,1.283458471E-1,6.362283975E-2,1.026621938E0
9.200058900E-2,1.234589219E-1,6.423370540E-2,1.038228393E0
9.400055500E-2,1.112416163E-1,6.850975752E-2,1.054721832E0
9.600052100E-2,1.081872880E-1,7.461840659E-2,1.062662959E0
9.800052100E-2,1.014677733E-1,7.889447361E-2,1.077934742E0
1.000005210E-1,1.020786390E-1,8.255966008E-2,1.087708473E0
1.020005210E-1,1.026894972E-1,8.378138393E-2,1.093206286E0
1.040005210E-1,1.136850715E-1,9.172263741E-2,1.099925756E0
1.060005210E-1,1.271241158E-1,9.905302525E-2,1.101147532E0
1.080005210E-1,1.326218992E-1,1.057725400E-1,1.098704100E0
1.100005210E-1,1.527804583E-1,1.186007112E-1,1.098093152E0
1.120005540E-1,1.753824651E-1,1.344832033E-1,1.088930130E0
1.140005540E-1,1.857671887E-1,1.424244493E-1,1.085265040E0
1.160005540E-1,2.132561207E-1,1.619721353E-1,1.068771601E0
1.180005540E-1,2.248625457E-1,1.693025231E-1,1.058997750E0
1.200005540E-1,2.547949553E-1,1.937371343E-1,1.037006736E0
1.220005540E-1,2.822838724E-1,2.138956934E-1,1.013793826E0
1.240005540E-1,2.987772524E-1,2.297781855E-1,1.000354767E0
1.260005540E-1,3.305422366E-1,2.652083635E-1,9.722549319E-1
1.280005540E-1,3.568094373E-1,3.061363399E-1,9.472094774E-1
1.300005200E-1,3.690267503E-1,3.299600780E-1,9.343813062E-1
1.320005200E-1,3.940722346E-1,3.886031508E-1,9.111684561E-1
1.340005200E-1,4.123981893E-1,4.472462237E-1,8.897881508E-1
1.360005200E-1,4.197285771E-1,4.796220660E-1,8.812360168E-1
1.380005200E-1,4.362219274E-1,5.535367727E-1,8.647426963E-1
1.400005200E-1,4.466066360E-1,5.907995701E-1,8.592448831E-1
1.420005200E-1,4.698195159E-1,6.659359932E-1,8.488601446E-1
1.440005530E-1,4.997519255E-1,7.343528867E-1,8.415297866E-1
1.460005860E-1,5.162453055E-1,7.667287588E-1,8.378646374E-1
1.480005860E-1,5.596166849E-1,8.296478391E-1,8.366428614E-1
1.500005860E-1,6.060425043E-1,8.876800537E-1,8.378646374E-1
1.520005860E-1,6.304770708E-1,9.145581126E-1,8.409189582E-1
1.540005860E-1,6.805680394E-1,9.689251184E-1,8.464167118E-1
1.560005860E-1,7.263829112E-1,1.020237803E0,8.635209203E-1
1.580005860E-1,7.471523285E-1,1.045283318E0,8.702404499E-1
1.600005860E-1,7.893020511E-1,1.086211324E0,8.916207552E-1
1.620005860E-1,8.070171475E-1,1.097206831E0,9.068924189E-1
1.640005860E-1,8.424473405E-1,1.107591510E0,9.362139106E-1
1.660005860E-1,8.742122650E-1,1.101482868E0,9.661462903E-1
1.680005860E-1,8.919274211E-1,1.094152451E0,9.771419168E-1
1.700005860E-1,9.224706292E-1,1.062387586E0,1.001576424E0
1.720005520E-1,9.572899938E-1,1.030011654E0,1.026621938E0
1.740005520E-1,9.750050902E-1,1.014740109E0,1.039450049E0
1.760005520E-1,1.004326582E0,9.909162521E-1,1.059608698E0
1.780005850E-1,1.032426357E0,9.683142900E-1,1.080989003E0
1.800006180E-1,1.040978551E0,9.560970068E-1,1.088319302E0
1.820006510E-1,1.055028439E0,9.420470595E-1,1.104201913E0
1.840006840E-1,1.062358737E0,9.420470595E-1,1.116419196E0
1.860007170E-1,1.067245722E0,9.530426860E-1,1.141464591E0
1.880007500E-1,1.057471871E0,9.738120437E-1,1.171396971E0
1.900007830E-1,1.048919797E0,9.848076105E-1,1.186668754E0
1.920007830E-1,1.017765641E0,9.988575578E-1,1.216601133E0
1.940007490E-1,9.743942022E-1,9.823641181E-1,1.235537887E0
1.960007150E-1,9.462944269E-1,9.701468349E-1,1.245311737E0
1.980006810E-1,8.949817419E-1,9.304406047E-1,1.254474759E0
2.000006470E-1,8.479451537E-1,8.840148449E-1,1.261194229E0
2.020006130E-1,8.253430724E-1,8.516389728E-1,1.265470266E0
2.040005790E-1,7.844151258E-1,7.856655121E-1,1.264859319E0
2.060005450E-1,7.544827461E-1,7.514570951E-1,1.267302871E0
2.080005450E-1,7.434871197E-1,6.805967689E-1,1.267302871E0
2.100005450E-1,7.159982324E-1,6.085146666E-1,1.269746304E0
2.120005450E-1,7.050026059E-1,5.730844736E-1,1.267302871E0
2.140005450E-1,6.878983974E-1,5.052784085E-1,1.267302871E0
2.160005450E-1,6.787354350E-1,4.405266941E-1,1.270357132E0
2.180005450E-1,6.750702262E-1,4.057073593E-1,1.272189856E0
2.200005450E-1,6.732376814E-1,3.427882791E-1,1.269746304E0
2.220005450E-1,6.811788678E-1,2.951407731E-1,1.264859319E0
2.240005450E-1,6.854549646E-1,2.774256468E-1,1.261805058E0
2.260005780E-1,6.988939643E-1,2.493258715E-1,1.259972572E0
2.280006110E-1,7.172198892E-1,2.395520359E-1,1.256307244E0
2.300006440E-1,7.276046872E-1,2.358868420E-1,1.256918192E0
2.320006770E-1,7.489849329E-1,2.340542376E-1,1.259972572E0
2.340007100E-1,7.593696117E-1,2.346650958E-1,1.261805058E0
2.360007430E-1,7.770847082E-1,2.358868420E-1,1.265470266E0
2.380007430E-1,7.886911631E-1,2.309999019E-1,1.262415886E0
2.400007090E-1,7.941889763E-1,2.267238647E-1,1.261194229E0
2.420006750E-1,8.045736551E-1,2.126739472E-1,1.256307244E0
2.440006410E-1,8.137366176E-1,2.047327161E-1,1.247755170E0
2.460006070E-1,8.204561472E-1,1.961805820E-1,1.240424752E0
2.480005730E-1,8.302299976E-1,1.912936717E-1,1.228818417E0
2.500005390E-1,8.467233777E-1,1.888502240E-1,1.216601133E0
2.520005050E-1,8.571081161E-1,1.870176196E-1,1.212324977E0
2.540005050E-1,8.766557574E-1,1.845741570E-1,1.193388224E0
2.560005050E-1,8.888730407E-1,1.802980900E-1,1.187890410E0
2.580005050E-1,9.084208012E-1,1.772437692E-1,1.165899277E0
2.600005050E-1,9.310227633E-1,1.741894484E-1,1.151238561E0
2.620005050E-1,9.377422929E-1,1.748003066E-1,1.142075419E0
2.640005050E-1,9.517921805E-1,1.662482023E-1,1.123138666E0
2.660005050E-1,9.603443146E-1,1.485331059E-1,1.106645226E0
2.680005050E-1,9.670638442E-1,1.399809867E-1,1.095038772E0
2.700005050E-1,9.713398814E-1,1.210441664E-1,1.068771601E0
2.720005050E-1,9.731724858E-1,9.538783133E-2,1.046169639E0
2.740005050E-1,9.688964486E-1,8.439225703E-2,1.032730579E0
2.760005050E-1,9.633986354E-1,5.384899303E-2,1.007074237E0
2.780005050E-1,9.542356730E-1,3.857736290E-2,9.954678416E-1
2.800005050E-1,9.383531213E-1,1.169929095E-2,9.710332155E-1
2.820005050E-1,9.200271964E-1,-1.701137610E-2,9.459877610E-1
2.840005050E-1,9.096425176E-1,-3.045041114E-2,9.368247390E-1
2.860004710E-1,8.864296079E-1,-5.305242538E-2,9.178879261E-1
2.880004710E-1,8.638275862E-1,-7.504357398E-2,9.044489264E-1
2.900004710E-1,8.546646237E-1,-8.176308870E-2,9.007837772E-1
2.920004710E-1,8.320626020E-1,-1.019216478E-1,8.885664344E-1
