"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.319085320E-1,-8.284190893E-1,3.905062199E0,8.746285439E0
1.339085320E-1,-8.284190893E-1,3.905062199E0,8.746285439E0
1.359085320E-1,-8.284190893E-1,3.905062199E0,8.746285439E0
1.379085320E-1,-8.284190893E-1,3.905062199E0,8.746285439E0
1.399080320E-1,-3.335224867E0,4.367157459E0,6.842837334E0
1.419076320E-1,-3.387898922E0,4.383917332E0,6.826077461E0
1.439072980E-1,-3.495641232E0,4.419831276E0,6.816500187E0
1.459070120E-1,-3.589017868E0,4.467716694E0,6.797346115E0
1.479067620E-1,-3.636903524E0,4.474899769E0,6.778192043E0
1.499065390E-1,-3.732674360E0,4.513207912E0,6.759037971E0
1.519063390E-1,-3.823656797E0,4.527573586E0,6.742278099E0
1.539061570E-1,-3.866753817E0,4.546727657E0,6.715940952E0
1.559058230E-1,-3.926610708E0,4.568276405E0,6.672843933E0
1.579055150E-1,-3.964919090E0,4.573064804E0,6.660872459E0
1.599052290E-1,-4.029564381E0,4.577853203E0,6.639324188E0
1.619049620E-1,-4.079844475E0,4.585036278E0,6.610592842E0
1.639047120E-1,-4.096604347E0,4.601796150E0,6.605803967E0
1.659044760E-1,-4.178009510E0,4.513207912E0,6.720729351E0
1.679042530E-1,-4.597007751E0,3.742251635E0,7.695199013E0
1.699039370E-1,-4.834040642E0,3.093403101E0,8.485309601E0
1.719036370E-1,-5.169239521E0,1.333611012E0,1.101845264E1
1.739033510E-1,-5.461340904E0,5.794144869E-1,1.229460144E1
1.759030780E-1,-5.442186832E0,2.657645047E-1,1.191391182E1
1.779028170E-1,-4.826858044E0,1.752609134E0,9.799766541E0
1.799025670E-1,-4.285751820E0,2.813272953E0,8.590658188E0
1.819023270E-1,-3.232270956E0,4.790944099E0,6.749460697E0
1.839020960E-1,-2.482862949E0,6.138920784E0,5.849213123E0
1.859017990E-1,-2.207521439E0,6.581861496E0,5.662459850E0
1.879015130E-1,-1.913025618E0,7.020013809E0,5.688796997E0
1.899012370E-1,-1.807677507E0,7.027196407E0,6.067092419E0
1.919009700E-1,-1.810071707E0,6.929031372E0,6.289760113E0
1.939007030E-1,-1.922602654E0,6.581861496E0,6.761432171E0
1.959004360E-1,-2.126116037E0,6.383136749E0,7.139727592E0
1.979001690E-1,-2.245829821E0,5.949772835E0,7.295355320E0
1.998999690E-1,-2.525959969E0,5.516408920E0,7.527599812E0
2.018996690E-1,-2.674404860E0,5.298530102E0,7.592245579E0
2.038994020E-1,-2.980872154E0,4.857983589E0,7.702382088E0
2.058991350E-1,-3.261002302E0,4.462928295E0,7.707170486E0
2.078988680E-1,-3.380716085E0,4.290540695E0,7.673650742E0
2.098986010E-1,-3.562680960E0,4.022381783E0,7.522811413E0
2.118983340E-1,-3.706337452E0,3.845205307E0,7.285778046E0
2.138980670E-1,-3.766194344E0,3.782954216E0,7.156487465E0
2.158978330E-1,-3.845205307E0,3.725491524E0,6.893116951E0
2.178975660E-1,-3.938581944E0,3.711125851E0,6.699181080E0
2.198972990E-1,-3.952947617E0,3.715914488E0,6.620169640E0
2.218970320E-1,-3.960130453E0,3.794925690E0,6.538764477E0
2.238967650E-1,-3.979284763E0,3.838022470E0,6.531581879E0
2.258964980E-1,-3.984073162E0,3.909850836E0,6.598621368E0
2.278962310E-1,-4.010410309E0,3.981678963E0,6.763826370E0
2.298960310E-1,-4.034353256E0,4.010410309E0,6.878751755E0
2.318958310E-1,-4.051113129E0,4.079844475E0,7.075081825E0
2.338955640E-1,-4.060689926E0,4.201952457E0,7.249864101E0
2.358952970E-1,-4.022381783E0,4.266597748E0,7.292961121E0
2.378950300E-1,-3.826051235E0,4.328848839E0,6.984099388E0
2.398947630E-1,-3.567469358E0,4.309694767E0,6.146103382E0
2.418944960E-1,-3.371139050E0,4.206740856E0,5.842030525E0
2.438942290E-1,-2.851581335E0,3.986467600E0,6.182017326E0
2.458940290E-1,-2.648067951E0,3.950553417E0,6.608198643E0
2.478937620E-1,-2.372726440E0,4.113364220E0,6.976916790E0
2.498934950E-1,-2.379909277E0,4.376734257E0,6.656084061E0
2.518932280E-1,-2.530748367E0,4.460534096E0,6.450176239E0
2.538929610E-1,-2.897072554E0,4.585036278E0,5.937801361E0
2.558926940E-1,-3.227482557E0,4.630527496E0,5.435003757E0
2.578924270E-1,-3.423812866E0,4.592218876E0,5.269798756E0
2.598921600E-1,-3.787742853E0,4.446168423E0,5.006428719E0
2.618920600E-1,-4.132518291E0,4.304905891E0,4.790944099E0
2.638917930E-1,-4.316877365E0,4.249837875E0,4.740664005E0
2.658915260E-1,-4.735875607E0,4.168432236E0,4.762212753E0
2.678912590E-1,-4.934600353E0,4.132518291E0,4.850800991E0
2.698909920E-1,-5.267404556E0,4.091815472E0,5.185999393E0
2.718907250E-1,-5.542746067E0,4.082238674E0,5.609786034E0
2.738904580E-1,-5.650488377E0,4.077449799E0,5.899493217E0
2.758903580E-1,-5.765413761E0,4.091815472E0,6.438204765E0
2.778901580E-1,-5.777385235E0,4.110970020E0,6.902694225E0
2.798898910E-1,-5.832453251E0,4.106181145E0,7.269018173E0
2.818896240E-1,-5.992869854E0,4.091815472E0,8.178842545E0
2.838893570E-1,-6.222720146E0,4.043930054E0,9.383162498E0
2.858890900E-1,-6.306519985E0,4.003227711E0,1.023791885E1
2.878888230E-1,-6.469330311E0,3.945764780E0,1.198813438E1
2.898885560E-1,-6.495667458E0,3.907456398E0,1.273993587E1
2.918882890E-1,-6.428627968E0,3.833234072E0,1.410946178E1
2.938880890E-1,-6.201171875E0,3.806896925E0,1.467690468E1
2.958878220E-1,-6.033572674E0,3.830839634E0,1.453803635E1
2.978875550E-1,-5.648094177E0,3.948159218E0,1.343427563E1
2.998872880E-1,-5.207547665E0,4.161249638E0,1.166730118E1
3.018870210E-1,-4.970514297E0,4.295329094E0,1.070240879E1
3.038867540E-1,-4.515602112E0,4.589824677E0,8.892336845E0
3.058864870E-1,-4.094210148E0,4.855589390E0,7.439012051E0
3.078862870E-1,-3.936187744E0,4.951360226E0,6.883540154E0
3.098860870E-1,-3.749434233E0,5.123748302E0,6.153286457E0
3.118858200E-1,-3.682394743E0,5.181210518E0,5.930618763E0
3.138855530E-1,-3.533949614E0,5.197970390E0,5.736682415E0
3.158852860E-1,-3.351984739E0,5.111776829E0,5.830059052E0
3.178850190E-1,-3.261002302E0,5.049525738E0,5.952167034E0
3.198847520E-1,-3.122134447E0,4.853195190E0,6.296942711E0
3.218844180E-1,-3.105374336E0,4.589824677E0,6.706363678E0
3.238842180E-1,-3.143682718E0,4.458139896E0,6.866780281E0
3.258839510E-1,-3.301704884E0,4.173221111E0,7.163670063E0
3.278836510E-1,-3.502824068E0,3.940976381E0,7.386337757E0
3.298833840E-1,-3.600989342E0,3.861965179E0,7.450983047E0
3.318831170E-1,-3.763799906E0,3.775771379E0,7.529994488E0
3.338828500E-1,-3.814079762E0,3.768588543E0,7.541965485E0
3.358824500E-1,-3.890696526E0,3.826051235E0,7.529994488E0
3.378821830E-1,-3.948159218E0,4.005621910E0,7.537177086E0
3.398819830E-1,-3.948159218E0,4.151672363E0,7.556331158E0
3.418817490E-1,-3.826051235E0,4.434196949E0,7.601822376E0
3.438815150E-1,-3.620143414E0,4.640104771E0,7.640130997E0
3.458812810E-1,-3.498035431E0,4.704750061E0,7.656890869E0
3.478810470E-1,-3.263396502E0,4.807703972E0,7.664073467E0
